timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,254,250,6847245,4578861
1664539200,251,247,7181481,6071433
1664625600,252,248,7491978,5584659
1664712000,249,245,8023540,5725003
1664798400,248,245,5077158,4873416
1664884800,242,237,6176355,5408814
1664971200,243,238,5278621,5014331
1665057600,240,236,6740734,4527810
1665144000,234,231,7820114,5428491
1665230400,235,231,9133376,4840098
1665316800,241,237,6076851,6725911
1665403200,240,237,6735931,5854809
1665489600,244,241,6088574,5029648
1665576000,244,242,4669893,4116033
1665662400,252,248,4143502,5466533
1665748800,257,252,5034543,5760798
1665835200,254,252,6218955,5866843
1665921600,253,250,9682125,5826053
1666008000,250,247,6398778,3774620
1666094400,248,244,6053750,4236053
1666180800,237,235,8009551,3819017
1666267200,243,239,5946186,4479149
1666353600,237,235,7560943,4393461
1666440000,237,233,4659610,4786193
1666526400,237,233,3278626,2485954
1666612800,235,231,5344237,5119991
1666699200,218,218,9245506,4706425
1666785600,223,219,5917848,3356291
1666872000,220,216,6841513,4808347
1666958400,219,215,7201192,5746535
1667044800,221,218,8495405,6271616
1667131200,223,221,6611229,7932947
1667217600,223,220,9602707,4237274
1667304000,224,221,6522615,3698667
1667390400,221,218,7470203,4756499
1667476800,220,217,5451253,5098832
1667563200,220,217,6035823,5750563
1667649600,218,215,6995391,7053149
1667736000,221,219,5895738,5006641
1667822400,223,220,4492623,3709787
1667908800,223,220,4941469,4395046
1667995200,225,223,6153850,4537423
1668081600,226,223,4580198,4430365
1668168000,223,222,5835983,4297370
1668254400,225,221,8412783,5337344
1668340800,225,225,6362503,5352963
1668427200,223,220,7116600,3925975
1668513600,224,221,5342060,4729555
1668600000,224,222,6506713,4325801
1668686400,223,221,3100041,4337083
1668772800,222,219,5824163,4976330
1668859200,222,219,6706249,5155626
1668945600,218,215,9969607,5267143
1669032000,217,214,4625735,3690136
1669204800,216,213,5960723,4874530
1669291200,218,216,4699400,5284639
1669377600,221,218,5605391,4753414
1669464000,221,218,4643325,4524636
1669550400,216,211,7229007,5012604
1669636800,217,215,5980425,4105256
1669723200,216,214,5890668,3963873
1669896000,212,211,4910868,2904692
1669982400,212,210,4777642,3484192
1670068800,212,211,6720161,4501703
1670155200,214,211,8620355,5943442
1670241600,201,201,6464601,7015421
1670328000,210,208,5187926,3844931
1670414400,209,207,5281583,3876629
1670500800,207,205,6694591,4553566
1670587200,200,196,7790407,4350284
1670760000,199,196,10367380,5512080
1670846400,202,199,5984372,4964338
1670932800,205,202,5134853,4434223
1671019200,206,203,6054167,5086563
1671105600,204,202,3539034,4040019
1671192000,203,201,7600085,4079051
1671278400,193,190,7489126,4751833
1671364800,193,191,9210356,4706832
1671451200,194,192,6245299,4883321
1671537600,198,195,7396228,7026025
1671624000,201,197,6729136,6629062
1671710400,202,198,7716652,9820091
1671796800,201,199,6908958,4290861
1671883200,202,199,6664404,4143588
1671969600,201,200,4979743,3054263
1672056000,203,201,5022885,6561029
1672142400,204,202,6254986,6085650
1672228800,207,205,7380193,5292911
1672315200,213,211,5128342,7441276
