timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,7904493,7771049,213,112
1664539200,7887141,7803354,179,85
1664625600,8018973,7919598,258,118
1664712000,8860267,8730417,283,147
1664798400,8253282,8101940,161,125
1664884800,8058076,7970511,149,70
1664971200,7891960,7752520,192,81
1665057600,7567189,7455385,174,89
1665144000,7022106,6867748,117,84
1665230400,7011561,6901779,213,111
1665316800,6907952,6805981,278,103
1665403200,6540719,6472106,154,155
1665489600,6388414,6277684,133,159
1665576000,7816270,7654082,132,124
1665662400,7194764,7051857,164,121
1665748800,7076284,6970976,191,77
1665835200,7131829,7062568,180,117
1665921600,7384858,7274527,238,139
1666008000,7008259,6899101,160,74
1666094400,6977367,6892792,185,69
1666180800,6862540,6772381,100,70
1666267200,6726971,6618482,169,63
1666353600,6647921,6569506,193,145
1666440000,6727902,6666277,216,136
1666526400,6538628,6445699,104,43
1666612800,6645353,6570587,209,64
1666699200,6816329,6732956,156,88
1666785600,6879778,6730593,140,86
1666872000,6774107,6672540,139,59
1666958400,6654421,6552455,204,126
1667044800,6743934,6691649,201,119
1667131200,6877654,6809468,247,111
1667217600,6699512,6560076,199,152
1667304000,6560001,6434211,174,169
1667390400,6585519,6510720,126,102
1667476800,6640136,6544887,145,103
1667563200,6802525,6751550,133,94
1667649600,6998651,6982717,167,109
1667736000,7256226,7115903,171,122
1667822400,7317523,7202635,171,100
1667908800,7403317,7310966,263,101
1667995200,7501741,7391760,124,93
1668081600,7456127,7354697,146,114
1668168000,7272340,7204854,170,75
1668254400,7250436,7138172,224,74
1668340800,7238234,7166701,126,99
1668427200,7033858,6994753,92,67
1668513600,6754465,6656945,112,51
1668600000,6762568,6678920,137,70
1668686400,6783464,6757141,87,50
1668772800,6660863,6599438,109,66
1668859200,6680656,6644100,185,103
1668945600,6879127,6828998,131,64
1669032000,6816553,6738767,118,75
1669204800,6776003,6696301,120,54
1669291200,6779606,6716523,106,54
1669377600,6811734,6747601,132,70
1669464000,6850694,6799016,116,82
1669550400,6970385,6931379,152,105
1669636800,6917727,6811550,121,57
1669723200,6804179,6757269,113,86
1669896000,6431279,6374673,78,48
1669982400,6094385,6003019,168,74
1670068800,5881319,5797148,165,87
1670155200,5887941,5800345,251,92
1670241600,5656466,5559797,134,73
1670328000,5472159,5403484,137,57
1670414400,5741295,5603955,157,63
1670500800,6274467,6203677,128,118
1670587200,5947167,5871596,157,58
1670760000,6018598,5955852,183,74
1670846400,5944693,5867091,141,71
1670932800,5972864,5906651,103,64
1671019200,5968684,5913502,175,74
1671105600,5859576,5773626,105,71
1671192000,5842309,5777936,240,78
1671278400,5693402,5618047,193,128
1671364800,5816311,5765634,154,103
1671451200,5830951,5779863,153,100
1671537600,5831821,5715919,184,135
1671624000,5837925,5777075,152,89
1671710400,5779784,5729158,161,84
1671796800,5791399,5724028,168,86
1671883200,5920266,5823837,124,51
1671969600,5771715,5709943,126,54
1672056000,5767509,5694793,159,52
1672142400,5731324,5663406,170,105
1672228800,5734984,5664530,173,92
1672315200,5686053,5589542,170,73
