timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664366400,5,5,466878,473641
1664452800,5,5,285095,238613
1664539200,5,5,165386,489304
1664625600,6,5,223184,772987
1664712000,6,5,237004,288706
1664798400,5,5,261439,304282
1664884800,5,5,440734,419964
1664971200,6,5,245618,312116
1665057600,6,6,270696,246835
1665144000,5,6,340139,135130
1665230400,6,5,363475,109750
1665316800,6,5,317444,655406
1665403200,5,5,182126,328251
1665489600,5,5,180883,283803
1665576000,6,5,277243,354548
1665662400,6,5,210975,378991
1665748800,6,5,180398,215054
1665835200,5,5,176325,312013
1665921600,6,5,238247,174119
1666008000,6,5,248995,491638
1666094400,5,5,246156,387773
1666180800,6,6,103422,324619
1666267200,6,5,184638,259908
1666353600,6,5,138094,278914
1666440000,6,5,228518,311183
1666526400,5,5,78147,461181
1666612800,5,5,269565,245985
1666699200,5,4,234628,2791030
1666785600,6,5,217335,280298
1666872000,6,5,161449,460901
1666958400,6,5,152651,324187
1667044800,6,5,80336,317904
1667131200,6,5,187358,755574
1667217600,6,5,124027,211505
1667304000,5,5,1748021,183998
1667390400,5,6,488804,220598
1667476800,6,5,122388,465738
1667563200,9,7,136158,211619
1667649600,5,5,329996,3234616
1667736000,6,5,251027,407966
1667822400,5,6,294665,150393
1667908800,5,5,172766,403516
1667995200,5,5,223221,191996
1668081600,6,5,225424,358575
1668168000,5,5,200131,273539
1668254400,6,5,305131,428709
1668340800,6,5,250365,492536
1668427200,5,5,181667,256498
1668513600,6,5,162770,235301
1668600000,6,5,247750,189580
1668686400,5,5,225245,161799
1668772800,5,5,141701,250902
1668859200,6,5,198784,225296
1668945600,6,5,350859,214573
1669032000,6,5,159814,302804
1669204800,6,5,173679,182950
1669291200,6,5,145718,477101
1669377600,6,5,186379,389971
1669464000,6,6,159269,283240
1669550400,6,5,227026,359979
1669636800,6,6,160224,184117
1669723200,7,6,299475,239244
1669896000,8,6,132512,347792
1669982400,6,6,415921,152082
1670068800,8,7,161512,267403
1670155200,6,6,301134,508018
1670241600,1,1,273575,108000
1670328000,5,5,160890,338131
1670414400,5,5,252354,307791
1670500800,5,5,86192,582353
1670587200,6,5,262227,262916
1670760000,5,4,511330,249962
1670846400,5,5,326143,354881
1670932800,5,5,367978,107935
1671019200,5,6,371703,125198
1671105600,6,5,379199,58421
1671192000,6,5,433255,190860
1671278400,6,6,465709,418650
1671364800,7,6,206707,524640
1671451200,7,6,250693,136043
1671537600,6,6,263749,240248
1671624000,7,6,126135,331251
1671710400,6,6,290324,927440
1671796800,1,1,371366,18000
1671883200,6,5,177629,482363
1671969600,6,6,278159,431385
1672056000,10,7,213529,381482
1672142400,6,5,385847,132822
1672228800,3,3,554234,163748
1672315200,6,5,241299,349646
