timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,146,141,6804426,3774076
1664539200,144,140,7703745,4316133
1664625600,141,138,6514034,3751859
1664712000,142,140,5868537,5004174
1664798400,153,148,5801365,5814627
1664884800,149,146,6608354,4532292
1664971200,148,145,7114721,4550083
1665057600,141,138,6154346,3682307
1665144000,131,127,6238599,4439200
1665230400,126,122,7205073,4046639
1665316800,120,116,6983207,4389943
1665403200,119,115,6345546,3411296
1665489600,118,116,4879470,4417918
1665576000,117,115,5195679,4447694
1665662400,128,124,5199261,5516097
1665748800,132,129,3913648,5419467
1665835200,130,125,6043956,5770349
1665921600,125,122,5668232,5300336
1666008000,121,120,4756387,4192344
1666094400,121,119,5591739,4457031
1666180800,122,119,4695590,4909703
1666267200,121,119,4135292,4743717
1666353600,118,116,5500918,4629058
1666440000,119,117,4309380,4325961
1666526400,128,124,3067378,5041505
1666612800,127,124,5112453,5025993
1666699200,123,120,6194914,5035609
1666785600,121,119,5390382,3966078
1666872000,119,117,4743275,4341005
1666958400,116,114,4916670,5416522
1667044800,114,111,5466157,5529254
1667131200,116,113,4675622,5258389
1667217600,113,111,4968734,4576933
1667304000,112,108,5102610,4858796
1667390400,112,109,4785716,6463694
1667476800,114,112,3478028,5159965
1667563200,116,113,5075070,6357981
1667649600,114,112,6975789,5859285
1667736000,115,113,4710876,5929453
1667822400,115,113,5046129,5199480
1667908800,115,113,5905852,5430568
1667995200,115,112,5464458,5619747
1668081600,113,112,4304830,4279716
1668168000,113,111,4639906,5877124
1668254400,112,111,5104552,5063720
1668340800,111,109,5201956,4760736
1668427200,112,111,4860575,4330730
1668513600,112,110,4775030,5639671
1668600000,112,110,3838428,4241675
1668686400,113,110,4340323,4767353
1668772800,114,111,5145209,4785208
1668859200,115,113,4743464,4871834
1668945600,115,112,4467015,6658565
1669032000,115,113,4602079,5140297
1669204800,173,169,5425201,6314038
1669291200,114,112,4495762,5718856
1669377600,114,111,4592299,3364754
1669464000,114,111,5313005,5777941
1669550400,111,110,6098608,6030176
1669636800,110,108,6069676,4849367
1669723200,109,106,7053918,3682709
1669896000,108,106,5953183,4484456
1669982400,108,105,5594133,4012509
1670068800,112,108,6085691,5341891
1670155200,115,112,8280600,5968445
1670241600,115,112,5944986,6105520
1670328000,115,113,4840644,4519910
1670414400,116,114,4316068,4904075
1670500800,117,115,4819153,4020194
1670587200,117,115,3949145,3679499
1670760000,123,120,4745317,5518773
1670846400,123,120,4887033,4151286
1670932800,126,123,4560963,5445717
1671019200,125,123,4451501,4849145
1671105600,128,126,3997053,5765775
1671192000,131,129,4486572,5758735
1671278400,131,129,6088972,5089026
1671364800,130,128,6154740,5217973
1671451200,128,127,5896979,5670899
1671537600,123,121,6189106,2868686
1671624000,118,115,6014049,3973739
1671710400,113,111,7445708,2718836
1671796800,110,108,8676611,3268303
1671883200,111,109,5938813,4677414
1671969600,116,113,3911300,5402305
1672056000,121,117,5125094,5693168
1672142400,122,119,5472114,5419582
1672228800,116,114,7107819,3963593
1672315200,114,112,7818095,4111289
1672401600,113,111,7400103,4374610
1672488000,115,112,5542540,5191372
1672574400,115,114,5078140,4050290
1672660800,115,113,6991607,4836764
1672747200,113,111,7172463,5376726
1672833600,112,110,7527281,4179266
1672920000,109,107,8107110,4573716
1673006400,109,107,6866513,4732147
1673092800,108,106,7112000,5143372
1673179200,110,108,5835306,5751652
1673265600,109,108,5789589,5030637
1673352000,108,106,5403833,4170169
1673438400,107,105,7402796,5153517
1673524800,106,105,6719882,4772622
1673611200,104,102,6394473,4538853
1673697600,102,100,7196640,5331087
1673784000,99,96,6548907,4707411
1673870400,95,93,6498685,4026657
1673956800,96,94,6249876,5362245
1674043200,95,94,4804943,5278342
1674129600,97,95,6907628,5290900
1674216000,98,96,6274174,4085220
1674302400,98,95,7752118,5066791
1674388800,96,94,7472506,6449385
1674475200,96,94,6942237,6534093
1674561600,97,95,5934007,5132416
1674648000,94,93,7979865,5978965
1674734400,95,93,5285724,4416620
1674820800,93,91,6925212,6062290
1674907200,92,90,7512105,5623111
1674993600,89,87,7896142,5720257
1675080000,89,86,7781310,6719931
1675166400,88,86,6510933,5113727
1675252800,84,83,9363587,5314896
1675339200,82,80,6935231,3682385
1675425600,81,79,8594760,4383813
1675512000,84,82,6577465,6628206
