timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,6205,6136,127222,103258
1664539200,6504,6453,89446,58144
1664625600,6332,6242,97819,65215
1664712000,6164,6055,68342,93835
1664798400,6059,5911,74858,134681
1664884800,6011,5938,123533,133003
1664971200,6147,6047,78129,119320
1665057600,6047,6032,109958,124062
1665144000,6157,6064,70002,67322
1665230400,6224,6112,118057,70991
1665316800,6145,6107,100104,82755
1665403200,6099,6067,71725,64892
1665489600,6067,6016,39999,69885
1665576000,5965,5810,52080,87211
1665662400,5882,5813,30982,42751
1665748800,5791,5744,79732,89940
1665835200,5712,5623,98527,114817
1665921600,5757,5718,115681,52144
1666008000,5700,5626,60826,88964
1666094400,5654,5608,60071,54809
1666180800,5723,5655,102275,111129
1666267200,5712,5705,151944,45356
1666353600,5882,5804,129665,60517
1666440000,5944,5890,140249,100119
1666526400,5937,5883,42798,19621
1666612800,5836,5787,134129,34955
1666699200,5851,5822,86088,47724
1666785600,5777,5657,40465,33819
1666872000,5767,5757,68716,69298
1666958400,5753,5710,77423,77311
1667044800,5694,5593,107944,101031
1667131200,5708,5706,72562,106965
1667217600,5699,5692,98991,54617
1667304000,5687,5680,132882,41271
1667390400,5718,5707,129923,50986
1667476800,5727,5722,151006,58311
1667563200,5693,5627,131551,52444
1667649600,5730,5713,155113,53384
1667736000,5700,5624,112873,56416
1667822400,5635,5608,102183,39925
1667908800,5627,5553,105897,50546
1667995200,5629,5550,72821,28767
1668081600,5576,5530,69811,34989
1668168000,5583,5514,102016,14778
1668254400,5528,5448,125881,112716
1668340800,5397,5278,118947,61773
1668427200,5432,5414,70878,78989
1668513600,5392,5331,103903,79589
1668600000,5496,5438,118940,93829
1668686400,5449,5425,166495,51189
1668772800,5498,5482,95904,28817
1668859200,5571,5564,98662,52566
1668945600,5792,5750,110373,107753
1669032000,5782,5725,51724,91190
1669204800,5812,5781,97606,67546
1669291200,5762,5665,63995,61419
1669377600,5639,5594,54326,19277
1669464000,5630,5569,102740,77870
1669550400,5538,5487,103050,33563
1669636800,5446,5429,130992,40338
1669723200,5332,5135,69681,76517
1669896000,5299,5262,46248,61969
1669982400,5278,5191,76773,36018
1670068800,5256,5220,75700,46694
1670155200,5214,5183,222636,52677
1670241600,5217,5211,133131,26724
1670328000,5277,5230,128906,21827
1670414400,5382,5366,83110,74087
1670500800,5323,5321,49827,40130
1670587200,5317,5296,81128,25513
1670760000,5295,5226,116298,131086
1670846400,5293,5256,52703,62942
1670932800,5247,5184,70698,38916
1671019200,5236,5225,69917,56379
1671105600,5234,5231,25706,42235
1671192000,5290,5269,140439,94782
1671278400,5247,5237,77569,59767
1671364800,5302,5286,117263,77667
1671451200,5389,5399,127345,34172
1671537600,5357,5326,86570,39939
1671624000,5326,5326,26043,31084
1671710400,5490,5464,113055,79414
1671796800,5462,5461,95918,74924
1671883200,5400,5365,77124,36218
1671969600,5422,5385,62533,81048
1672056000,5427,5413,71140,96312
1672142400,5376,5339,117321,90167
1672228800,5370,5338,93618,90220
1672315200,5333,5234,93837,59131
