timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,165,163,3041000,4593891
1664539200,165,163,3239225,4387665
1664625600,163,160,5934662,4542398
1664712000,163,159,6067923,4736722
1664798400,161,158,4072144,3583274
1664884800,160,157,4014460,3882263
1664971200,159,156,4162535,4128180
1665057600,158,156,3208134,3550044
1665144000,157,155,3495833,4040170
1665230400,157,154,4686130,3852106
1665316800,157,154,4278237,4616943
1665403200,155,152,4746968,4124467
1665489600,155,152,3512049,3836712
1665576000,154,152,3004541,4027602
1665662400,154,152,4566652,4378124
1665748800,154,151,3383397,4727969
1665835200,153,151,4672095,5342926
1665921600,153,150,5139089,4054214
1666008000,152,150,3455728,4257571
1666094400,152,150,3533960,3250310
1666180800,152,150,4053488,3308065
1666267200,152,150,3211170,3594287
1666353600,153,151,3795698,3959325
1666440000,154,151,4786612,4510192
1666526400,153,151,1483529,2140949
1666612800,153,151,3356522,4785274
1666699200,145,149,5997855,7557853
1666785600,150,147,4350847,3831388
1666872000,148,146,4438035,3450667
1666958400,148,147,4394878,5024786
1667044800,152,149,5366245,4639417
1667131200,153,150,4796790,5580580
1667217600,154,152,4582408,4179581
1667304000,155,153,3318737,3527170
1667390400,155,153,2471200,4100535
1667476800,155,153,3976802,4330396
1667563200,155,153,3045739,3478294
1667649600,157,155,3187992,6201560
1667736000,160,157,3909463,4457589
1667822400,162,160,4777105,3423845
1667908800,166,163,3362470,5305069
1667995200,170,168,2497658,4021398
1668081600,170,169,2876015,4015755
1668168000,172,170,4389888,4156276
1668254400,174,172,3996429,4433307
1668340800,175,174,4585952,5342841
1668427200,177,175,4421457,4875578
1668513600,178,176,4467405,4611947
1668600000,180,177,4286261,3660415
1668686400,180,178,4093986,3383644
1668772800,178,177,2953166,4381032
1668859200,179,177,3718800,4428916
1668945600,178,177,3394284,4615088
1669032000,178,176,2575030,4299649
1669204800,174,172,4407256,4056523
1669291200,172,170,4029506,4072031
1669377600,173,170,4165981,3832583
1669464000,163,160,3760079,3128252
1669550400,166,163,5098733,4259125
1669636800,169,166,3660441,3493347
1669723200,168,166,2371383,3833814
1669896000,171,169,3273593,3180939
1669982400,170,169,4153937,3267880
1670068800,171,168,3139747,4808255
1670155200,169,168,4928246,4548977
1670241600,168,165,4043962,4538412
1670328000,168,166,2888023,3351694
1670414400,168,166,3336213,3493603
1670500800,168,166,3832548,3775023
1670587200,167,166,3074832,3476117
1670760000,168,166,3621146,4560416
1670846400,168,166,3036056,3984892
1670932800,168,165,3664740,3611932
1671019200,168,165,3689393,4256226
1671105600,166,164,3745704,3421108
1671192000,162,160,5783613,3604271
1671278400,155,154,5357778,4059754
1671364800,157,154,4781003,3980005
1671451200,160,157,4443718,4176536
1671537600,158,156,3655209,3943674
1671624000,158,155,4678385,3734992
1671710400,156,154,4810612,4182994
1671796800,155,152,5848916,4867526
1671883200,152,149,4014798,3731946
1671969600,146,145,3917273,3801139
1672056000,152,150,3566447,3887713
1672142400,152,151,4201697,4540448
1672228800,153,151,3897105,4391585
1672315200,156,154,4511115,4349047
