timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,168156,166714,287,4809
1664539200,173466,172517,320,4850
1664625600,175231,174009,317,5203
1664712000,177803,176188,243,5631
1664798400,176336,175586,780,5027
1664884800,168930,166622,245,3796
1664971200,170311,169351,440,3912
1665057600,167564,165786,907,4347
1665144000,166634,165930,402,3889
1665230400,166669,166151,312,3628
1665316800,168700,167793,367,4624
1665403200,167874,166438,653,5565
1665489600,165988,164492,315,4453
1665576000,165278,164749,706,4015
1665662400,163906,163027,441,3464
1665748800,163097,162616,191,3759
1665835200,160629,159836,254,3437
1665921600,160812,160021,398,5147
1666008000,155703,155301,340,4300
1666094400,154526,153919,344,4338
1666180800,153570,153249,322,3588
1666267200,146837,145641,401,3243
1666353600,145857,144321,577,4595
1666440000,143931,142733,562,4466
1666526400,139851,138556,940,3921
1666612800,143098,142628,284,4858
1666699200,145998,144863,173,5781
1666785600,151241,150169,358,5824
1666872000,154246,152526,381,4783
1666958400,158080,157189,530,5103
1667044800,158562,158031,274,4326
1667131200,158239,157963,379,4880
1667217600,157452,156382,460,5067
1667304000,155811,154536,235,4964
1667390400,155281,155233,370,3485
1667476800,154536,153508,543,3397
1667563200,154222,153460,482,4279
1667649600,153420,152874,595,5371
1667736000,152823,152238,555,5176
1667822400,151681,151195,445,4516
1667908800,150699,150406,446,4499
1667995200,150190,149680,475,4023
1668081600,151347,151021,353,5135
1668168000,154143,153514,170,5843
1668254400,152709,152552,359,4138
1668340800,154796,153774,391,5844
1668427200,154234,153796,464,4792
1668513600,154255,153924,434,3673
1668600000,154574,153899,255,3933
1668686400,153745,153277,308,3279
1668772800,157333,156070,347,5382
1668859200,160071,157814,310,5051
1668945600,159383,157241,566,5671
1669032000,157829,157253,305,4843
1669204800,231216,230450,723,6948
1669291200,158574,157661,498,4588
1669377600,117506,155694,438,3936
1669464000,159116,157722,574,5821
1669550400,161433,160305,981,5054
1669636800,161436,160607,529,5032
1669723200,164947,164002,437,5981
1669896000,165574,164572,554,4908
1669982400,164632,164248,318,4105
1670068800,163244,162391,201,5691
1670155200,161189,160812,208,5690
1670241600,160902,160096,558,4907
1670328000,160874,159931,369,4869
1670414400,159568,159113,354,4739
1670500800,159797,159325,345,3809
1670587200,158211,157351,239,4873
1670760000,157515,157118,591,4662
1670846400,157983,157078,555,5799
1670932800,159007,158709,1030,6093
1671019200,159467,158551,504,4822
1671105600,162218,161091,406,5061
1671192000,159971,159421,244,4050
1671278400,158995,158686,400,4310
1671364800,158754,158488,415,5206
1671451200,158262,157471,863,5479
1671537600,119069,158470,230,3901
1671624000,161551,161054,1090,5335
1671710400,167903,167531,982,5945
1671796800,168452,167771,447,5781
1671883200,165986,166536,609,4030
1671969600,165023,163391,352,4239
1672056000,167344,166908,157,5822
1672142400,167928,167373,251,6095
1672228800,167352,167128,262,4898
1672315200,167254,166828,554,5449
