timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,2864653,2844973,649,579
1664539200,2859569,2839405,518,540
1664625600,2846062,2807163,777,444
1664712000,2800567,2751758,849,449
1664798400,2770243,2737318,798,821
1664884800,2673709,2641907,452,543
1664971200,2407660,2359545,711,844
1665057600,2584253,2551827,422,540
1665144000,2443744,2393659,696,614
1665230400,2452777,2420407,597,600
1665316800,2718477,2695295,682,692
1665403200,2899770,2811719,1022,771
1665489600,2817905,2791117,716,499
1665576000,2822482,2800618,434,382
1665662400,2713761,2699391,425,327
1665748800,2722117,2686743,376,567
1665835200,2602393,2571444,516,690
1665921600,2685987,2645918,502,494
1666008000,2610026,2577502,481,378
1666094400,2547123,2513693,410,676
1666180800,2478005,2438613,481,514
1666267200,2471453,2440533,569,544
1666353600,2434987,2410687,640,563
1666440000,2431321,2415410,631,700
1666526400,2469324,2442593,340,272
1666612800,2446215,2420273,620,552
1666699200,2450330,2417271,482,498
1666785600,2504029,2464444,273,659
1666872000,2464633,2432178,410,515
1666958400,2426337,2402067,888,738
1667044800,2382651,2335923,668,736
1667131200,2375184,2343055,765,304
1667217600,2352546,2319240,556,647
1667304000,2336587,2314757,834,535
1667390400,2323969,2294773,565,459
1667476800,2171851,2140475,480,473
1667563200,2221777,2188491,467,526
1667649600,2156413,2126096,883,802
1667736000,2199574,2168430,792,443
1667822400,2240333,2210414,393,402
1667908800,2341052,2300764,600,554
1667995200,2301308,2285178,387,285
1668081600,2276109,2238989,745,384
1668168000,2261817,2224590,661,439
1668254400,2214304,2187300,489,553
1668340800,2257996,2237766,581,367
1668427200,2270926,2252825,452,379
1668513600,2302702,2286631,475,674
1668600000,2330734,2306138,333,470
1668686400,2314007,2280548,558,370
1668772800,2293905,2267588,850,732
1668859200,2286093,2263835,646,666
1668945600,2243512,2219171,668,439
1669032000,2241174,2213754,498,869
1669204800,2215416,2191256,601,481
1669291200,2194316,2172862,598,379
1669377600,2162499,2136530,562,881
1669464000,2087510,2062009,585,696
1669550400,2148420,2123286,725,671
1669636800,2137736,2120109,897,433
1669723200,2248604,2211916,698,455
1669896000,2284045,2247994,972,559
1669982400,2274535,2259860,798,523
1670068800,2359687,2317122,810,656
1670155200,2544132,2496524,691,761
1670241600,2586677,2544756,469,432
1670328000,2603835,2583249,605,464
1670414400,2665661,2628456,466,636
1670500800,2685343,2659439,482,558
1670587200,2700692,2666038,496,646
1670760000,2685829,2665313,558,679
1670846400,2701412,2670276,378,522
1670932800,2494873,2457463,436,528
1671019200,2505500,2474735,367,523
1671105600,2458247,2430644,612,613
1671192000,2432586,2416448,715,604
1671278400,2367629,2344987,1257,624
1671364800,2379201,2351729,522,450
1671451200,2409958,2386624,588,392
1671537600,2417769,2397720,439,365
1671624000,2441442,2411416,642,466
1671710400,2425675,2402232,684,489
1671796800,2429043,2413375,928,658
1671883200,2495422,2469044,502,391
1671969600,2553505,2529032,318,488
1672056000,2608489,2582461,685,708
1672142400,2603993,2585188,703,502
1672228800,2572192,2529981,615,845
1672315200,2593713,2550253,674,949
