timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,2,2,121049566,5514035
1664539200,3,2,36527423,5746935
1664625600,3,2,22959690,18332544
1664712000,3,2,25577959,12037893
1664798400,2,2,40098548,3904528
1664884800,2,2,46891694,7622957
1664971200,2,2,47894821,7052228
1665057600,3,2,38244842,4767282
1665144000,3,2,34521745,2987466
1665230400,2,2,33708510,16116633
1665316800,2,2,44001330,7263989
1665403200,3,2,33064340,10148796
1665489600,2,2,40184506,3116943
1665576000,3,2,26620330,6576310
1665662400,2,2,46031487,4207113
1665748800,3,2,29218437,8989229
1665835200,3,2,32724203,6554451
1665921600,2,2,46196676,27124370
1666008000,2,2,53266600,4720537
1666094400,2,2,43952267,4013903
1666180800,2,2,38795489,4311288
1666267200,3,2,35894970,4092804
1666353600,3,2,31620140,4886700
1666440000,3,2,48966845,3515803
1666526400,3,2,38819878,4296352
1666612800,3,2,38289452,3332232
1666699200,2,2,37124037,4496137
1666785600,3,2,37243775,8423199
1666872000,3,2,48385739,4338322
1666958400,3,2,34083678,2640058
1667044800,2,2,41806947,5289846
1667131200,2,2,48981262,4087237
1667217600,2,2,43626631,4052845
1667304000,2,2,41538061,3945343
1667390400,2,2,124640134,3372973
1667476800,2,2,29371813,6982809
1667563200,3,2,23167451,8222921
1667649600,2,2,40981010,4258896
1667736000,3,2,35315805,4287540
1667822400,3,2,35582688,6439418
1667908800,3,2,29305385,3823965
1667995200,2,2,38238125,4619530
1668081600,3,2,33248621,14270024
1668168000,3,2,43324182,3090462
1668254400,3,2,39774575,4893609
1668340800,3,2,56010105,3401318
1668427200,2,2,54622367,2604720
1668513600,3,2,47676260,2871631
1668600000,2,2,49234891,4416892
1668686400,2,2,50471887,2426713
1668772800,2,2,52637642,4045133
1668859200,3,2,39681582,4272899
1668945600,3,2,45682000,3683212
1669032000,2,2,31836095,5157120
1669204800,4,3,43618907,5365711
1669291200,3,2,31534863,4911446
1669377600,2,2,28318475,1845525
1669464000,2,2,47299176,5806093
1669550400,2,2,40070087,4003262
1669636800,3,2,35921012,6086569
1669723200,2,2,57626797,4402587
1669896000,3,2,36202034,12602280
1669982400,2,2,51080518,4644358
1670068800,3,2,46156865,4698536
1670155200,2,2,55399089,8472521
1670241600,3,2,36935318,3896127
1670328000,3,2,37340151,3582962
1670414400,3,2,32511907,4700866
1670500800,2,2,50108318,11173515
1670587200,2,2,49166652,3392610
1670760000,3,2,39320830,93550762
1670846400,2,2,107295444,15441238
1670932800,2,2,42773877,10374214
1671019200,3,2,46549571,6943099
1671105600,3,2,39677743,8377732
1671192000,3,2,38378143,4930014
1671278400,3,2,40453089,3474883
1671364800,2,2,60660835,6635364
1671451200,2,2,55285848,5954461
1671537600,2,2,42647936,3988400
1671624000,3,2,40707236,4328048
1671710400,2,2,49884379,3658143
1671796800,3,2,36405875,4517194
1671883200,3,2,35632830,5822982
1671969600,2,2,101285263,4017013
1672056000,2,2,40352465,4140270
1672142400,3,2,44666843,5364711
1672228800,3,2,45723383,6908144
1672315200,3,2,41744904,3286118
1672401600,2,2,38887566,4582374
1672488000,2,2,51393284,6683139
1672574400,3,2,39282931,3859860
1672660800,3,2,57122728,3334110
1672747200,2,2,67787003,6014695
1672833600,2,2,45238104,3629594
1672920000,3,2,31550261,20619589
1673006400,2,2,45187322,3835809
1673092800,3,2,38526197,4358907
1673179200,2,2,77385663,5191325
1673265600,3,2,32792411,3093751
1673352000,2,2,47177825,4825821
1673438400,2,2,39859040,6230338
1673524800,2,2,37438925,5320654
1673611200,2,2,61585693,6743970
1673697600,2,2,48225108,7123407
1673784000,2,2,52962849,4587867
1673870400,3,2,38329797,10229976
1673956800,3,2,43648155,3202715
1674043200,2,2,63474716,5537462
1674129600,2,2,56133578,4651506
1674216000,2,2,47000690,5409757
1674302400,2,2,43593390,4911005
1674388800,3,2,47097019,4934799
1674475200,3,2,50550984,6091482
1674561600,2,2,47308257,2522927
1674648000,3,2,40009469,17051911
1674734400,2,2,41145193,5576189
1674820800,2,2,135478317,5160310
1674907200,2,2,61925078,7436717
1674993600,2,2,41734563,19880065
1675080000,3,2,45645019,5498831
1675166400,2,2,39909301,6468189
1675252800,2,2,44467389,4433832
1675339200,3,2,38838545,6471812
1675425600,3,2,48389565,5120149
1675512000,3,2,52743344,2460805
