timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,92,90,641006,1082880
1664539200,91,89,1093819,1289306
1664625600,100,94,586536,2024606
1664712000,94,92,746214,1551228
1664798400,95,92,849626,1456171
1664884800,100,96,672114,1299786
1664971200,100,97,521911,1278889
1665057600,98,97,824832,1179501
1665144000,97,95,621309,897305
1665230400,99,96,1087703,1185673
1665316800,97,96,825017,1116521
1665403200,98,98,804426,1286483
1665489600,98,96,639950,955434
1665576000,97,95,823483,1359624
1665662400,97,96,827834,981259
1665748800,120,113,310059,1445215
1665835200,110,105,838950,1512749
1665921600,100,98,1327279,761554
1666008000,97,95,1257297,679733
1666094400,96,94,1109125,664417
1666180800,93,92,1111277,598867
1666267200,95,93,985771,1097842
1666353600,95,92,768292,1260087
1666440000,95,93,845086,1206725
1666526400,93,92,439516,807155
1666612800,94,92,652647,1409423
1666699200,92,91,916068,1315223
1666785600,92,91,510460,922827
1666872000,90,88,879061,1251937
1666958400,91,89,796216,1065115
1667044800,91,89,727113,1415698
1667131200,89,88,974984,953713
1667217600,90,88,808772,1118611
1667304000,89,88,967828,1252089
1667390400,89,87,1020052,1242085
1667476800,90,89,710895,852546
1667563200,90,89,644934,920933
1667649600,90,88,742490,1285795
1667736000,90,89,981875,1231708
1667822400,90,88,724684,850434
1667908800,89,89,925524,793414
1667995200,89,88,876033,1083160
1668081600,89,88,694196,1204973
1668168000,89,88,585111,1242372
1668254400,89,87,783583,1044447
1668340800,88,87,855659,1300358
1668427200,88,86,1260604,1058439
1668513600,87,86,666041,1250350
1668600000,86,85,914435,972743
1668686400,85,83,752692,903133
1668772800,84,83,666929,959381
1668859200,84,83,890077,1087000
1668945600,84,82,700831,1371586
1669032000,84,83,758821,1007621
1669204800,84,82,671534,920541
1669291200,84,83,1166246,1136993
1669377600,85,83,700301,1135686
1669464000,84,83,655354,1128018
1669550400,85,83,813071,1021845
1669636800,84,83,808316,1144233
1669723200,84,83,507420,992375
1669896000,85,84,601910,883754
1669982400,85,84,580713,1022460
1670068800,86,85,823438,1060881
1670155200,85,83,862047,1516773
1670241600,85,84,503393,1010894
1670328000,84,83,559846,965503
1670414400,83,82,737756,912928
1670500800,84,83,615227,1021965
1670587200,83,82,738585,1038314
1670760000,83,82,879581,1661643
1670846400,84,83,891745,820150
1670932800,84,82,592341,1328075
1671019200,83,82,787457,1175253
1671105600,84,83,657092,1101282
1671192000,84,83,887118,1026975
1671278400,83,82,977846,1450632
1671364800,83,82,775383,1549712
1671451200,84,83,520884,1252847
1671537600,84,82,762002,1057804
1671624000,83,81,710589,1734367
1671710400,81,81,1139642,1107639
1671796800,80,80,1238337,1036078
1671883200,81,79,781344,1307780
1671969600,82,81,1302054,867538
1672056000,82,80,593547,1383459
1672142400,81,80,996262,1140763
1672228800,82,81,639842,1073466
1672315200,82,80,1139853,1453930
