timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,7,6,1105727,281979
1664539200,7,7,1257733,198208
1664625600,7,6,1408700,721206
1664712000,7,6,959874,416097
1664798400,5,6,1182543,389431
1664884800,7,6,907100,275297
1664971200,6,6,1093275,42472
1665057600,7,5,1238291,120853
1665144000,6,5,789936,177969
1665230400,7,5,953542,125232
1665316800,5,4,1208925,109913
1665403200,3,3,1399448,43308
1665489600,6,5,846130,458182
1665576000,6,5,897410,274411
1665662400,6,5,813836,139990
1665748800,7,6,642358,142664
1665835200,6,5,1104552,127087
1665921600,7,6,860091,384506
1666008000,6,6,1082321,304399
1666094400,7,6,692933,195796
1666180800,7,6,1028155,214493
1666267200,7,6,1532793,121749
1666353600,7,6,1278979,148574
1666440000,7,5,1005346,343685
1666526400,6,5,636320,52044
1666612800,7,6,1686340,147084
1666699200,7,6,800445,116627
1666785600,7,6,873733,74280
1666872000,7,6,1070872,52916
1666958400,7,6,857975,30350
1667044800,7,6,1043199,222835
1667131200,7,7,669003,189555
1667217600,9,8,746818,238635
1667304000,8,8,1144217,154120
1667390400,8,7,880945,194747
1667476800,8,7,883585,95973
1667563200,8,8,995961,135336
1667649600,8,7,1165742,234323
1667736000,8,8,953911,249312
1667822400,8,8,860127,63830
1667908800,7,6,1698132,149457
1667995200,8,6,1111829,51700
1668081600,7,6,969168,158561
1668168000,7,6,1049527,378791
1668254400,7,6,939440,292025
1668340800,7,6,1259159,99627
1668427200,7,6,983558,131761
1668513600,7,6,1056318,129845
1668600000,7,6,753822,120586
1668686400,7,6,785344,77186
1668772800,7,6,860279,47066
1668859200,7,5,1074628,80975
1668945600,7,6,981367,124520
1669032000,7,6,707936,78603
1669204800,6,5,1025372,409658
1669291200,6,5,902077,23984
1669377600,6,4,1157829,348187
1669464000,6,4,914421,371806
1669550400,6,5,932996,501058
1669636800,7,6,1072697,77783
1669723200,7,6,1048832,89008
1669896000,7,5,1221837,127767
1669982400,7,7,728699,309956
1670068800,7,7,726692,255153
1670155200,7,6,740641,228284
1670241600,7,7,618323,133773
1670328000,7,6,1116751,117003
1670414400,6,5,1306660,133284
1670500800,6,5,849379,154496
1670587200,7,6,591072,204347
1670760000,7,7,937779,129214
1670846400,7,7,1109484,261611
1670932800,7,7,966405,203503
1671019200,7,6,1229046,94777
1671105600,7,6,885399,488285
1671192000,7,7,885461,174196
1671278400,7,6,655478,641589
1671364800,7,6,970741,200071
1671451200,8,6,1419478,378127
1671537600,7,6,1076134,383590
1671624000,7,6,775798,251551
1671710400,7,7,823974,153644
1671796800,6,6,3142919,293294
1671883200,6,6,992985,427356
1671969600,7,7,674396,649515
1672056000,7,6,1115644,259070
1672142400,7,6,1826397,103874
1672228800,7,6,1563372,46513
1672315200,7,7,1041594,57088
