timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,253,237,249690,268744
1664539200,219,214,198024,165921
1664625600,195,186,196651,142308
1664712000,200,193,215652,157905
1664798400,204,197,258748,177246
1664884800,209,202,212107,225585
1664971200,223,213,190803,210408
1665057600,219,215,240895,212242
1665144000,231,222,205490,215647
1665230400,227,222,189170,189334
1665316800,230,226,232067,144910
1665403200,231,225,210148,191061
1665489600,232,228,282130,181653
1665576000,233,226,260956,224483
1665662400,275,255,179388,224615
1665748800,277,262,167295,212587
1665835200,267,258,231119,245454
1665921600,256,250,261219,227111
1666008000,245,236,229123,292283
1666094400,232,223,270769,127101
1666180800,221,212,328511,146473
1666267200,210,201,303150,204512
1666353600,205,200,270523,193599
1666440000,196,191,269722,138863
1666526400,193,190,223612,187590
1666612800,198,194,276531,199652
1666699200,203,199,303803,253715
1666785600,209,205,192030,325672
1666872000,202,198,238756,199363
1666958400,203,199,279628,313527
1667044800,201,194,232967,301719
1667131200,193,189,302707,316464
1667217600,200,195,231286,183428
1667304000,202,199,227814,213391
1667390400,206,201,224687,262058
1667476800,223,214,216271,189040
1667563200,227,217,217897,188678
1667649600,228,223,154579,180071
1667736000,223,219,214060,200669
1667822400,220,215,226615,194397
1667908800,219,215,229726,219887
1667995200,216,212,168986,220008
1668081600,211,205,364778,118282
1668168000,211,206,219443,167198
1668254400,213,208,240116,185142
1668340800,215,210,288166,174139
1668427200,215,210,247153,224153
1668513600,217,213,200097,221840
1668600000,225,220,212683,215783
1668686400,228,223,213890,148593
1668772800,227,221,218110,181094
1668859200,230,223,265276,152294
1668945600,225,220,273121,191938
1669032000,224,220,215560,226099
1669204800,333,327,254262,191345
1669291200,220,212,281311,193169
1669377600,225,219,161553,209512
1669464000,242,233,209785,230859
1669550400,245,241,192640,227624
1669636800,245,240,244533,231578
1669723200,244,239,178673,237114
1669896000,234,229,227801,184947
1669982400,232,227,241011,208878
1670068800,228,225,264733,175482
1670155200,227,221,200248,193684
1670241600,225,221,291668,184080
1670328000,221,218,220596,187489
1670414400,221,216,244008,190514
1670500800,220,216,189335,168475
1670587200,229,223,241617,171789
1670760000,239,232,240280,278445
1670846400,231,227,269587,195907
1670932800,234,229,302464,237685
1671019200,235,230,231417,311798
1671105600,252,243,238311,183620
1671192000,242,235,176387,243891
1671278400,235,230,195185,180332
1671364800,235,230,346524,194083
1671451200,236,229,331378,191996
1671537600,239,233,204163,175759
1671624000,257,255,248874,279592
1671710400,239,233,280211,220640
1671796800,313,281,202278,337812
1671883200,279,261,275433,333725
1671969600,287,272,200473,288738
1672056000,284,272,234267,244532
1672142400,274,270,337661,263796
1672228800,265,260,294745,170564
1672315200,258,252,293402,203256
