timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,117,114,1751994,1727624
1664539200,122,119,1762464,1730400
1664625600,121,121,1488000,1963760
1664712000,121,121,1925731,1761649
1664798400,132,130,973058,2007284
1664884800,144,141,1303703,2295178
1664971200,157,150,1301978,2609457
1665057600,158,156,1146786,2546383
1665144000,171,165,1368129,2547223
1665230400,167,164,2349409,2731694
1665316800,162,159,2254256,2322743
1665403200,169,165,1936729,2433924
1665489600,171,166,1657161,2353585
1665576000,143,136,1049485,1385328
1665662400,140,135,1772582,1626176
1665748800,144,140,2241791,1456246
1665835200,136,132,2136360,1618375
1665921600,129,125,1904231,1662780
1666008000,120,117,1830685,1642557
1666094400,121,117,2161196,1531912
1666180800,117,112,2308258,1380755
1666267200,114,111,1635604,1562099
1666353600,113,111,1969286,1641825
1666440000,115,112,1465710,2175543
1666526400,115,112,1295929,2025768
1666612800,115,113,1498011,2477833
1666699200,117,114,1322796,2135266
1666785600,117,115,1267364,2150600
1666872000,124,121,1765001,2201699
1666958400,137,134,1034664,2828764
1667044800,150,146,1368676,2878804
1667131200,156,154,617294,2412316
1667217600,152,151,934743,2227396
1667304000,130,126,1390516,1622349
1667390400,124,121,2079782,1814495
1667476800,128,124,1508565,1714305
1667563200,127,126,1329226,2216649
1667649600,135,132,1038555,2474928
1667736000,134,132,1170875,2326994
1667822400,127,124,1027760,1917403
1667908800,124,123,1354491,1870926
1667995200,125,123,1376948,1981180
1668081600,133,130,1790372,1989445
1668168000,136,134,2027471,2391953
1668254400,144,142,809713,2931322
1668340800,142,140,1349975,2033489
1668427200,143,140,2193580,2090900
1668513600,156,153,1608173,2635323
1668600000,163,160,1235822,2951110
1668686400,156,154,1100488,2294388
1668772800,155,153,1836061,2407297
1668859200,166,162,1202336,3355607
1668945600,150,147,1591922,1552585
1669032000,141,137,1503702,2085711
1669204800,203,200,2170861,2115394
1669291200,135,132,1711651,2023172
1669377600,139,137,1053297,1940732
1669464000,130,128,1406863,2110114
1669550400,129,126,1003262,2202290
1669636800,128,126,1414091,2485080
1669723200,127,125,1431300,2137733
1669896000,124,123,1322840,2009589
1669982400,124,122,1046825,1942815
1670068800,123,122,1552141,1855725
1670155200,131,130,1691380,2846631
1670241600,140,138,1006092,2612012
1670328000,148,146,896446,3131662
1670414400,144,141,650068,2484050
1670500800,134,132,1264735,1707321
1670587200,145,144,903614,2364108
1670760000,136,134,1293421,2203347
1670846400,132,131,1035567,1950606
1670932800,131,129,963399,2218269
1671019200,128,127,1337748,2075371
1671105600,129,128,1040393,2491137
1671192000,128,127,1021816,2479615
1671278400,133,131,1237865,2452827
1671364800,137,136,928248,2877059
1671451200,134,139,2670953,2755017
1671537600,153,151,598389,2510893
1671624000,163,161,767383,2888999
1671710400,151,148,1521261,2436047
1671796800,169,164,1164338,3169138
1671883200,164,161,1430317,2894109
1671969600,166,163,876923,2018719
1672056000,166,165,1385073,2663186
1672142400,164,162,1782442,2760027
1672228800,176,172,1411643,3324588
1672315200,173,170,1779381,2569628
