timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664366400,6,6,938812,340455
1664452800,6,6,689273,685864
1664539200,7,6,474509,235817
1664625600,7,6,834182,412588
1664712000,6,6,1536539,283410
1664798400,7,6,760029,322336
1664884800,7,6,725283,247480
1664971200,7,6,681393,1097726
1665057600,7,6,826194,340410
1665144000,7,5,342333,1922055
1665230400,7,6,529997,563161
1665316800,6,6,774137,470428
1665403200,7,6,449726,632235
1665489600,8,6,228036,650017
1665576000,7,7,691695,430813
1665662400,7,6,406051,480365
1665748800,5,6,1825891,764903
1665835200,7,6,847959,542525
1665921600,8,7,558297,291389
1666008000,7,7,774796,217124
1666094400,7,6,844720,123766
1666180800,6,6,1394177,89834
1666267200,7,7,400224,189274
1666353600,7,6,631227,248505
1666440000,6,6,1389648,118008
1666526400,6,6,360824,41119
1666612800,7,6,525903,450427
1666699200,6,5,425604,1750836
1666785600,6,6,1020622,148103
1666872000,7,6,326923,534160
1666958400,6,5,2873715,73754
1667044800,7,6,748531,571128
1667131200,7,6,516344,631581
1667217600,6,6,2938210,307115
1667304000,7,6,426317,404983
1667390400,6,6,1451341,301293
1667476800,7,6,368663,841648
1667563200,7,6,403180,716333
1667649600,6,4,460750,4413766
1667736000,7,6,454818,1051411
1667822400,7,6,624148,434977
1667908800,7,6,318786,406303
1667995200,7,6,470456,574478
1668081600,6,5,2227800,181252
1668168000,6,5,2235582,453164
1668254400,6,5,2676611,247801
1668340800,6,5,1997014,70080
1668427200,5,4,805592,74811
1668513600,6,6,509694,514905
1668600000,6,6,629158,345272
1668686400,7,6,452176,233277
1668772800,7,6,372915,300194
1668859200,6,6,855411,429854
1668945600,7,6,332858,427681
1669032000,8,7,212033,631943
1669204800,8,7,419554,332825
1669291200,8,6,341057,688745
1669377600,8,7,325551,467171
1669464000,6,5,1502378,1985127
1669550400,8,7,489934,520907
1669636800,8,6,574941,927373
1669723200,8,7,448168,488908
1669896000,7,7,655661,291389
1669982400,7,6,402903,125641
1670068800,7,6,581553,140759
1670155200,6,6,864990,90571
1670241600,7,6,424691,340520
1670328000,7,6,357169,423473
1670414400,7,6,242212,363581
1670500800,7,7,809620,166444
1670587200,7,5,1304513,996934
1670760000,7,6,632323,209139
1670846400,7,6,674846,147581
1670932800,7,6,722346,109570
1671019200,7,6,452174,366086
1671105600,7,6,787282,112813
1671192000,7,6,521982,286009
1671278400,7,6,915289,521130
1671364800,7,6,1278391,1654423
1671451200,8,6,245453,1471143
1671537600,7,6,745297,439388
1671624000,7,7,156077,332794
1671710400,8,6,412383,939288
1671796800,8,6,411944,813618
1671883200,7,6,617635,1073146
1671969600,7,7,347588,317667
1672056000,8,7,537122,578906
1672142400,8,7,673781,814000
1672228800,9,8,499031,298892
1672315200,8,8,567170,388110
