timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664539200,127,125,5209859,5014486
1664625600,127,125,4637595,5594228
1664712000,127,125,5291112,5744994
1664798400,127,125,4492372,4853062
1664884800,127,125,4941377,5153818
1664971200,127,125,4215449,5187043
1665057600,127,125,4551976,4476221
1665144000,127,125,4173052,4937945
1665230400,127,125,4373487,5118616
1665316800,126,124,4288739,5692206
1665403200,126,124,4496802,4914767
1665489600,126,124,4314982,4666788
1665576000,125,124,3648636,4932699
1665662400,126,124,3703202,5039766
1665748800,125,124,4172496,5135114
1665835200,125,123,4487237,5699714
1665921600,125,123,4646013,5412568
1666008000,125,123,4121514,5675792
1666094400,125,123,3681505,4361362
1666180800,125,123,4532728,4507124
1666267200,125,123,4250585,4956825
1666353600,123,122,3815023,5467420
1666440000,123,122,3645518,4876919
1666526400,123,121,4157756,5349116
1666612800,123,121,3970217,4343955
1666699200,123,121,5163660,6475206
1666785600,120,120,4444967,4930477
1666872000,122,121,3914616,4404289
1666958400,122,120,4021463,4426321
1667044800,122,120,3738104,4637282
1667131200,123,121,3501664,5639453
1667217600,123,121,4868888,5469871
1667304000,125,124,4719873,5597524
1667390400,124,123,4263801,4612937
1667476800,125,123,4138748,5091010
1667563200,126,124,4550319,5154009
1667649600,125,124,3445464,6285404
1667736000,127,125,4910691,5499452
1667822400,131,128,4456103,6349138
1667908800,133,130,5198338,6106518
1667995200,132,130,3575877,5340371
1668081600,135,133,4217359,5320178
1668168000,136,134,4760790,5835100
1668254400,137,135,3895937,6042095
1668340800,136,135,5907355,5685317
1668427200,136,133,4959240,5764255
1668513600,135,133,4460290,5400134
1668600000,135,134,4715618,5335429
1668686400,135,134,4213827,4955370
1668772800,135,134,3762097,5360013
1668859200,135,134,4268091,5021117
1668945600,135,133,4633752,5443408
1669032000,134,133,5218204,5944778
1669204800,201,199,4994643,5779814
1669291200,134,132,4327264,5522960
1669377600,134,132,4199101,3655710
1669464000,133,132,4534026,6719750
1669550400,133,132,5086795,5902974
1669636800,134,132,4785832,5048660
1669723200,133,131,4172411,5744833
1669896000,133,131,3694342,5216424
1669982400,132,131,4228572,5290897
1670068800,132,131,4018653,5408503
1670155200,133,131,4900716,6292435
1670241600,132,130,4236875,5651231
1670328000,132,130,5174275,4494784
1670414400,131,129,4811838,4519265
1670500800,130,129,4616085,4692783
1670587200,129,128,4404335,6782693
1670673600,129,96,2324574,2735909
1670760000,128,126,6615582,5359525
1670846400,128,126,5980690,4813426
1670932800,127,126,5376470,6184391
1671019200,128,126,5171340,5030174
1671105600,128,126,5265061,5055767
1671192000,128,126,5488303,5935231
1671278400,128,126,4980087,6099297
1671364800,128,126,5545135,6280451
1671451200,127,125,5888695,5803558
1671537600,126,124,4333792,4047676
1671624000,126,124,5301314,5545809
1671710400,125,123,5963034,5465347
1671796800,124,122,6523276,5531011
1671883200,119,118,5174017,5128254
1671969600,120,119,5369274,4633978
1672056000,124,121,5749449,5558931
1672142400,124,122,5166510,6326415
1672228800,125,122,6507376,5729223
1672315200,125,122,6111057,5742825
