timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,632,624,126227,353684
1664539200,632,627,172497,350602
1664625600,636,630,175171,432703
1664712000,638,631,201954,362696
1664798400,634,625,116780,334618
1664884800,628,620,193628,336269
1664971200,622,612,182932,340764
1665057600,610,601,157196,308726
1665144000,578,570,205407,256167
1665230400,592,581,260881,378236
1665316800,601,588,236544,413259
1665403200,607,597,226883,364684
1665489600,600,592,241632,360278
1665576000,602,593,215806,327148
1665662400,593,585,193476,339882
1665748800,592,583,158480,363751
1665835200,595,586,232079,444256
1665921600,608,597,208889,403530
1666008000,603,594,190256,327901
1666094400,591,581,217610,290682
1666180800,585,576,164482,298673
1666267200,583,574,200195,268892
1666353600,582,576,196741,252724
1666440000,580,572,185682,342578
1666526400,580,573,203004,363251
1666612800,590,581,212521,360247
1666699200,594,587,173115,329751
1666785600,605,595,157589,411345
1666872000,601,598,124106,284568
1666958400,604,598,134262,299193
1667044800,602,596,146238,336194
1667131200,601,593,220118,366089
1667217600,592,584,184643,400226
1667304000,590,586,208628,354721
1667390400,590,586,135916,318361
1667476800,589,584,180936,300268
1667563200,585,577,196877,273526
1667649600,587,580,169029,355751
1667736000,587,581,186811,300151
1667822400,587,581,204736,324426
1667908800,591,584,220427,362223
1667995200,589,583,164829,273201
1668081600,589,583,173524,285507
1668168000,591,584,239183,412490
1668254400,597,590,230425,351442
1668340800,598,592,157944,329081
1668427200,609,604,246464,421108
1668513600,616,612,251194,280291
1668600000,625,619,159031,248318
1668686400,621,618,237632,274328
1668772800,622,612,266971,317692
1668859200,622,618,196358,350084
1668945600,632,625,174190,352251
1669032000,636,627,196483,319754
1669204800,953,943,323526,381891
1669291200,640,636,249638,397801
1669377600,637,631,144614,263047
1669464000,627,616,203157,286763
1669550400,622,613,182388,312440
1669636800,611,603,180496,288728
1669723200,617,609,191405,319548
1669896000,626,622,240754,306855
1669982400,624,616,127871,289262
1670068800,620,611,186499,301499
1670155200,605,601,203251,330970
1670241600,611,604,164224,311852
1670328000,616,606,232034,315894
1670414400,611,603,186097,284409
1670500800,607,601,165390,318821
1670587200,611,605,165299,315818
1670760000,614,606,317413,422244
1670846400,615,608,200515,418860
1670932800,620,612,232513,440678
1671019200,618,610,210466,325487
1671105600,621,613,179625,388890
1671192000,627,614,200456,412143
1671278400,621,612,221814,477080
1671364800,625,614,191809,401874
1671451200,626,615,279807,418045
1671537600,628,613,136680,290013
1671624000,626,615,298053,510664
1671710400,624,616,286338,378017
1671796800,619,612,195946,363786
1671883200,617,613,160577,336098
1671969600,615,607,183320,334335
1672056000,616,607,200104,429844
1672142400,613,604,207151,398859
1672228800,618,610,316223,422545
1672315200,616,610,272030,415272
