timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,1078,1070,270969,404597
1664539200,1067,1048,206548,386903
1664625600,1056,1041,392109,481421
1664712000,1056,1031,272164,475242
1664798400,1052,1043,359560,449884
1664884800,1068,1059,249974,407696
1664971200,1062,1055,243329,534054
1665057600,1060,1054,177655,405531
1665144000,1059,1049,202042,422907
1665230400,1052,1029,279806,454022
1665316800,1057,1043,232733,511625
1665403200,1047,1042,231762,470200
1665489600,1061,1050,215908,496711
1665576000,1059,1050,280325,525022
1665662400,1060,1053,245710,653653
1665748800,1062,1051,178805,493463
1665835200,1054,1043,284066,616279
1665921600,1058,1048,335310,497386
1666008000,1065,1052,279306,455500
1666094400,1056,1050,190997,378925
1666180800,1069,1060,280310,445567
1666267200,1068,1062,239857,537215
1666353600,1068,1061,178063,605959
1666440000,1066,1061,280550,517599
1666526400,1069,1065,100546,302230
1666612800,1070,1066,234840,434562
1666699200,1082,1073,271080,459280
1666785600,1083,1077,160090,439661
1666872000,1079,1063,230488,467065
1666958400,1069,1055,235333,473816
1667044800,1059,1049,343295,497122
1667131200,1060,1047,236394,545452
1667217600,1076,1063,234111,454568
1667304000,1075,1069,155058,618052
1667390400,1081,1072,162589,420076
1667476800,1101,1098,245917,376339
1667563200,1113,1096,196436,619587
1667649600,1100,1088,257825,516527
1667736000,1121,1116,168725,517897
1667822400,1138,1135,196324,474266
1667908800,1129,1116,213041,529511
1667995200,1131,1127,191440,524237
1668081600,1103,1086,311981,412925
1668168000,1118,1100,310433,487808
1668254400,1101,1090,201131,438451
1668340800,1090,1079,254554,387475
1668427200,1116,1102,155045,439469
1668513600,1119,1107,218554,631229
1668600000,1137,1126,136790,395424
1668686400,1144,1134,212496,417221
1668772800,1143,1134,259333,375630
1668859200,1128,1114,138502,688804
1668945600,1106,1093,217445,421894
1669032000,1089,1073,359802,373830
1669204800,1103,1083,269598,472916
1669291200,1090,1079,243098,447706
1669377600,1080,1061,223963,415898
1669464000,1062,1050,231955,452984
1669550400,1039,1029,343539,468571
1669636800,1042,1034,174724,350127
1669723200,1048,1042,297775,611703
1669809600,,1042,0,18
1669896000,1078,1069,224622,461673
1669982400,1076,1068,152301,445584
1670068800,1074,1070,262795,400566
1670155200,1070,1058,201382,460893
1670241600,1073,1067,200291,427413
1670328000,1077,1073,122637,392968
1670414400,1079,1076,108852,415630
1670500800,1077,1070,166585,447368
1670587200,1082,1075,174841,452779
1670760000,1065,1060,322130,443725
1670846400,1077,1068,232944,489465
1670932800,1075,1071,151966,531724
1671019200,1075,1066,245458,544572
1671105600,1070,1061,185818,536309
1671192000,1070,1063,199081,375056
1671278400,1068,1057,249900,476215
1671364800,1049,1043,229583,545475
1671451200,1073,1066,155478,479842
1671537600,1064,1060,217756,463335
1671624000,1066,1060,210628,537030
1671710400,1047,1034,235540,531415
1671796800,1041,1025,296265,488208
1671883200,1030,1022,279345,374087
1671969600,1024,1009,259767,375425
1672056000,1024,1016,390053,449928
1672142400,1049,1037,265334,455836
1672228800,1048,1042,189450,387052
1672315200,1043,1030,268243,494503
