timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,88076,87401,2780,28897
1664539200,91803,90911,1724,27799
1664625600,91708,91009,4213,31986
1664712000,91098,90559,2468,29562
1664798400,86824,87828,5759,30251
1664884800,87991,87075,2359,25474
1664971200,88236,87836,1115,25835
1665057600,89606,88243,1288,27316
1665144000,86087,85400,3998,25752
1665230400,83573,82800,3253,23400
1665316800,82688,81755,6377,29176
1665403200,82146,81599,3569,29844
1665489600,81536,81235,2122,27843
1665576000,81499,81248,2983,23874
1665662400,79918,79169,4258,22525
1665748800,78323,77466,2942,27328
1665835200,75185,74631,2911,27890
1665921600,75768,74523,2409,28318
1666008000,75837,75183,1910,31487
1666094400,76203,75446,2377,26125
1666180800,75840,75163,2382,24934
1666267200,76713,75749,649,24795
1666353600,77506,76513,2713,27717
1666440000,77650,77026,1433,31508
1666526400,78588,77745,1361,26084
1666612800,78447,77859,2026,25839
1666699200,79595,78758,1876,26066
1666785600,79867,79001,2312,24100
1666872000,79720,79266,2038,22077
1666958400,79206,78970,1728,24200
1667044800,78565,78060,1843,23829
1667131200,76289,75593,2560,25099
1667217600,76685,75999,2210,26798
1667304000,77402,76796,1722,26848
1667390400,77570,77153,969,26861
1667476800,77261,77264,1812,22772
1667563200,78276,77517,1476,22760
1667649600,77500,77209,2891,24485
1667736000,77153,76817,2102,23440
1667822400,76815,76437,2200,24049
1667908800,76979,76774,1832,23230
1667995200,76977,76784,2850,21878
1668081600,76832,76632,2790,24352
1668168000,76583,76342,2874,22743
1668254400,76260,76070,1756,22716
1668340800,75212,74539,2736,22344
1668427200,74866,74451,2839,21858
1668513600,75183,74736,3027,20404
1668600000,74923,74750,1459,21640
1668686400,75115,75069,2104,20354
1668772800,74946,74709,1924,19356
1668859200,75161,74832,3210,20236
1668945600,75405,75049,2024,27478
1669032000,75899,75603,1746,25781
1669204800,117704,117735,4352,28796
1669291200,81733,81057,2912,24580
1669377600,82385,81920,940,20147
1669464000,82600,82438,3240,25567
1669550400,82189,81920,2935,25773
1669636800,81640,81139,2937,21802
1669723200,81414,80979,1541,21659
1669896000,80834,80703,1801,19706
1669982400,80788,80632,2698,20141
1670068800,79575,78905,6115,21899
1670155200,77869,77246,3501,25348
1670241600,77709,76673,2625,23907
1670328000,77451,77117,1835,24890
1670414400,78033,77786,2346,23637
1670500800,79660,78944,2348,21640
1670587200,80270,79503,1890,22628
1670760000,82378,81878,3415,27359
1670846400,81074,80722,3446,21773
1670932800,82043,81366,3109,22534
1671019200,82546,82037,1893,23956
1671105600,82521,82289,1670,24120
1671192000,80982,79858,1602,20201
1671278400,79905,79128,3034,22375
1671364800,80081,79310,3027,23398
1671451200,79072,78674,2770,23424
1671537600,59706,79084,1395,19050
1671624000,79782,79387,2259,23072
1671710400,79464,79209,2435,24046
1671796800,79203,78615,3814,21161
1671883200,75067,74759,4194,21640
1671969600,75130,74335,2439,16745
1672056000,75728,75194,1622,24204
1672142400,77202,76395,2813,26727
1672228800,77270,76815,2377,26592
1672315200,76799,76391,2907,25037
1672401600,76025,75936,4103,24770
1672488000,73085,72345,5327,23632
1672574400,71419,70792,3666,22314
1672660800,71932,71439,3481,28188
1672747200,73307,72436,1384,29322
1672833600,74149,73318,3128,29266
1672920000,74153,73637,2380,25473
1673006400,75059,74595,4015,28877
1673092800,76098,75599,1766,30592
1673179200,75982,75877,4634,31770
1673265600,76052,75877,3152,25612
1673352000,75852,75642,2467,24764
1673438400,75591,75528,4317,29382
1673524800,70346,69370,3988,26120
1673611200,69243,68548,4095,34810
1673697600,70372,70029,3641,31786
1673784000,70560,70384,4543,31297
1673870400,71663,70976,4195,26755
1673956800,74118,73351,2678,26357
1674043200,75397,75041,2419,28561
1674129600,75447,75073,2713,29019
1674216000,76216,75630,2603,25335
1674302400,75478,75042,2666,28577
1674388800,72911,72547,3322,28240
1674475200,71350,70894,3442,33847
1674561600,72326,71865,1873,23433
1674648000,73262,72717,1738,27523
1674734400,73195,73030,1718,21741
1674820800,72651,72239,2023,27631
1674907200,70793,70635,4062,29984
1674993600,68071,67411,4575,31559
1675080000,68032,67466,4186,33090
1675166400,68119,67841,979,28353
1675252800,68464,68335,4581,31724
1675339200,70039,69349,2356,31057
1675425600,69763,69631,2793,28850
1675512000,69521,69177,3742,32129
