timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,1877,1853,2077865,1754080
1664539200,1862,1835,2284051,1800903
1664625600,1875,1847,2075714,1796426
1664712000,1888,1858,2234148,1793186
1664798400,1891,1863,1792189,1806099
1664884800,1879,1850,1889683,2080771
1664971200,1867,1844,1996972,1969536
1665057600,1860,1834,2100590,1639184
1665144000,1848,1824,2003791,1594872
1665230400,1837,1817,2046237,1541947
1665316800,1854,1831,2134012,2219905
1665403200,1897,1862,1929186,2417786
1665489600,1904,1880,1638632,1804251
1665576000,1926,1903,1856349,2096086
1665662400,1917,1889,2276433,1896668
1665748800,1890,1862,2255271,2118110
1665835200,1861,1829,2542680,2257714
1665921600,1853,1826,2964145,1516751
1666008000,1851,1834,1706963,1696822
1666094400,1851,1836,1821546,1564181
1666180800,1850,1833,1516703,1668991
1666267200,1854,1836,1753685,1752138
1666353600,1872,1851,2133124,1867522
1666440000,1906,1879,1953120,1961484
1666526400,1915,1889,1716509,2230175
1666612800,1910,1895,2123982,1884780
1666699200,1937,1912,1801321,2220961
1666785600,1957,1933,1733707,2087110
1666872000,1958,1943,1953804,1601529
1666958400,1941,1914,2046171,1814696
1667044800,1911,1888,2327721,1842541
1667131200,1919,1896,2253388,2104545
1667217600,1904,1885,2654351,2365625
1667304000,1892,1876,2381952,1693645
1667390400,1898,1879,1936234,1714679
1667476800,1951,1919,1732191,2269123
1667563200,1977,1955,2173984,1879281
1667649600,2003,1988,1960829,2248576
1667736000,2040,2015,2155074,2418040
1667822400,2063,2038,1654907,2685169
1667908800,2063,2046,1714220,2335803
1667995200,2048,2022,1833314,2305572
1668081600,2053,2035,1633213,2897301
1668168000,2059,2038,1778764,2888441
1668254400,2063,2045,1493600,2270929
1668340800,2070,2048,1750339,2909187
1668427200,2053,2029,2253235,3082367
1668513600,2042,2017,2321287,2556523
1668600000,2045,2031,2117183,1598212
1668686400,2057,2044,1669179,1768974
1668772800,2061,2043,1886397,1787949
1668859200,2095,2074,2018130,2180534
1668945600,2085,2073,2258413,2485822
1669032000,2065,2038,2313436,2896048
1669204800,3105,3068,2886739,2311771
1669291200,2062,2044,2047653,1434120
1669377600,2055,2039,1563418,1584756
1669464000,2036,2011,1800865,2158828
1669550400,2008,1985,2113351,2306618
1669636800,1998,1975,2201597,2290213
1669723200,1995,1980,2102809,1921406
1669896000,1988,1968,2065074,2006905
1669982400,1968,1942,2177525,1866391
1670068800,1952,1934,2316745,1995820
1670155200,1974,1951,2511044,2121201
1670241600,1989,1962,2137588,2685472
1670328000,1969,1949,2377902,1821914
1670414400,1966,1948,2322358,2133867
1670500800,2011,1992,2102066,2072060
1670587200,2032,2008,1838596,2094695
1670760000,2018,2004,3710027,2703741
1670846400,2028,2015,2079356,2260955
1670932800,2033,2018,1954532,2075283
1671019200,2038,2026,2060752,1834058
1671105600,2067,2046,1740134,2105890
1671192000,2073,2051,2496667,2362212
1671278400,2079,2060,2268406,1888982
1671364800,2081,2065,2179537,2139879
1671451200,2067,2044,2361606,2113688
1671537600,2055,2035,2135255,1172966
1671624000,2043,2022,2927789,2039918
1671710400,2030,2012,2429686,2027522
1671796800,2044,2026,2531097,2141506
1671883200,2074,2053,2722746,2207882
1671969600,2081,2062,1977538,1923617
1672056000,2080,2063,2513320,1947523
1672142400,2085,2066,2507153,2300371
1672228800,2118,2092,2844772,2930079
1672315200,2178,2158,2456497,2660613
1672401600,2177,2157,2741008,2497726
1672488000,2135,2112,3010513,2390278
1672574400,2061,2034,2467039,1461003
1672660800,2034,2009,2940080,2330162
1672747200,2038,2020,2709108,2506375
1672833600,2029,2011,2933300,2156187
1672920000,2008,1987,2669366,2015417
1673006400,2007,1990,2147871,1880001
1673092800,2007,1993,2590569,2013112
1673179200,2008,1995,2978983,2903013
1673265600,2038,2021,1749749,2144730
1673352000,2046,2032,2534787,2490008
1673438400,2065,2043,2100367,2445935
1673524800,2061,2036,2402360,2331269
1673611200,2052,2030,2322264,2151737
1673697600,2042,2019,3303065,2654296
1673784000,2057,2032,2981868,2887758
1673870400,2118,2092,2201544,2528955
1673956800,2141,2111,2579031,2970207
1674043200,2132,2110,2866497,2157810
1674129600,2109,2086,3283268,2341552
1674216000,2113,2094,3077795,2235751
1674302400,2120,2100,2555931,3082810
1674388800,2119,2102,2706356,2421506
1674475200,2122,2105,3057037,2437007
1674561600,2119,2100,2175687,1994766
1674648000,2115,2097,2480829,2457853
1674734400,2092,2067,2548934,2114497
1674820800,2069,2045,2612568,2606086
1674907200,2072,2050,2794905,2707517
1674993600,2053,2029,3330987,2685168
1675080000,2033,2011,3657961,2493480
1675166400,2034,2017,2527184,2264228
1675252800,2029,2010,2807624,2021865
1675339200,2023,2006,2819355,2299954
1675425600,2023,2008,2926971,2024672
1675512000,2022,2007,3228162,2394677
