timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,3510,2731,730,12126
1664539200,3574,2928,98,9918
1664625600,3339,2885,2620,11924
1664712000,3287,2932,674,10662
1664798400,2781,2728,1161,10567
1664884800,2959,2854,1453,9272
1664971200,3093,2927,564,9220
1665057600,2955,2854,1174,7368
1665144000,2419,2214,1911,5413
1665230400,2652,2581,2112,4906
1665316800,2774,2714,3118,13258
1665403200,2637,2626,2795,11076
1665489600,2733,2662,2453,9498
1665576000,2703,2665,1718,10896
1665662400,2843,2701,1973,7327
1665748800,2742,2693,1138,8721
1665835200,2898,2870,379,11234
1665921600,3129,3082,140,10700
1666008000,3216,3371,632,13033
1666094400,7145,3277,352,11706
1666180800,3765,3466,329,10710
1666267200,3741,3490,386,9831
1666353600,3613,3481,1680,9723
1666440000,3606,3521,1906,9642
1666526400,3678,3613,1183,11133
1666612800,3658,3600,2581,8368
1666699200,3564,3608,1379,8868
1666785600,3576,3615,716,11407
1666872000,3645,3709,1497,9869
1666958400,3739,3698,1500,10487
1667044800,3876,3707,1083,12653
1667131200,4384,3779,1395,12920
1667217600,4630,3921,1266,11417
1667304000,4237,3991,337,9782
1667390400,4571,4146,791,10761
1667476800,4381,4300,1071,12144
1667563200,4237,4125,1394,8165
1667649600,3847,3731,3210,9782
1667736000,3858,3757,2656,9648
1667822400,4209,4017,1879,15649
1667908800,4187,4061,2136,13380
1667995200,4031,3985,1331,11706
1668081600,3740,3693,1971,8632
1668168000,3391,3529,4420,9071
1668254400,3536,3504,2827,11005
1668340800,3708,3583,1789,15740
1668427200,3642,3631,2656,9161
1668513600,3561,3536,5474,6790
1668600000,3498,3423,3220,7755
1668686400,3392,3373,2950,6407
1668772800,3410,3387,3721,10148
1668859200,3532,3402,2310,11438
1668945600,3589,3512,1860,15397
1669032000,3968,3476,1642,14880
1669204800,5538,5241,2899,13798
1669291200,3496,3494,1746,10479
1669377600,3687,3536,1179,7289
1669464000,2664,3539,1137,10604
1669550400,3789,3531,617,10665
1669636800,4199,3740,1541,13800
1669723200,3738,3709,1777,13803
1669896000,3529,3568,5782,7958
1669982400,3765,3588,1527,8561
1670068800,3669,3535,3431,10043
1670155200,3528,3451,3375,9991
1670241600,3002,2704,3958,8619
1670328000,3014,2952,3401,12122
1670414400,3937,3628,789,12457
1670500800,4088,3773,929,12292
1670587200,4245,3924,530,12112
1670760000,4138,4074,1363,16670
1670846400,4329,4119,1672,14292
1670932800,4195,4067,2229,11555
1671019200,3980,3802,2715,12149
1671105600,3653,3303,3503,7774
1671192000,3263,3121,3820,9775
1671278400,3380,3298,2998,10008
1671364800,3385,3388,3385,7842
1671451200,3816,3628,1071,13907
1671537600,3523,3494,1556,11925
1671624000,3459,3476,2503,11166
1671710400,3329,3278,2641,7782
1671796800,3557,3441,1386,12658
1671883200,4413,3549,611,13530
1671969600,3937,3611,505,8925
1672056000,4699,3895,1275,14456
1672142400,4360,3899,533,16577
1672228800,4106,3951,795,14339
1672315200,3860,3790,3094,12932
1672401600,3632,3606,4534,12408
1672488000,3674,3597,2285,11253
1672574400,3833,3685,774,13295
1672660800,3799,3776,1528,16080
1672747200,4272,3938,372,15618
1672833600,4188,4012,649,13093
1672920000,4175,4087,782,13714
1673006400,3846,3872,3098,10399
1673092800,3754,3572,3594,10775
1673179200,3739,3678,2495,14688
1673265600,3848,3817,1871,13316
1673352000,3865,3838,1458,14075
1673438400,3615,3542,3813,13103
1673524800,3428,3402,3537,15153
1673611200,2496,2027,4115,10981
1673697600,2758,2542,3279,12026
1673784000,2849,2698,4379,9602
1673870400,2784,2651,6184,9207
1673956800,2881,2859,1853,12223
1674043200,2853,2894,2680,13131
1674129600,2993,2920,1668,15834
1674216000,3174,3049,1615,17027
1674302400,2878,2985,1197,15693
1674388800,2881,2832,4375,13757
1674475200,2793,2767,3335,13584
1674561600,2635,2577,2087,7533
1674648000,2633,2605,4568,12018
1674734400,2668,2622,1169,13416
1674820800,2748,2672,2324,15013
1674907200,2875,2711,1222,16089
1674993600,2857,2710,2238,16740
1675080000,2909,2777,2821,15835
1675166400,2942,2906,1233,14086
1675252800,2846,2694,1938,13750
1675339200,2559,2524,3481,10555
1675425600,2605,2510,5053,16018
1675512000,2608,2583,2350,16042
