timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,7,7,2920867,3750422
1664539200,7,7,2858958,3142697
1664625600,7,7,2977753,5681150
1664712000,7,7,2978234,4203862
1664798400,7,7,3321922,4374482
1664884800,7,7,3735777,3178746
1664971200,7,7,6885233,1665549
1665057600,7,7,4196015,2182666
1665144000,7,7,3183143,1927187
1665230400,7,7,3340148,2332643
1665316800,7,7,5303372,2508197
1665403200,7,7,3131824,2010975
1665489600,7,7,3421834,2260177
1665576000,7,7,2328731,3253528
1665662400,7,7,2359178,4620837
1665748800,7,7,2293260,4418963
1665835200,7,7,2841187,4002269
1665921600,7,7,2764676,4920555
1666008000,7,7,2357244,4882924
1666094400,7,7,2300588,4107275
1666180800,7,7,2346822,3050562
1666267200,7,7,2285308,3402182
1666353600,7,7,2287740,3020110
1666440000,7,7,3067941,3722058
1666526400,7,7,2649801,4097471
1666612800,7,7,3010515,3992132
1666699200,7,7,2358142,3880143
1666785600,7,7,2287157,2996158
1666872000,7,7,2261280,7692879
1666958400,7,7,3350050,3334286
1667044800,7,7,6021731,3787183
1667131200,7,7,3008249,3493360
1667217600,7,7,3390983,4447505
1667304000,7,7,2185422,3963153
1667390400,7,7,2450301,3492048
1667476800,7,7,2503690,3822849
1667563200,7,7,2293287,3943733
1667649600,7,7,2817349,3494718
1667736000,7,7,3789237,4635448
1667822400,7,7,2491563,4368024
1667908800,7,7,2228987,3951838
1667995200,7,7,2347544,2986767
1668081600,7,7,3947345,3194015
1668168000,7,7,3618031,3171855
1668254400,7,7,2633452,3823306
1668340800,7,7,2493291,3906059
1668427200,7,7,3105435,3359111
1668513600,7,7,2864119,3372686
1668600000,7,7,2126933,2986421
1668686400,7,7,2195928,3703697
1668772800,7,7,2660993,3172700
1668859200,7,7,2982434,2900800
1668945600,7,7,2794297,4636253
1669032000,7,7,1961416,3349023
1669204800,10,10,3517659,3941647
1669291200,7,7,3071182,3300423
1669377600,7,7,1774211,3023198
1669464000,7,7,3013048,4051656
1669550400,7,7,2806853,4507749
1669636800,7,7,3293607,3976797
1669723200,7,7,2525333,4440569
1669896000,7,7,3105818,3340089
1669982400,7,7,3142162,3919486
1670068800,7,7,2392231,3365794
1670155200,7,7,3281521,4429975
1670241600,7,7,2902405,4470520
1670328000,7,7,2563155,3443606
1670414400,7,7,2537012,4045560
1670500800,7,7,2751783,3556772
1670587200,7,7,2798466,7633980
1670760000,7,7,3193434,4346318
1670846400,7,7,3336599,4774041
1670932800,7,7,3129346,4637372
1671019200,7,7,2545177,4158783
1671105600,7,7,4030617,2196556
1671192000,7,7,3989174,2809803
1671278400,7,7,2343586,5104167
1671364800,7,7,3476941,4811947
1671451200,7,7,2855271,4301936
1671537600,7,7,4426113,4105794
1671624000,7,7,3449974,3567698
1671710400,7,7,3975306,4250235
1671796800,7,7,2560003,4936549
1671883200,7,7,2501331,4740540
1671969600,7,7,5606838,3282815
1672056000,7,7,2897938,7662070
1672142400,7,7,2895955,5118280
1672228800,7,7,2934448,4305391
1672315200,7,7,3637486,3569853
