timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664539200,2,2,8473533,6378610
1664625600,3,2,11041614,4364150
1664712000,2,2,12741483,7036779
1664798400,2,2,16411127,5203988
1664884800,2,2,9463327,9039199
1664971200,2,2,10152876,3264031
1665057600,3,2,7086175,6611439
1665144000,2,2,9269430,7002133
1665230400,2,2,11361787,5859296
1665316800,3,2,10273656,9262281
1665403200,3,2,8798641,7189845
1665489600,3,2,8412183,10216113
1665576000,2,2,11655041,4984340
1665662400,3,2,10755447,5878489
1665748800,2,2,12341151,3013922
1665835200,2,2,10677966,6308877
1665921600,2,2,8928102,5387603
1666008000,2,2,10133775,7953756
1666094400,3,2,11550550,5877817
1666180800,3,2,7772273,6876230
1666267200,3,2,8952003,11493318
1666353600,3,3,7587662,5749685
1666440000,3,3,7092647,8848597
1666526400,3,2,10265840,7406689
1666612800,3,2,9342236,5735826
1666699200,2,2,23623610,8480918
1666785600,3,2,8577706,7994795
1666872000,2,2,12764496,3889702
1666958400,3,2,11839326,4462611
1667044800,3,2,9068327,6805725
1667131200,3,2,7821154,7245032
1667217600,2,2,12695034,3637434
1667304000,2,2,11616620,2546776
1667390400,2,2,12333896,2906742
1667476800,2,2,13429239,2748687
1667563200,2,2,14776247,2421323
1667649600,2,2,21571282,1666451
1667736000,2,2,9924502,5011785
1667822400,2,2,8402578,6164722
1667908800,2,2,10765895,1990968
1667995200,2,2,11136721,1961544
1668081600,3,2,11373660,3332737
1668168000,2,2,13107057,2523475
1668254400,2,2,10886235,5182298
1668340800,2,2,9340442,6744955
1668427200,2,2,9817905,5369808
1668513600,2,2,8345803,8915506
1668600000,2,2,6991695,8731419
1668686400,2,2,8015173,7004654
1668772800,2,2,9928151,10723508
1668859200,2,2,10879520,10119581
1668945600,2,2,8563027,7781372
1669032000,2,2,8428368,9229587
1669204800,3,3,9326086,18770370
1669291200,2,2,15448064,8603690
1669377600,2,2,6953173,5980612
1669464000,2,2,9276594,18665090
1669550400,2,2,9501474,5091025
1669636800,2,2,11639273,1946287
1669723200,2,2,12930532,2766579
1669896000,3,2,5166011,7451993
1669982400,2,2,8340563,5851814
1670068800,2,2,10856631,3239304
1670155200,2,2,29354531,4196872
1670241600,2,2,12769021,4012699
1670328000,2,2,9383229,9474817
1670414400,2,2,9028943,6664782
1670500800,2,2,6420050,9685442
1670587200,2,2,7353183,17182749
1670673600,2,1,4420531,4292470
1670760000,2,2,12273379,5843543
1670846400,2,2,12295893,3264642
1670932800,2,2,11322552,3219769
1671019200,2,2,21641516,6550549
1671105600,2,2,8440575,6143942
1671192000,2,2,11750702,9207888
1671278400,2,2,8008739,11096743
1671364800,2,2,9729345,15370367
1671451200,2,2,11350483,8646467
1671537600,2,2,8432887,6021127
1671624000,2,2,10241788,9566806
1671710400,2,2,11009676,8743135
1671796800,2,2,9446750,9673357
1671883200,2,2,7810920,8302452
1671969600,2,2,7801160,4702437
1672056000,2,2,13852453,4213869
1672142400,2,2,17696155,11286884
1672228800,2,2,20322048,9742652
1672315200,2,2,12090646,10669593
1672401600,2,2,12849643,11541306
1672488000,3,2,7981443,11314161
1672574400,2,2,6424271,9679219
1672660800,2,2,14127792,6366721
1672747200,2,2,9577859,9133660
1672833600,2,2,10969691,8837909
1672920000,2,2,16431329,10023142
1673006400,3,2,10359420,7512685
1673092800,2,2,19822452,11590801
1673179200,2,2,10517270,9316826
1673265600,2,2,21621925,9704343
1673352000,2,2,10366226,9155922
1673438400,2,2,9347396,9180692
1673524800,2,2,10583545,10126645
1673611200,2,2,8794599,10036251
1673697600,2,2,10723159,10048872
1673784000,2,2,13852618,9034795
1673870400,2,2,7924636,9795111
1673956800,2,2,10335276,10936111
1674043200,2,2,10245065,10445146
1674129600,2,2,10643281,10262999
1674216000,2,2,25154277,11857310
1674302400,2,2,10969265,7982770
1674388800,2,2,19419692,10954714
1674475200,2,2,11857532,11324195
1674561600,2,2,8638333,8242483
1674648000,2,2,18612926,11014122
1674734400,2,2,8809648,7569515
1674820800,2,2,11496112,9293797
1674907200,2,2,17180054,9573650
1674993600,2,2,13576726,17333410
1675080000,2,2,14122917,12222454
1675166400,2,2,9590241,8632129
1675252800,2,2,17327837,10283189
1675339200,2,2,11406661,10930084
1675425600,2,2,10750217,18097204
1675512000,2,2,10628485,12306894
