timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,364,361,65453,37968
1664539200,399,396,69357,61387
1664625600,425,411,39982,50620
1664712000,425,421,69029,31973
1664798400,414,405,49861,22508
1664884800,398,397,43236,13364
1664971200,408,402,51756,22209
1665057600,416,412,75529,18926
1665144000,425,423,75805,22147
1665230400,440,435,32867,20306
1665316800,439,435,114890,37375
1665403200,445,439,115847,36505
1665489600,443,437,122346,42795
1665576000,490,484,62431,25741
1665662400,495,477,89617,19480
1665748800,499,497,50042,65022
1665835200,491,488,53524,46491
1665921600,492,489,29907,33137
1666008000,491,479,41834,37441
1666094400,498,481,33402,10911
1666180800,491,479,53986,9663
1666267200,479,466,56827,6387
1666353600,463,462,134364,37746
1666440000,432,418,89527,34968
1666526400,412,388,29922,24263
1666612800,382,372,107696,16549
1666699200,389,366,53095,23613
1666785600,381,374,65615,34161
1666872000,416,414,96730,21736
1666958400,468,441,42836,34137
1667044800,471,459,78428,42757
1667131200,479,474,87164,33493
1667217600,482,460,37555,30117
1667304000,484,477,61196,28816
1667390400,484,482,97105,22508
1667476800,499,498,94237,13829
1667563200,497,495,72469,40242
1667649600,484,453,61307,36489
1667736000,455,452,52353,21106
1667822400,450,445,95181,21390
1667908800,495,491,71549,32955
1667995200,495,491,56142,14118
1668081600,495,478,25378,50746
1668168000,498,495,57678,25515
1668254400,497,490,85647,34010
1668340800,495,491,76463,45959
1668427200,510,501,91828,9232
1668513600,580,577,69881,40536
1668600000,596,576,30607,32231
1668686400,648,637,33041,7830
1668772800,647,639,65104,19063
1668859200,645,642,79704,39398
1668945600,644,624,124523,18595
1669032000,640,633,56764,38691
1669204800,640,633,23420,17751
1669291200,634,621,66314,17467
1669377600,599,589,68864,21540
1669464000,488,464,90120,43047
1669550400,445,428,92332,42527
1669636800,405,400,48834,17719
1669723200,392,383,132112,18312
1669896000,389,393,121662,20084
1669982400,481,461,71917,22427
1670068800,496,476,90458,42195
1670155200,469,464,52879,33592
1670241600,445,431,54656,31679
1670328000,501,496,46478,21030
1670414400,510,503,39558,70616
1670500800,563,554,70348,13958
1670587200,529,520,34495,46195
1670760000,413,412,170717,25896
1670846400,410,401,118372,35504
1670932800,495,488,63673,39582
1671019200,495,478,68323,78336
1671105600,456,446,55441,24810
1671192000,391,383,88133,48150
1671278400,358,350,58413,45773
1671364800,377,378,133202,40777
1671451200,382,375,75022,36788
1671537600,386,381,104828,11615
1671624000,396,396,119654,27974
1671710400,382,382,106626,31612
1671796800,380,381,40729,39947
1671883200,380,368,51472,45594
1671969600,384,373,68986,80780
1672056000,378,376,97319,72564
1672142400,363,365,140048,123683
1672228800,368,368,84423,43689
1672315200,348,344,105148,53522
