timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,156,153,19665337,8215423
1664539200,154,152,17616501,7470910
1664625600,150,147,19139611,5464599
1664712000,150,147,15946910,8481791
1664798400,147,143,19888742,8598660
1664884800,143,141,20452231,6992542
1664971200,142,140,17820414,7335723
1665057600,142,140,14650405,6172747
1665144000,143,141,14310290,7711983
1665230400,139,136,19209658,7194592
1665316800,139,136,16356462,8412513
1665403200,136,134,14068726,8431625
1665489600,136,135,16184107,7786744
1665576000,136,135,13474869,8423165
1665662400,138,136,14262137,7713756
1665748800,137,136,14258620,6730268
1665835200,135,133,16667288,7282474
1665921600,136,134,13058364,8114948
1666008000,135,134,15844556,6825408
1666094400,135,135,11578380,7957039
1666180800,135,134,17913895,5818764
1666267200,136,134,13471172,5683440
1666353600,135,133,16755544,11607133
1666440000,134,133,15896749,6862967
1666526400,133,132,13459154,5473865
1666612800,133,132,13059188,8097052
1666699200,133,131,14788961,8736263
1666785600,132,131,12963164,6138170
1666872000,132,130,13932381,6513980
1666958400,131,129,13053654,5888047
1667044800,129,127,17792056,6553668
1667131200,128,125,15602660,6135376
1667217600,126,125,14508373,8178667
1667304000,116,114,21639511,3568115
1667390400,114,111,20666091,6987322
1667476800,113,111,18701135,8121831
1667563200,123,121,12683680,8393124
1667649600,129,126,9973850,9080034
1667736000,130,128,13170665,9891770
1667822400,131,129,12698765,8673505
1667908800,134,132,11864275,7518903
1667995200,135,133,13817006,8015536
1668081600,135,134,13691655,7064522
1668168000,136,135,16440147,8438627
1668254400,136,135,14736241,6512039
1668340800,137,136,16778859,7996250
1668427200,137,136,14444665,6162836
1668513600,137,136,12910773,6786577
1668600000,137,136,17630520,5026992
1668686400,135,133,14383727,5992103
1668772800,133,130,16574319,6514846
1668859200,132,130,15653441,5353746
1668945600,132,131,15940469,6288987
1669032000,131,130,16579317,7453885
1669204800,198,196,17777151,8427468
1669291200,131,129,16484437,6106331
1669377600,130,128,11387827,3785381
1669464000,128,126,16744558,6658638
1669550400,127,125,13932182,6132012
1669636800,126,124,17798243,6135100
1669723200,125,123,18634363,6358124
1669896000,124,122,12134980,7114464
1669982400,123,122,14408857,7409642
1670068800,122,121,12048518,8078385
1670155200,122,121,14905893,6421806
1670241600,123,121,14029154,6822765
1670328000,121,119,16289205,6506108
1670414400,119,117,15665665,6758238
1670500800,118,117,12453134,7518878
1670587200,119,118,15897172,6534686
1670760000,119,118,16755509,7805337
1670846400,120,118,14978035,7644019
1670932800,123,121,15033212,6411343
1671019200,121,120,16381158,6872847
1671105600,120,119,15977993,7105476
1671192000,121,120,15351511,6535769
1671278400,121,119,14198866,9746493
1671364800,119,118,19391218,7046392
1671451200,119,117,18301384,6910237
1671537600,119,118,15422229,5733162
1671624000,118,118,14946644,6567643
1671710400,118,116,18061084,6974977
1671796800,118,116,18757508,6726352
1671883200,116,115,14036492,7205717
1671969600,116,115,12239302,6550379
1672056000,118,116,14081598,6668573
1672142400,117,114,19111790,8704441
1672228800,116,114,17875494,8117308
1672315200,117,115,21608274,7623152
1672401600,116,115,20503475,7351664
1672488000,115,114,17216711,6981517
1672574400,117,115,9359204,8998915
1672660800,117,115,15993743,8019441
1672747200,117,115,17528256,9109788
1672833600,115,113,22843258,5789614
1672920000,114,112,21946735,7702030
1673006400,112,111,23548905,7730078
1673092800,111,108,22791876,7621348
1673179200,112,110,22172644,10551325
1673265600,112,110,20114900,7880044
1673352000,112,111,17678496,7654736
1673438400,112,111,20342540,9880809
1673524800,112,110,21951352,7698846
1673611200,112,110,17692939,7964508
1673697600,111,109,25279476,8956625
1673784000,111,110,16266074,7911592
1673870400,110,108,18037669,7495120
1673956800,108,107,23489464,8828916
1674043200,107,104,22106925,9191554
1674129600,101,100,43296023,7085098
1674216000,102,100,23295155,9396008
1674302400,102,100,29030647,9334366
1674388800,102,100,29841302,10201696
1674475200,100,98,28672714,9898623
1674561600,100,99,18906958,7006857
1674648000,100,98,23493661,8780311
1674734400,100,99,20734530,7535972
1674820800,101,99,20322807,11623256
1674907200,102,100,23723529,10657040
1674993600,101,99,27701830,11183772
1675080000,101,99,25188193,10924646
1675166400,101,100,20936097,8361051
1675252800,101,99,21991763,11899958
1675339200,101,99,17503516,7494118
1675425600,100,99,24487132,9389031
1675512000,100,99,25239686,9737142
