timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,412,405,2106146,1860091
1664539200,408,403,1664633,1133573
1664625600,406,400,1579171,1533758
1664712000,401,397,2149410,1160994
1664798400,395,388,2236685,1561877
1664884800,394,387,1923900,1252204
1664971200,392,386,1830724,1113565
1665057600,390,385,2032650,1048002
1665144000,383,377,2160008,1273000
1665230400,380,372,2192967,1589156
1665316800,388,381,2225970,1520859
1665403200,402,397,1583471,1428748
1665489600,406,400,1863530,1421578
1665576000,411,405,1471642,1497450
1665662400,411,406,1686635,1473594
1665748800,410,405,1476981,1122920
1665835200,407,402,2030095,1305295
1665921600,390,383,3199924,1223022
1666008000,389,382,1686593,1053342
1666094400,404,399,1300473,1725117
1666180800,403,398,1547065,1554372
1666267200,402,399,1576993,798610
1666353600,400,392,2442516,1658222
1666440000,404,396,1771405,1504685
1666526400,414,408,1829871,1116352
1666612800,413,406,1812782,1892435
1666699200,413,410,1655807,1126175
1666785600,410,407,2081883,1420943
1666872000,410,404,1828026,1216982
1666958400,394,386,2214528,1338934
1667044800,396,390,1956797,1408799
1667131200,402,395,1825678,1812633
1667217600,409,400,1239093,1397319
1667304000,413,408,1863288,862181
1667390400,431,424,1543634,1249046
1667476800,431,425,2037446,1443472
1667563200,426,421,2461439,1432750
1667649600,426,420,2443940,1481486
1667736000,440,434,2498481,1366794
1667822400,438,431,1928911,1526206
1667908800,441,436,1776057,1326220
1667995200,445,441,2440576,1004155
1668081600,448,445,1864830,1119998
1668168000,458,452,1746879,1542490
1668254400,463,459,1974961,1242737
1668340800,458,450,2520053,1694558
1668427200,452,447,2082254,1836179
1668513600,453,447,1602732,1214132
1668600000,466,461,1595049,1477455
1668686400,464,458,1735554,1415445
1668772800,458,450,1615699,1588952
1668859200,446,441,1869462,1072851
1668945600,443,436,1964564,1657375
1669032000,453,444,1547453,1835705
1669204800,674,661,2018700,2923313
1669291200,446,437,1636232,2272762
1669377600,434,423,1592884,1545972
1669464000,425,417,2766024,2943742
1669550400,427,422,2376425,1484717
1669636800,429,424,1667756,1073730
1669723200,424,418,2262030,1182681
1669896000,421,415,1645292,1104133
1669982400,419,415,1890597,1139617
1670068800,432,426,2259662,1105450
1670155200,435,430,2006467,1673464
1670241600,440,435,1828187,1500334
1670328000,453,448,1598802,1385200
1670414400,461,457,2288366,1299207
1670500800,469,464,2365579,1324152
1670587200,471,467,1840197,1430401
1670760000,502,495,2480179,1939662
1670846400,509,503,3518851,1948514
1670932800,506,502,2034352,1231350
1671019200,515,509,2364139,1165393
1671105600,521,516,2060046,1355264
1671192000,552,542,2024643,1639115
1671278400,535,527,2067423,1662895
1671364800,529,519,2289178,1456649
1671451200,521,512,2255996,1247638
1671537600,502,493,1698971,658536
1671624000,478,468,2715964,2194066
1671710400,466,457,2399089,1102070
1671796800,476,468,2148855,1602502
1671883200,485,476,2303244,2049205
1671969600,484,479,1853937,933261
1672056000,476,468,2544851,1112927
1672142400,474,467,2488285,1654091
1672228800,475,469,2376020,1301473
1672315200,474,468,2209100,1311104
