timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,160,156,183132,523770
1664539200,153,152,192046,518903
1664625600,145,138,194041,374657
1664712000,150,145,209259,569004
1664798400,143,135,235118,445741
1664884800,139,135,184206,477540
1664971200,139,135,153019,443674
1665057600,151,140,126271,476384
1665144000,141,136,114083,443117
1665230400,145,138,145714,604255
1665316800,143,135,246626,508275
1665403200,122,114,261596,461827
1665489600,119,108,220439,348190
1665576000,115,108,174851,364510
1665662400,112,107,130377,321332
1665748800,113,107,203784,323704
1665835200,107,102,213833,351574
1665921600,111,106,198040,401774
1666008000,110,108,172281,417209
1666094400,99,99,402663,364122
1666180800,117,109,160352,390705
1666267200,122,117,102040,448449
1666353600,118,115,204621,387004
1666440000,125,114,214217,559598
1666526400,110,108,287237,537277
1666612800,119,112,228746,510036
1666699200,119,114,147903,520289
1666785600,119,116,188594,379896
1666872000,128,121,142560,435368
1666958400,119,118,133837,503605
1667044800,109,107,156347,321033
1667131200,104,98,204956,447941
1667217600,104,99,176667,407552
1667304000,108,105,161929,364165
1667390400,104,102,163423,439471
1667476800,102,105,132882,365713
1667563200,100,97,191865,357398
1667649600,106,102,161156,454937
1667736000,103,103,101888,464327
1667822400,113,107,162032,528848
1667908800,113,107,162809,513991
1667995200,105,102,213886,348869
1668081600,113,107,164617,407236
1668168000,116,110,113856,430432
1668254400,112,109,127275,381968
1668340800,115,110,140998,461648
1668427200,111,108,193431,454916
1668513600,108,108,48180,367808
1668600000,115,108,126116,365312
1668686400,116,114,70623,362605
1668772800,116,111,143759,347713
1668859200,116,110,153010,366138
1668945600,125,116,48734,433270
1669032000,121,115,104316,472746
1669204800,179,173,264715,490873
1669291200,106,105,326695,480159
1669377600,114,112,130242,246172
1669464000,118,114,137031,425072
1669550400,117,113,228564,464675
1669636800,110,107,155611,291524
1669723200,121,119,166853,404138
1669896000,119,113,122138,359338
1669982400,120,116,118188,333733
1670068800,122,118,144437,458541
1670155200,125,120,164226,478226
1670241600,122,117,204743,369639
1670328000,118,117,210382,433247
1670414400,119,116,268558,374876
1670500800,119,115,131749,439780
1670587200,110,109,158670,367063
1670760000,112,112,93086,359035
1670846400,111,109,184884,459124
1670932800,111,107,152696,409582
1671019200,109,106,89972,359150
1671105600,95,96,249435,477168
1671192000,103,101,148207,296788
1671278400,98,95,176436,313299
1671364800,99,91,339522,378933
1671451200,102,100,185087,391110
1671537600,77,101,134451,272609
1671624000,96,92,215781,319230
1671710400,95,87,169095,414679
1671796800,97,93,115758,337329
1671883200,100,96,156878,389759
1671969600,106,100,146338,374795
1672056000,105,102,133540,415238
1672142400,106,103,157573,430209
1672228800,102,100,158971,420691
1672315200,98,96,171686,430212
1672401600,98,97,128084,353788
1672488000,97,94,182629,338048
1672574400,97,93,109981,381753
1672660800,95,93,125768,412307
1672747200,97,94,75780,418231
1672833600,96,95,110522,405326
1672920000,100,98,204821,404685
1673006400,100,96,149867,473534
1673092800,87,81,278062,332526
1673179200,89,89,140100,419331
1673265600,90,90,175735,343662
1673352000,89,87,198650,287066
1673438400,89,87,326042,418296
1673524800,84,82,153177,422547
1673611200,68,67,110128,330179
1673697600,64,58,157127,310330
1673784000,65,57,152276,309088
1673870400,70,64,152197,291692
1673956800,67,62,116750,418709
1674043200,60,60,152562,280586
1674129600,68,66,97546,396632
1674216000,68,66,167539,350066
1674302400,54,54,311611,324943
1674388800,45,40,269489,316052
1674475200,56,52,243884,319053
1674561600,59,58,161715,315083
1674648000,56,56,191604,314608
1674734400,54,50,208375,330210
1674820800,63,59,212879,495360
1674907200,55,52,401560,430801
1674993600,52,53,193454,491018
1675080000,59,55,184609,453010
1675166400,54,52,221291,290518
1675252800,46,44,252804,352459
1675339200,47,45,248751,284556
1675425600,46,45,244823,285572
1675512000,44,43,323525,484289
