timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664366400,329,313,78846,173420
1664452800,328,317,125504,121046
1664539200,322,311,82859,147763
1664625600,317,302,91114,228001
1664712000,325,302,157137,285741
1664798400,307,292,82767,168036
1664884800,312,301,105884,149722
1664971200,318,320,71462,65975
1665057600,328,318,52424,90977
1665144000,326,320,54346,86785
1665230400,326,312,79290,194609
1665316800,322,314,122279,89751
1665403200,321,316,115680,100154
1665489600,322,310,67810,63743
1665576000,310,304,76597,115552
1665662400,308,294,55646,172304
1665748800,304,304,120952,127511
1665835200,302,298,43473,143205
1665921600,304,296,120956,163731
1666008000,316,310,91441,67641
1666094400,284,288,80496,40589
1666180800,302,296,39103,111197
1666267200,302,291,124795,119422
1666353600,300,296,89086,134808
1666440000,292,285,97390,117310
1666526400,309,297,46236,37221
1666612800,313,305,50384,94030
1666699200,319,312,66679,108558
1666785600,313,306,71855,82200
1666872000,309,307,78319,76602
1666958400,322,314,56763,237608
1667044800,307,296,41372,146788
1667131200,319,309,148191,177838
1667217600,302,291,94636,183547
1667304000,300,300,124426,127811
1667390400,305,308,109483,112172
1667476800,332,322,63216,111402
1667563200,328,322,75233,63917
1667649600,338,333,112629,141044
1667736000,321,314,106978,185117
1667822400,325,317,125677,82236
1667908800,336,323,50870,118833
1667995200,338,326,74671,150137
1668081600,338,326,172354,68901
1668168000,348,338,77866,150848
1668254400,355,345,68271,115940
1668340800,317,308,141850,122992
1668427200,320,308,102065,168687
1668513600,323,317,110248,106531
1668600000,324,317,93383,76912
1668686400,321,312,34760,58217
1668772800,319,313,72038,82991
1668859200,317,310,115369,195236
1668945600,317,308,111920,152746
1669032000,326,320,97988,89959
1669204800,341,325,44220,117539
1669291200,336,330,127558,94821
1669377600,329,324,46717,106885
1669464000,325,314,149460,84398
1669550400,356,352,111676,72268
1669636800,322,322,55994,132849
1669723200,321,306,111966,138284
1669896000,326,320,62000,109347
1669982400,333,323,109256,128025
1670068800,320,319,147525,170200
1670155200,350,340,83212,121750
1670241600,327,316,62198,154153
1670328000,322,316,54790,107503
1670414400,320,309,124881,136649
1670500800,317,314,98989,113595
1670587200,313,311,106258,101006
1670760000,320,313,116651,157741
1670846400,324,321,52722,150124
1670932800,335,324,152144,144794
1671019200,351,338,49988,167734
1671105600,375,364,44359,101734
1671192000,439,423,72536,286522
1671278400,455,451,165136,138405
1671364800,409,377,101294,188511
1671451200,447,428,53504,112033
1671537600,399,390,83422,138800
1671624000,403,408,76026,183255
1671710400,383,377,177230,66898
1671796800,422,415,100378,242688
1671883200,416,414,65894,47908
1671969600,449,438,78652,183298
1672056000,437,425,89415,147883
1672142400,401,398,110587,125906
1672228800,406,389,178184,131050
1672315200,374,364,161567,140244
