timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,29667,29125,131,1480
1664539200,29530,29174,83,1233
1664625600,31352,30155,90,1558
1664712000,29987,29771,125,1704
1664798400,33004,30025,111,1615
1664884800,34479,32085,64,1494
1664971200,37886,34264,44,1919
1665057600,35810,34375,127,1623
1665144000,37264,35659,49,1253
1665230400,37039,36634,89,1461
1665316800,34989,34504,249,1490
1665403200,34566,34207,269,1787
1665489600,25965,34494,259,1500
1665576000,36994,35928,56,1352
1665662400,37540,36548,34,1489
1665748800,37075,36575,135,1243
1665835200,36413,36286,178,1123
1665921600,35043,34821,380,1485
1666008000,36061,35836,109,1315
1666094400,38202,36549,48,1582
1666180800,28640,37155,86,1287
1666267200,41648,40070,38,1355
1666353600,40180,39499,63,1509
1666440000,39296,39003,153,1503
1666526400,42125,40453,241,1623
1666612800,39271,38847,219,1581
1666699200,39372,38980,317,2058
1666785600,39182,38719,128,1445
1666872000,41384,39194,101,1542
1666958400,37972,37689,155,1494
1667044800,38487,38121,169,1641
1667131200,38211,37705,117,1458
1667217600,38105,37661,163,1309
1667304000,38235,37866,105,1563
1667390400,37796,37168,109,1160
1667476800,36049,34771,302,1228
1667563200,36590,35916,110,1447
1667649600,36407,35953,86,1540
1667736000,32564,31874,267,1798
1667822400,35374,35016,337,1613
1667908800,35209,34846,225,1623
1667995200,35682,35273,206,2151
1668081600,37814,36345,142,1978
1668168000,40922,37717,98,1593
1668254400,37806,37448,125,1370
1668340800,39890,37979,125,2177
1668427200,38539,37740,119,1673
1668513600,37162,36552,114,1090
1668600000,37439,36819,142,1577
1668686400,37281,36720,221,1355
1668772800,38202,37167,83,1463
1668859200,38425,37483,60,1810
1668945600,35792,36161,190,1892
1669032000,37533,37045,329,1503
1669204800,55668,54597,112,1882
1669291200,36462,36289,100,1268
1669377600,27165,36020,217,1244
1669464000,38818,37402,139,1623
1669550400,40020,37853,43,2297
1669636800,38193,37759,334,1705
1669723200,38081,38017,240,1272
1669896000,39807,38314,152,1579
1669982400,40906,38899,71,1922
1670068800,38674,38344,198,1868
1670155200,37669,37700,215,1977
1670241600,38560,38144,173,1919
1670328000,38282,38060,298,1705
1670414400,40126,38566,27,1779
1670500800,38706,38330,211,1357
1670587200,38279,38118,86,1447
1670760000,38678,38187,142,1731
1670846400,36886,37255,244,1896
1670932800,40362,38595,116,1500
1671019200,38746,38271,132,1653
1671105600,39255,39051,243,1200
1671192000,42895,39989,562,1619
1671278400,40032,39057,71,1494
1671364800,39404,38862,56,1761
1671451200,37711,37842,539,1827
1671537600,27184,35691,183,1240
1671624000,37121,36787,222,1650
1671710400,37371,37097,118,1536
1671796800,37366,37082,231,1553
1671883200,37978,37273,81,1565
1671969600,36604,36901,131,1775
1672056000,37509,36979,202,1959
1672142400,37239,37194,238,1918
1672228800,37284,37111,215,1561
1672315200,42883,41131,71,2279
1672401600,37736,37693,254,1672
1672488000,37713,37100,92,1685
1672574400,37944,37290,66,2376
1672660800,36478,36570,172,3243
1672747200,37022,36681,123,2233
1672833600,36767,36497,340,1709
1672920000,37014,36801,132,2358
1673006400,36632,36143,194,1960
1673092800,36223,36173,230,2611
1673179200,36697,36387,531,2309
1673265600,36490,36118,155,2198
1673352000,37056,36496,122,1964
1673438400,37711,36374,77,2400
1673524800,34405,35441,248,2574
1673611200,30683,29674,458,2647
1673697600,30725,29955,273,2543
1673784000,29371,28666,144,2035
1673870400,29501,28755,239,2062
1673956800,25679,23036,353,1618
1674043200,27246,26537,304,2787
1674129600,27280,27034,313,2368
1674216000,29620,28820,148,3323
1674302400,30019,29321,67,2470
1674388800,30813,29529,353,2937
1674475200,30884,30035,277,3674
1674561600,33868,32047,131,2400
1674648000,33462,32817,62,2802
1674734400,33096,31799,292,2537
1674820800,34032,32249,161,2785
1674907200,34522,32432,116,2819
1674993600,32842,32440,318,3080
1675080000,31263,31365,276,2790
1675166400,32600,31775,204,2386
1675252800,32690,32542,307,2871
1675339200,32750,32238,259,2294
1675425600,30663,29717,281,2600
1675512000,32254,30677,583,2158
