timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,12427,12424,57775,164012
1664539200,12447,12433,78136,177328
1664625600,12451,12438,60265,158632
1664712000,12460,12441,98179,243168
1664798400,12445,12436,56688,168557
1664884800,12428,12416,84697,177755
1664971200,12421,12415,74740,158303
1665057600,12431,12425,53178,233512
1665144000,12420,12411,50519,109460
1665230400,12422,12408,94292,202027
1665316800,12417,12416,93555,134718
1665403200,12423,12417,80239,137263
1665489600,12438,12436,78513,115092
1665576000,12473,12472,70360,201224
1665662400,12461,12456,48878,228264
1665748800,12473,12474,87931,201192
1665835200,12465,12460,82754,187841
1665921600,12465,12458,99457,229040
1666008000,12450,12444,76656,195966
1666094400,12439,12436,97968,201571
1666180800,12449,12447,57913,173389
1666267200,12460,12462,70079,204631
1666353600,12454,12453,106283,188715
1666440000,12463,12462,148781,159605
1666526400,12475,12473,16748,100277
1666612800,12501,12503,68126,202748
1666699200,12483,12478,110250,141494
1666785600,12492,12502,87005,159100
1666872000,12484,12473,96033,178746
1666958400,12468,12459,117926,161924
1667044800,12467,12465,64014,189157
1667131200,12458,12452,69070,185063
1667217600,12463,12460,64103,121545
1667304000,12458,12455,77749,118018
1667390400,12459,12456,108331,163678
1667476800,12464,12460,75192,148982
1667563200,12463,12482,84667,179931
1667649600,12528,12506,86280,239463
1667736000,12513,12501,78465,199956
1667822400,12516,12505,76054,156112
1667908800,12507,12506,84669,174441
1667995200,12503,12498,70010,121114
1668081600,12500,12497,89564,162295
1668168000,12509,12521,63952,270806
1668254400,12522,12514,74360,218214
1668340800,12517,12509,89953,168559
1668427200,12516,12512,63906,204541
1668513600,12516,12517,56109,227805
1668600000,12516,12514,93268,143501
1668686400,12524,12514,101042,181420
1668772800,12501,12487,107421,125944
1668859200,12495,12482,104371,186993
1668945600,12479,12478,137285,227815
1669032000,12467,12452,131610,170425
1669204800,12480,12469,88252,145392
1669291200,12478,12475,119900,184362
1669377600,12481,12470,93682,132839
1669464000,12493,12493,92648,203714
1669550400,12483,12467,77458,167331
1669636800,12471,12462,96181,115464
1669723200,12462,12461,116792,194066
1669809600,,12450,0,37
1669896000,12465,12465,84366,128257
1669982400,12474,12470,87206,142609
1670068800,12474,12476,92379,228329
1670155200,12479,12481,80564,183671
1670241600,12483,12480,100196,164290
1670328000,12489,12490,104363,166760
1670414400,12491,12498,73197,225519
1670500800,12497,12493,93015,107882
1670587200,12489,12479,80486,182634
1670673600,,12500,0,13
1670760000,12507,12494,80130,179085
1670846400,12513,12501,102759,168519
1670932800,12505,12502,92974,206301
1671019200,12493,12488,94409,163643
1671105600,12511,12504,76252,207176
1671192000,12501,12494,72307,98221
1671278400,12494,12488,76243,172970
1671364800,12491,12497,80004,179098
1671451200,12484,12480,128663,193424
1671537600,12510,12491,71222,204601
1671624000,12520,12497,82548,297036
1671710400,12531,12575,56493,243837
1671796800,12505,12528,97379,205499
1671883200,12503,12499,69759,209905
1671969600,12490,12488,45057,132760
1672056000,12485,12472,110065,142908
1672142400,12465,12459,77340,164627
1672228800,12490,12482,74202,174120
1672315200,12482,12471,90469,205469
