timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,256,252,142883,182025
1664539200,293,280,157890,157671
1664625600,276,267,170348,225395
1664712000,266,260,214805,214616
1664798400,275,267,153290,208138
1664884800,271,269,165116,176977
1664971200,292,278,153154,175148
1665057600,280,276,160101,192389
1665144000,281,280,115056,224256
1665230400,288,284,159565,258084
1665316800,289,284,101841,274055
1665403200,298,287,253357,220817
1665489600,288,284,154396,142522
1665576000,284,280,136495,167927
1665662400,287,280,153878,164485
1665748800,286,281,115443,139268
1665835200,285,281,169649,191374
1665921600,286,282,163252,203201
1666008000,274,270,154515,154303
1666094400,292,286,209381,238846
1666180800,294,287,112934,190142
1666267200,328,320,150228,218981
1666353600,300,293,118529,168099
1666440000,295,290,167687,138062
1666526400,288,287,80974,129620
1666612800,287,284,210861,254341
1666699200,292,285,284648,310428
1666785600,305,299,129990,190092
1666872000,307,303,133013,167893
1666958400,293,288,170510,224899
1667044800,295,292,174941,161365
1667131200,291,290,118495,258591
1667217600,291,286,137146,196922
1667304000,280,276,187456,141865
1667390400,273,269,126009,143602
1667476800,266,262,145419,170114
1667563200,268,266,182753,132979
1667649600,277,274,185118,217991
1667736000,273,269,153125,199409
1667822400,285,279,123418,201203
1667908800,282,278,155734,163932
1667995200,285,274,147432,124239
1668081600,286,284,98680,202071
1668168000,290,285,107792,155513
1668254400,280,276,167733,150363
1668340800,292,285,133031,201192
1668427200,287,284,161319,141554
1668513600,290,285,101646,187053
1668600000,291,290,142230,166711
1668686400,314,312,190620,166599
1668772800,309,304,132680,156840
1668859200,312,308,128331,158225
1668945600,301,298,237618,212882
1669032000,299,295,124638,190219
1669204800,294,290,193599,119515
1669291200,294,292,158253,157095
1669377600,301,298,119181,198186
1669464000,318,313,188773,198173
1669550400,319,316,245332,225772
1669636800,324,318,151810,155662
1669723200,337,328,154046,238436
1669896000,340,338,150314,177716
1669982400,338,339,133645,198813
1670068800,336,335,184195,165620
1670155200,345,338,192682,210738
1670241600,339,335,155664,171616
1670328000,343,337,161941,126032
1670414400,339,330,109409,313984
1670500800,342,334,150063,133253
1670587200,345,340,132950,129411
1670760000,343,338,202877,180635
1670846400,357,355,149110,149081
1670932800,363,356,160155,224186
1671019200,355,349,188070,227564
1671105600,376,363,169706,186281
1671192000,364,350,162120,231063
1671278400,375,366,180769,166862
1671364800,359,353,160675,205544
1671451200,384,372,211457,223208
1671537600,380,372,173283,185755
1671624000,358,355,163819,220832
1671710400,348,345,258169,188995
1671796800,346,347,306288,166596
1671883200,340,339,198654,184466
1671969600,357,351,94931,164274
1672056000,363,356,176530,268834
1672142400,363,356,208153,258494
1672228800,352,348,226565,139507
1672315200,341,338,206200,215482
