timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,152,149,10263624,8941864
1664539200,153,150,10269648,10509351
1664625600,156,152,10569502,8971029
1664712000,155,151,8027704,8848420
1664798400,157,153,8004660,7872572
1664884800,157,153,7163169,7635624
1664971200,156,153,9358801,8186439
1665057600,157,153,9146916,7307225
1665144000,158,154,7138692,7143172
1665230400,156,153,9143455,9547904
1665316800,156,153,8956668,8651286
1665403200,158,154,8768512,8144649
1665489600,158,154,8090042,7004739
1665576000,160,156,7133232,7990223
1665662400,163,159,7377630,7974884
1665748800,164,160,8403659,7459604
1665835200,159,155,12007520,8057484
1665921600,164,159,10761111,8036029
1666008000,168,163,9481885,8677132
1666094400,170,167,8934349,8059574
1666180800,170,165,7533638,6567115
1666267200,173,169,7982082,6340431
1666353600,173,169,7315646,6859286
1666440000,178,174,8824658,7138080
1666526400,177,174,7493695,7457343
1666612800,178,174,6982760,7364852
1666699200,180,176,9543136,7640597
1666785600,183,178,9247456,6848252
1666872000,184,180,7569358,7515877
1666958400,187,184,8970731,7313551
1667044800,193,189,7511951,9599634
1667131200,198,195,8047992,9165925
1667217600,195,192,9585192,7891225
1667304000,194,191,8951338,7811432
1667390400,193,189,9217984,7613302
1667476800,189,187,12127623,6837193
1667563200,190,187,8909476,7518571
1667649600,187,183,10514386,9114026
1667736000,190,187,10349644,8250243
1667822400,192,189,8841100,8886646
1667908800,186,184,11475428,7769197
1667995200,186,183,8409034,6507357
1668081600,186,183,8319236,7216894
1668168000,184,181,10645445,7913425
1668254400,182,178,10010254,8843840
1668340800,182,179,8659055,8168426
1668427200,183,181,8517448,7989661
1668513600,179,176,8910488,7940035
1668600000,180,177,8313288,7160145
1668686400,185,181,7143925,6982745
1668772800,187,184,8222804,7801335
1668859200,189,186,8564366,6596717
1668945600,188,186,7577203,7877196
1669032000,184,181,9203049,8443410
1669204800,279,274,9751823,8785261
1669291200,186,183,7853060,6851210
1669377600,187,185,6594281,5911124
1669464000,188,186,10432200,7539148
1669550400,188,186,8771601,7200281
1669636800,187,185,6119612,6894101
1669723200,186,183,6392867,8037108
1669896000,190,187,7049435,6073885
1669982400,193,190,10760285,7436367
1670068800,195,191,9404428,8073636
1670155200,194,191,12905809,8233116
1670241600,196,193,10954329,8024422
1670328000,198,195,9077954,6501462
1670414400,197,195,7251701,6183552
1670500800,197,195,7247910,7357394
1670587200,197,195,7396591,6527409
1670760000,198,196,8063794,7004768
1670846400,197,195,7620478,6886933
1670932800,198,195,8511437,7403291
1671019200,200,197,8943195,6929278
1671105600,196,193,8989232,7428513
1671192000,198,194,9225950,7335878
1671278400,194,192,10308233,7490497
1671364800,194,190,9781580,7442604
1671451200,194,191,11068474,7415869
1671537600,199,196,6760633,7319800
1671624000,203,200,9850848,8537937
1671710400,205,201,9719175,8435437
1671796800,207,203,12033429,7779767
1671883200,203,200,10058651,6922764
1671969600,207,203,8954076,8320021
1672056000,209,206,9661313,7032940
1672142400,215,211,10321712,8351908
1672228800,216,213,11689035,7788971
1672315200,225,221,9559709,7924533
