timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,447,443,472178,534474
1664539200,439,430,560665,534258
1664625600,437,433,848191,504712
1664712000,430,424,770246,401647
1664798400,447,441,546965,851560
1664884800,448,444,438579,499197
1664971200,447,440,545279,669634
1665057600,435,428,702096,536982
1665144000,410,404,733921,279814
1665230400,399,395,631416,453374
1665316800,399,393,698717,411564
1665403200,410,404,477636,621102
1665489600,417,410,297291,566813
1665576000,438,432,901416,657619
1665662400,429,421,683966,542298
1665748800,413,407,441997,502529
1665835200,410,403,740782,373311
1665921600,412,408,710347,560098
1666008000,440,435,656241,430299
1666094400,415,411,629508,500515
1666180800,427,423,405875,515042
1666267200,434,429,614684,665444
1666353600,448,441,605796,546917
1666440000,444,439,638593,505695
1666526400,440,435,427841,230811
1666612800,457,450,476639,650486
1666699200,445,438,809174,375108
1666785600,434,429,673646,407522
1666872000,415,410,766917,445711
1666958400,415,411,690897,672163
1667044800,417,411,579732,451593
1667131200,415,411,629790,352160
1667217600,428,425,448078,706036
1667304000,458,452,450950,685724
1667390400,450,444,461701,512028
1667476800,434,427,626818,631010
1667563200,423,419,543786,319812
1667649600,417,413,531993,542068
1667736000,427,420,747385,535946
1667822400,456,450,547278,553794
1667908800,492,481,762880,776634
1667995200,490,483,461415,621631
1668081600,480,472,576055,521764
1668168000,442,425,613378,547560
1668254400,434,426,560935,499561
1668340800,434,430,677181,450062
1668427200,459,449,456902,670586
1668513600,456,447,638813,631316
1668600000,478,472,450621,553261
1668686400,486,478,639799,549771
1668772800,471,463,733068,350319
1668859200,456,449,637939,730143
1668945600,454,451,507293,678803
1669032000,465,458,461512,701302
1669204800,463,460,593172,440491
1669291200,452,443,641064,270327
1669377600,451,443,517125,561105
1669464000,438,434,566826,599154
1669550400,450,443,508506,628026
1669636800,447,444,506100,408662
1669723200,439,434,456966,388083
1669896000,446,442,499467,520045
1669982400,436,431,527278,412843
1670068800,423,415,553183,368033
1670155200,407,401,605284,292271
1670241600,418,412,496330,355022
1670328000,427,419,406103,409247
1670414400,431,425,426081,305707
1670500800,427,422,432578,446732
1670587200,441,435,280793,264679
1670760000,450,447,546534,685743
1670846400,457,453,542314,515448
1670932800,453,448,405133,463653
1671019200,452,448,507652,524984
1671105600,477,470,483233,610626
1671192000,486,479,301269,468094
1671278400,486,483,524431,532380
1671364800,481,476,572716,558521
1671451200,457,447,686444,342769
1671537600,432,426,573374,484939
1671624000,431,424,639907,455076
1671710400,428,423,702300,422242
1671796800,423,420,595991,376081
1671883200,428,425,546426,495765
1671969600,444,439,365673,560055
1672056000,454,450,432548,514298
1672142400,446,442,821899,531770
1672228800,442,438,558975,503882
1672315200,455,448,565769,547325
