timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664539200,741,730,619141,813772
1664625600,736,721,773509,1032419
1664712000,742,731,756008,559061
1664798400,740,726,638886,973482
1664884800,719,707,723388,781896
1664971200,712,707,577760,768079
1665057600,718,709,678438,804350
1665144000,731,718,613419,563776
1665230400,730,719,661627,687268
1665316800,744,728,669818,765777
1665403200,751,738,855176,737331
1665489600,748,733,679700,832413
1665576000,767,758,562377,714481
1665662400,769,753,574860,859801
1665748800,765,749,602409,594566
1665835200,751,740,771679,659476
1665921600,728,716,932872,853107
1666008000,730,720,645208,719676
1666094400,742,726,760836,872351
1666180800,745,735,667767,638019
1666267200,751,739,596408,529279
1666353600,756,747,1075314,548029
1666440000,756,745,939892,936188
1666526400,754,744,963787,812637
1666612800,774,763,640232,621867
1666699200,804,793,579383,729534
1666785600,794,781,878413,806250
1666872000,778,764,836714,510340
1666958400,769,763,780535,638206
1667044800,783,772,903714,597731
1667131200,799,792,670995,768949
1667217600,783,770,777756,1174613
1667304000,767,757,973673,795616
1667390400,773,763,618290,761334
1667476800,793,779,735972,746660
1667563200,811,799,714026,1012875
1667649600,842,830,684000,753920
1667736000,845,831,821799,870110
1667822400,844,833,900699,790458
1667908800,839,827,617521,819696
1667995200,839,825,922868,806031
1668081600,854,845,632141,645124
1668168000,862,855,417715,684183
1668254400,868,858,694296,838597
1668340800,863,852,820895,779382
1668427200,929,936,516081,747087
1668513600,963,947,580002,946503
1668600000,917,907,620124,683149
1668686400,931,928,605122,761676
1668772800,958,947,503313,703592
1668859200,929,916,626853,857090
1668945600,867,853,933561,1036706
1669032000,850,837,866641,994644
1669204800,1270,1252,819391,1376847
1669291200,814,803,611737,1343264
1669377600,806,792,534317,875533
1669464000,794,788,782402,1030864
1669550400,786,776,964115,1235051
1669636800,776,764,754662,1235916
1669723200,762,750,823251,1140843
1669809600,759,564,657519,670156
1669896000,740,734,809409,810209
1669982400,759,748,597116,687141
1670068800,769,758,714114,763164
1670155200,781,774,681206,837785
1670241600,790,779,874484,812869
1670328000,806,795,686525,667598
1670414400,825,816,829002,789604
1670500800,878,865,581238,857689
1670587200,889,879,674872,927168
1670760000,850,841,797675,863193
1670846400,844,835,950262,959034
1670932800,855,839,936036,866640
1671019200,871,856,737772,1148708
1671105600,882,871,807126,901294
1671192000,910,898,704629,854590
1671278400,895,886,1003058,883749
1671364800,889,874,1088186,990418
1671451200,867,853,1005621,1060610
1671537600,846,824,718390,638736
1671624000,838,828,829358,799906
1671710400,812,802,1201587,1043786
1671796800,817,805,1190002,1102094
1671883200,813,805,974828,877848
1671969600,831,821,854349,880132
1672056000,836,827,730880,801605
1672142400,858,848,783758,939117
1672228800,867,855,1061112,1007168
1672315200,866,857,769842,905184
1672401600,865,855,1028659,806018
1672488000,834,821,1025481,1051650
1672574400,816,809,1082050,876768
1672660800,814,806,1116020,952612
1672747200,826,813,1124929,1029667
1672833600,818,810,943766,908310
1672920000,826,818,785853,1002366
1673006400,832,824,889607,1137290
1673092800,822,813,1020996,968457
1673179200,803,795,1301018,1222130
1673265600,814,803,821611,954751
1673352000,815,803,819362,855237
1673438400,839,830,750859,903022
1673524800,821,811,817982,1565060
1673611200,809,803,771446,1509872
1673697600,810,801,934134,1253114
1673784000,815,807,1016507,1673065
1673870400,827,813,690607,1308748
1673956800,838,828,833746,1291605
1674043200,856,839,728223,1572327
1674129600,850,841,1037163,1445151
1674216000,892,884,947351,1134196
1674302400,881,871,1004130,1174473
1674388800,888,880,926927,1318696
1674475200,869,855,1006316,1047050
1674561600,863,851,635758,860865
1674648000,868,859,585807,1201517
1674734400,845,831,837674,1013097
1674820800,823,814,917142,959636
1674907200,831,822,1077266,1227883
1674993600,825,816,1405718,1227657
1675080000,811,803,1050630,985896
1675166400,808,798,869209,1059237
1675252800,811,804,781135,1105914
1675339200,813,804,701835,1131200
1675425600,816,808,735815,1008255
1675512000,811,802,1055036,1225728
