timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,5890,5858,14446,27168
1664539200,5848,5837,50753,49782
1664625600,5911,5887,7182,97674
1664712000,5926,5901,48653,94852
1664798400,5882,5867,86822,53941
1664884800,5951,5907,31247,46190
1664971200,5970,5919,43890,64310
1665057600,5949,5937,39268,45189
1665144000,5966,5942,36315,48571
1665230400,6091,6026,44051,55997
1665316800,6143,6107,22238,58057
1665403200,6013,5946,32044,26102
1665489600,5992,5988,34939,47415
1665576000,5943,5899,33655,48352
1665662400,5940,5891,28178,67956
1665748800,5944,5907,27311,58598
1665835200,5899,5868,35459,29874
1665921600,5903,5882,30819,46265
1666008000,5977,5969,44647,82177
1666094400,5901,5894,34914,67592
1666180800,5876,5818,48801,33330
1666267200,5833,5807,35409,40072
1666353600,5789,5755,23008,29212
1666440000,5736,5697,26216,49758
1666526400,5803,5740,13040,15021
1666612800,5716,5693,45274,50291
1666699200,5660,5635,39613,26555
1666785600,5634,5589,39757,54324
1666872000,5582,5556,30556,80191
1666958400,5410,5381,64057,82102
1667044800,5266,5224,46795,41009
1667131200,5277,5195,41500,46848
1667217600,4970,4931,50484,65806
1667304000,4885,4764,48109,33474
1667390400,4812,4743,70741,44836
1667476800,4741,4721,49464,43814
1667563200,4632,4552,43027,46356
1667649600,4474,4440,26921,45654
1667736000,4330,4270,48130,59993
1667822400,4249,4227,36245,65709
1667908800,4428,4398,47132,70062
1667995200,4456,4362,37903,54280
1668081600,4398,4383,66765,59188
1668168000,4540,4452,45267,36972
1668254400,4405,4382,38694,49388
1668340800,4402,4368,36776,60221
1668427200,4496,4452,22720,65504
1668513600,4511,4501,17639,40063
1668600000,4652,4604,58578,93447
1668686400,4575,4566,70455,33893
1668772800,4533,4496,31693,53495
1668859200,4573,4568,27494,35765
1668945600,4584,4588,27020,46094
1669032000,4465,4457,21517,41852
1669204800,4454,4443,42620,49693
1669291200,4422,4391,34379,50092
1669377600,4401,4339,18512,50578
1669464000,4408,4401,63164,73453
1669550400,4399,4382,45951,38689
1669636800,4451,4432,25159,45245
1669723200,4514,4494,44927,36222
1669896000,4618,4653,38016,40698
1669982400,4638,4621,60213,51907
1670068800,4639,4621,54122,44250
1670155200,4745,4716,57691,51487
1670241600,4802,4729,40964,45519
1670328000,4859,4813,104750,52864
1670414400,4841,4806,28087,23327
1670500800,4758,4734,19112,72559
1670587200,4776,4767,48934,31067
1670760000,4751,4724,22207,32316
1670846400,4666,4641,5001,43571
1670932800,4675,4662,26093,51002
1671019200,4711,4700,49280,47675
1671105600,4740,4723,30562,63876
1671192000,4703,4668,32756,38733
1671278400,4656,4620,59146,39833
1671364800,4640,4606,64471,63797
1671451200,4628,4616,42885,55986
1671537600,4637,4629,56552,60386
1671624000,4578,4539,49053,114492
1671710400,4502,4452,101672,35743
1671796800,4574,4557,40900,58320
1671883200,4491,4471,43162,34501
1671969600,4482,4456,55923,38807
1672056000,4476,4450,44704,70936
1672142400,4474,4438,62298,55505
1672228800,4472,4445,25072,76290
1672315200,4559,4498,77890,65257
