timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,88,87,76020,54487
1664539200,84,83,68961,32406
1664625600,83,83,139386,55261
1664712000,78,69,204260,34434
1664798400,63,65,191881,40474
1664884800,70,69,478114,9786
1664971200,76,75,101817,69527
1665057600,76,74,71690,48020
1665144000,74,74,354422,45030
1665230400,73,72,90603,12676
1665316800,76,76,156336,51300
1665403200,70,60,186146,176814
1665489600,78,77,101111,45684
1665576000,77,77,129780,50802
1665662400,76,74,139599,32727
1665748800,78,77,297420,20898
1665835200,75,72,94425,31147
1665921600,64,65,504538,69583
1666008000,75,73,248040,45676
1666094400,74,74,185504,26044
1666180800,72,71,102766,18680
1666267200,75,79,60354,64611
1666353600,75,72,55375,30393
1666440000,75,75,115506,21134
1666526400,71,70,54525,76175
1666612800,85,83,109328,147099
1666699200,77,78,94748,36638
1666785600,80,81,140611,58862
1666872000,78,77,287959,27564
1666958400,75,72,111789,233704
1667044800,76,74,302466,46532
1667131200,74,74,28891,46164
1667217600,71,73,60528,53773
1667304000,75,71,309142,56097
1667390400,73,71,257528,126009
1667476800,69,65,144401,68469
1667563200,63,63,122473,34718
1667649600,68,67,194029,38187
1667736000,69,68,64498,71176
1667822400,70,68,167368,37586
1667908800,67,66,267236,57066
1667995200,67,67,176017,45836
1668081600,70,69,148995,44172
1668168000,70,69,92628,32403
1668254400,69,68,107455,46464
1668340800,64,65,101614,78954
1668427200,65,64,407641,66834
1668513600,70,67,111650,55670
1668600000,67,67,235878,32798
1668686400,65,63,227335,78147
1668772800,70,69,41227,81075
1668859200,74,69,25253,269896
1668945600,80,77,100565,54554
1669032000,72,76,214552,17185
1669204800,79,77,27264,128206
1669291200,81,82,132889,65551
1669377600,84,83,92166,95036
1669464000,78,76,124831,110620
1669550400,80,81,112258,170388
1669636800,75,73,287946,41138
1669723200,71,69,201916,22602
1669896000,64,58,239623,74389
1669982400,64,63,186489,41462
1670068800,64,64,175550,66068
1670155200,68,63,190460,119337
1670241600,69,66,143844,97680
1670328000,68,67,154800,36736
1670414400,67,64,114864,44413
1670500800,66,65,95653,89051
1670587200,70,69,204336,38530
1670760000,69,69,242648,47656
1670846400,66,64,245171,71051
1670932800,68,67,99567,34799
1671019200,65,64,353145,78849
1671105600,64,65,217219,58337
1671192000,66,65,123012,71819
1671278400,61,58,70696,12473
1671364800,60,58,268669,47897
1671451200,56,56,303871,125486
1671537600,60,60,245836,126277
1671624000,62,61,194095,117795
1671710400,60,61,113771,29644
1671796800,61,62,280651,81782
1671883200,60,58,71447,93923
1671969600,62,62,438664,85931
1672056000,62,62,178835,33749
1672142400,62,64,117717,74919
1672228800,63,62,202711,68794
1672315200,59,61,466762,77749
