timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,24,24,73166,49861
1664539200,24,24,144401,86510
1664625600,25,24,55738,121192
1664712000,25,24,156254,88573
1664798400,27,26,72531,101707
1664884800,32,27,96804,60772
1664971200,33,30,46857,90833
1665057600,34,30,122823,138198
1665144000,29,28,95460,48871
1665230400,31,30,82927,67798
1665316800,32,33,175428,85142
1665403200,23,30,171578,40312
1665489600,30,31,139611,76335
1665576000,30,30,96440,57264
1665662400,29,29,173909,57026
1665748800,30,30,78040,90726
1665835200,29,29,103429,70003
1665921600,30,30,109352,82303
1666008000,30,30,58693,64961
1666094400,30,30,90466,90587
1666180800,29,28,146214,55141
1666267200,29,29,83174,48566
1666353600,29,29,83329,91308
1666440000,29,29,90245,62413
1666526400,29,29,96235,46935
1666612800,29,29,125406,104550
1666699200,29,29,139908,69218
1666785600,29,29,111092,96550
1666872000,30,30,83045,87334
1666958400,29,28,102722,76039
1667044800,29,28,141388,78657
1667131200,29,28,150681,55161
1667217600,28,28,82454,140688
1667304000,28,28,82479,64433
1667390400,28,28,83547,88574
1667476800,28,28,150635,71793
1667563200,27,27,181630,83951
1667649600,28,28,119134,42969
1667736000,27,27,143887,74467
1667822400,27,27,131113,67930
1667908800,28,27,78167,85642
1667995200,27,27,113904,102033
1668081600,27,27,90750,116416
1668168000,27,27,122990,70043
1668254400,27,27,118817,159993
1668340800,26,26,264614,169747
1668427200,27,27,93895,83888
1668513600,27,27,62334,53019
1668600000,27,27,76290,99491
1668686400,27,27,149904,46560
1668772800,26,27,135969,63146
1668859200,27,26,109483,149808
1668945600,27,27,139045,117920
1669032000,27,27,123124,79396
1669204800,26,26,162366,67632
1669291200,22,17,83762,65546
1669377600,24,23,116750,73203
1669464000,23,22,75475,51699
1669550400,23,22,127318,38065
1669636800,23,23,79408,84721
1669723200,23,23,122370,87441
1669896000,22,22,75914,67700
1669982400,23,23,93578,103467
1670068800,23,23,115979,75249
1670155200,24,24,164081,133164
1670241600,24,23,127882,106325
1670328000,24,24,123233,87909
1670414400,23,24,186020,64977
1670500800,24,24,136729,92854
1670587200,24,24,105446,61504
1670760000,24,23,174052,108344
1670846400,23,23,181261,92272
1670932800,23,23,141131,99774
1671019200,26,24,140511,95679
1671105600,25,24,110720,101857
1671192000,24,23,115125,101191
1671278400,23,23,125357,35789
1671364800,23,24,103184,67163
1671451200,24,24,145663,80517
1671537600,24,24,174866,86429
1671624000,27,25,104858,144628
1671710400,26,24,98573,112311
1671796800,28,25,109118,135567
1671883200,25,25,104407,91752
1671969600,25,24,148372,83016
1672056000,26,25,101663,170054
1672142400,25,24,191424,56704
1672228800,26,25,118056,151273
1672315200,26,25,151403,99314
