timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
1664452800,196,193,264555,758063
1664539200,199,196,403715,607474
1664625600,196,193,624570,904388
1664712000,197,196,467637,908661
1664798400,199,197,428618,581758
1664884800,200,198,261758,621205
1664971200,202,199,335816,644852
1665057600,210,206,260924,859212
1665144000,210,210,530872,748159
1665230400,200,195,507896,449718
1665316800,206,204,391288,742019
1665403200,212,211,348342,847064
1665489600,223,218,222500,846095
1665576000,213,211,498264,650392
1665662400,210,208,386589,614467
1665748800,208,206,356437,521922
1665835200,213,208,282336,770599
1665921600,206,203,525531,649552
1666008000,209,207,275615,800718
1666094400,206,203,287666,697896
1666180800,207,205,166280,670676
1666267200,207,205,376277,716016
1666353600,209,207,426571,716629
1666440000,214,214,391807,794229
1666526400,212,209,183102,434628
1666612800,212,210,591939,590289
1666699200,209,208,223887,628416
1666785600,211,207,230039,846167
1666872000,213,209,308254,631627
1666958400,213,212,352202,779988
1667044800,219,216,336259,839030
1667131200,216,213,213725,779506
1667217600,226,222,264916,713239
1667304000,225,222,420112,692771
1667390400,233,229,367604,678351
1667476800,240,238,325910,779154
1667563200,239,236,282242,734270
1667649600,234,233,243376,821167
1667736000,235,233,362925,719262
1667822400,234,233,286864,823875
1667908800,234,230,265470,725674
1667995200,227,227,338248,467298
1668081600,225,222,292623,865254
1668168000,225,221,346827,650046
1668254400,223,221,390774,540731
1668340800,220,219,450399,819396
1668427200,228,224,303524,677760
1668513600,230,228,304213,732131
1668600000,241,237,220858,693652
1668686400,240,237,272445,573952
1668772800,247,243,437533,727556
1668859200,244,242,457998,606793
1668945600,250,248,347373,713897
1669032000,255,252,245523,696975
1669204800,256,254,236721,562920
1669291200,260,256,252968,808516
1669377600,254,253,324841,574103
1669464000,255,254,340031,793797
1669550400,254,252,369134,768222
1669636800,253,252,190670,739770
1669723200,254,252,263348,804735
1669896000,249,245,221276,752937
1669982400,246,245,330648,630506
1670068800,244,241,238527,790794
1670155200,236,234,381511,648409
1670241600,233,232,418958,600796
1670328000,234,234,330679,606316
1670414400,235,233,252324,705977
1670500800,233,232,293761,741995
1670587200,229,225,544069,605163
1670760000,227,224,370853,753269
1670846400,219,217,373825,656853
1670932800,219,216,368497,704724
1671019200,218,216,342591,751547
1671105600,235,231,390686,717198
1671192000,234,232,391512,669586
1671278400,243,237,293102,981490
1671364800,239,237,397681,772857
1671451200,247,244,331149,822474
1671537600,245,242,334227,794276
1671624000,251,246,386583,835412
1671710400,240,237,388756,788488
1671796800,231,230,331178,607535
1671883200,221,220,397544,631453
1671969600,230,227,226469,628530
1672056000,229,227,337129,878671
1672142400,243,239,299920,844803
1672228800,236,236,375450,784899
1672315200,246,240,321566,912813
