timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1615924800,75,1008,234,10,17,49
1616011200,74,1015,236,9,17,49
1616097600,72,1016,237,9,17,49
1616184000,68,1008,246,9,17,49
1616270400,67,1007,239,9,17,39
1616356800,65,1016,237,9,17,44
1616443200,66,1032,238,9,17,39
1616529600,59,1042,241,10,17,40
1616616000,62,1036,243,9,17,39
1616702400,63,1035,242,10,17,38
1616788800,64,1029,241,9,17,45
1616875200,64,1022,238,9,17,44
1616961600,52,1009,236,9,17,51
1617048000,62,1025,238,9,16,48
1617134400,60,1033,237,10,17,48
1617220800,60,1055,236,10,16,42
1617307200,60,1050,237,10,17,47
1617393600,57,1032,236,9,17,48
1617480000,55,1016,233,10,17,52
1617566400,53,1020,231,9,16,58
1617652800,51,1019,229,10,17,54
1617739200,52,1021,219,10,17,58
1617825600,40,1026,223,9,17,49
1617912000,47,1011,228,10,18,62
1617998400,39,1011,226,10,18,60
1618088400,35,1000,222,10,18,49
1618171200,38,1000,228,10,23,52
1618261200,30,1007,226,11,23,49
1618347600,37,1003,226,11,21,49
1618430400,39,1000,224,10,20,54
1618516800,39,996,222,11,19,58
1618603200,36,993,223,10,20,79
1618689600,38,992,220,11,19,67
1618776000,37,989,211,11,20,68
1618862400,42,1000,216,10,18,69
1618948800,42,1000,219,10,19,68
1619035200,42,999,219,10,19,66
1619121600,40,1000,224,10,19,58
1619208000,38,1000,219,10,19,57
1619316000,38,993,217,10,18,59
1619380800,41,999,224,10,19,59
1619467200,50,1020,232,10,19,58
1619553600,43,1062,236,10,19,57
1619640000,45,1041,240,10,20,57
1619726400,44,1026,236,12,19,56
1619823600,45,1022,233,11,19,57
1619899200,47,1002,233,11,19,63
1619989200,54,1004,229,12,19,75
1620072000,52,1022,227,11,19,79
1620158400,52,1013,216,11,18,75
1620244800,54,1040,220,12,18,72
1620331200,55,1030,237,15,19,72
1620417600,53,1035,246,14,19,74
1620504000,55,1038,238,14,19,74
1620590400,55,1032,244,14,19,74
1620676800,57,1042,245,14,19,75
1620763200,56,1040,243,14,18,73
1620849600,56,1019,244,15,18,74
1620936000,18,1016,242,15,19,71
1621022400,18,1020,239,14,19,77
1621108800,40,1009,238,14,19,71
1621195200,38,1017,236,14,18,73
1621281600,38,1017,236,14,18,73
1621368000,39,1021,235,14,19,72
1621454400,39,1030,232,15,19,69
1621540800,37,1025,231,14,19,75
1621627200,37,1025,232,15,19,76
1621713600,36,1015,230,14,19,73
1621800000,39,1010,255,14,19,73
1621886400,37,1002,248,15,19,76
1621972800,40,1001,247,14,18,77
1622059200,18,1006,247,14,19,78
1622145600,36,1007,246,14,19,78
1622232000,35,999,259,14,19,77
1622318400,32,989,261,14,19,79
1631563200,64,975,214,9,20,64
1631995200,66,943,218,9,19,63
1632427200,60,973,217,9,19,59
1632513600,64,975,218,9,20,55
1633032000,56,968,213,9,19,63
1633118400,51,964,211,9,19,63
1633204800,51,964,209,9,19,63
1633291200,51,958,196,8,19,56
1633550400,50,968,191,9,19,59
1633723200,33,978,207,10,18,53
1633896000,47,972,206,9,19,53
1633982400,49,984,207,9,19,55
1634414400,56,989,204,9,18,50
1634500800,51,990,209,9,18,49
1635192000,57,988,215,9,19,61
1635278400,56,999,218,9,18,55
1635364800,55,1000,221,9,18,57
1635451200,55,997,218,9,19,55
1635537600,54,1008,216,9,19,54
1635710400,55,996,213,8,19,70
1635969600,67,1021,217,6,19,64
1636056000,68,1015,219,7,19,61
1636491600,59,1008,214,7,19,66
1636664400,54,1019,215,8,18,58
1636923600,54,999,216,7,19,60
1637010000,54,998,222,8,19,64
1637096400,59,1008,221,9,19,56
1637535600,68,997,215,9,19,59
1637614800,61,1001,214,8,19,59
1637701200,63,1002,213,9,20,56
1638478800,54,1006,206,8,19,59
1638651600,52,990,209,8,19,56
1638738000,53,999,207,8,19,56
1638824400,52,1009,204,9,19,55
1639256400,53,991,203,9,19,66
1639429200,52,1003,205,9,17,64
1639515600,58,1001,204,9,18,67
1639774800,62,991,201,9,18,56
1639861200,53,982,202,8,17,43
1640466000,60,994,208,10,17,53
1640552400,52,998,205,9,19,50
1641160800,47,999,206,9,18,55
1641330000,42,1020,209,8,18,54
1641416400,45,960,205,9,19,53
1641762000,43,976,195,9,19,57
1642194000,39,998,200,9,18,57
1642366800,38,988,192,9,18,56
1642712400,41,1003,197,9,17,47
1642885200,43,998,196,9,18,60
1643058000,42,1012,192,8,18,60
1643403600,44,1000,183,9,19,63
1643490000,42,1000,187,9,18,57
1644094800,45,983,189,8,19,57
1644544800,44,970,192,8,18,60
1644872400,48,969,185,8,18,62
1645045200,47,975,193,9,17,62
1645131600,47,971,194,8,19,63
1645394400,48,950,191,9,18,92
1645822800,50,951,192,10,18,93
1645927200,48,950,191,8,16,92
1646082000,48,958,193,9,18,101
1646427600,44,949,194,9,17,100
1646686800,48,943,192,9,18,94
1647460800,49,966,191,9,19,67
1647892800,48,1014,193,10,19,69
1647979200,49,1065,198,11,18,68
1648065600,53,1036,196,10,19,68
1648152000,52,1068,194,10,18,88
1648238400,50,1052,188,10,22,81
1648324800,63,1041,191,10,25,79
1648411200,55,1030,194,10,29,74
1648497600,52,1030,191,10,22,74
1648584000,51,1021,196,9,26,87
1648670400,52,1046,195,10,24,99
1648756800,52,1042,195,10,23,97
1648843200,51,1045,194,10,24,113
1648929600,49,1032,192,10,29,106
1649016000,48,1060,194,9,23,109
1649102400,50,1088,194,9,26,107
1649188800,48,1064,193,9,27,105
1649275200,49,1083,196,9,28,102
1649361600,50,1055,196,10,27,95
1649448000,51,1069,198,10,27,95
1649620800,53,1014,199,10,26,87
1649707200,53,1029,199,10,27,88
1649793600,51,1050,199,10,29,95
1649880000,58,1089,198,10,33,97
1649966400,32,1094,205,10,44,89
1650052800,50,1083,200,11,30,87
1650139200,26,1076,198,10,28,88
1650225600,59,1066,199,11,29,84
1650312000,46,1077,203,10,38,79
1650398400,49,1103,205,11,36,77
1650571200,51,1118,208,10,34,76
1650657600,51,1094,206,11,35,77
1650744000,47,1078,198,9,31,81
1650830400,39,1062,209,10,31,89
1650916800,46,1082,203,11,31,93
1651003200,49,1069,202,10,29,78
1651089600,50,1087,211,11,26,78
1651176000,45,1069,208,11,25,76
1651327200,49,1073,208,10,24,76
1651348800,44,1070,208,10,24,79
1651435200,46,1048,195,11,23,79
1651582800,47,1044,204,10,24,75
1651608000,36,1058,201,10,23,77
1651694400,35,1055,201,10,23,76
1651780800,33,1057,203,11,21,75
1651867200,45,1060,201,10,21,77
1652040000,44,1031,195,8,14,77
1652126400,45,1033,196,8,21,76
1652212800,47,1042,193,8,20,76
1652299200,45,1055,197,11,21,76
1652385600,47,1049,199,10,20,76
1652472000,44,1045,197,10,20,78
1652558400,42,1041,199,10,24,76
1652644800,41,1027,198,11,22,77
1652731200,42,1054,196,10,22,76
1652817600,40,1060,199,10,22,78
1652904000,42,1075,196,10,20,69
1652990400,39,1047,198,10,21,69
1653076800,39,1043,199,11,20,69
1653595200,41,1019,199,10,21,69
1653681600,42,1010,198,9,21,74
1653768000,40,997,196,10,22,79
1653940800,41,1011,194,9,22,69
1654027200,43,1023,192,9,22,68
1654113600,42,1003,194,9,22,68
1654372800,44,1005,194,8,21,65
1655150400,43,1022,196,8,23,66
1655409600,44,1041,195,9,23,65
1655496000,45,1045,195,8,24,66
1655841600,45,1037,197,9,28,65
1656014400,46,1030,200,8,31,62
1656446400,45,1053,200,9,29,74
1656532800,46,1059,201,8,30,73
1656964800,50,1048,206,8,35,80
1657051200,52,1063,203,9,35,80
1657137600,51,1072,204,8,34,77
1657224000,51,1058,204,8,34,79
1657310400,51,1041,203,8,33,89
1661544000,57,981,195,7,29,57
1661983200,66,966,176,8,29,57
1662062400,71,955,174,7,29,52
1662494400,72,995,177,7,27,52
1662926400,64,1019,183,8,28,54
1663012800,66,1057,181,8,27,50
1663099200,67,1072,183,8,28,47
1663185600,68,1080,182,7,27,49
1663272000,137,1064,190,8,26,52
1663358400,82,1060,189,7,26,53
1663444800,75,1041,185,7,27,56
1663531200,81,1051,187,7,27,50
1663617600,80,1077,190,7,26,59
1663704000,90,1003,194,7,27,56
1663790400,80,1033,194,7,25,54
1663876800,82,1032,196,7,26,50
1664308800,69,1079,200,7,25,60
1664395200,69,1071,193,7,24,51
1664481600,65,1079,196,7,24,53
1664568000,60,1068,198,7,24,58
1664654400,58,1055,196,8,26,52
1664913600,63,1056,200,7,35,57
1665000000,235,1061,203,7,35,58
1665086400,79,1072,214,7,45,58
1665518400,95,1053,215,7,31,56
1665604800,90,1056,214,7,30,57
1665691200,76,1063,211,7,30,57
1665777600,68,1063,209,7,30,59
