timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1666612800,75,1067,210,7,29,54
1666699200,73,1069,209,7,29,54
1666785600,73,1069,209,7,29,54
1666872000,73,1086,210,7,29,59
1666958400,76,1077,212,7,30,62
1667044800,77,1061,213,7,29,63
1667131200,77,1061,213,7,29,63
1667217600,76,1055,214,7,28,59
1667304000,76,1070,219,7,28,59
1667390400,75,1073,223,7,28,59
1667476800,75,1084,230,7,28,60
1667563200,75,1084,230,7,28,60
1667649600,77,1107,235,7,28,66
1667736000,77,1112,235,7,28,69
1667822400,77,1112,235,7,28,69
1667908800,75,1133,233,7,27,68
1667995200,75,1133,233,7,27,68
1668081600,76,1126,226,7,27,68
1668168000,76,1126,226,7,27,68
1668254400,75,1110,222,7,27,68
1668340800,75,1095,222,7,27,68
1668427200,75,1093,221,7,27,68
1668513600,74,1105,226,7,27,66
1668600000,74,1105,226,7,27,66
1668686400,74,1135,238,7,27,66
1668772800,73,1149,240,7,27,69
1668859200,73,1149,240,7,27,69
1668945600,69,1114,245,7,27,68
1669032000,65,1101,248,7,27,68
1669204800,63,1110,254,7,27,68
1669291200,62,1096,254,7,26,68
1669377600,62,1096,254,7,26,68
1669464000,59,1071,255,7,25,66
1669550400,59,1055,254,7,24,66
1669636800,59,1037,253,7,23,67
1669723200,59,1037,253,7,23,67
1669809600,60,1041,252,7,23,65
1669896000,62,1068,249,7,23,63
1669982400,65,1076,246,7,23,62
1670068800,65,1075,244,7,24,62
1670155200,65,1074,240,7,23,62
1670241600,65,1074,240,7,23,62
1670328000,64,1074,233,7,24,62
1670414400,64,1074,233,7,24,62
1670500800,62,1077,233,7,24,62
1670587200,62,1077,233,7,24,62
1670673600,61,1077,232,7,24,62
1670760000,58,1068,228,7,24,62
1670846400,57,1068,225,7,24,62
1670932800,56,1074,218,7,23,62
1671019200,56,1074,218,7,23,62
1671105600,58,1069,221,8,24,64
1671192000,58,1069,221,8,24,64
1671278400,59,1075,235,7,24,69
1671364800,59,1075,235,7,24,69
1671451200,59,1062,240,7,24,69
1671537600,59,1058,245,7,24,66
1671624000,59,1067,243,7,24,66
1671710400,57,1056,242,7,24,65
1671796800,57,1056,242,7,24,65
1671883200,58,1033,226,7,25,71
1671969600,58,1030,221,7,25,68
1672056000,58,1030,221,7,25,68
1672142400,56,1031,234,7,25,67
