timestamp,Logs,Magic_logs,Yew_logs,Maple_logs,Willow_logs,Oak_logs

1613077399.3087351,47,1005,240,10,17,39
1613163687.653514,49,1013,240,10,17,39
1613250059.2736406,52,1020,234,10,17,39
1613336510.254737,54,1015,228,10,17,39
1613422898.5919652,55,1011,229,10,17,39
1613509281.9011648,56,1015,231,10,17,39
1613595712.43876,57,1014,231,10,17,39
1613768475.478923,59,1028,235,10,17,39
1613854931.9237003,61,1028,237,10,17,39
1614030131.0764017,65,1016,234,10,17,39
1614632411.077518,68,1007,236,9,17,39
1614718974.1753676,67,1010,238,9,17,39
1614805323.0855973,68,1013,240,9,17,39
1614891734.3102105,68,1013,240,9,17,39
1615064533.350402,73,1010,236,10,17,45
1615267536.3313046,81,996,225,9,17,54
1615323710.3388157,81,996,225,9,17,54
1615496498.8603497,90,1005,232,10,17,56
1615925982.4506729,77,1000,231,9,17,56
1616012130.590965,75,1004,234,9,17,55
1616097847.1927125,73,1008,238,10,17,53
1616185987.1064146,70,1008,236,10,16,51
1616271710.1293793,68,1007,239,10,17,49
1616359460.6570723,68,1007,237,10,17,49
1616444687.8381083,65,1013,236,9,17,47
1616531491.6290984,64,1028,240,9,17,47
1616616353.748736,62,1035,241,10,17,45
1616703752.3908956,63,1040,242,10,17,44
1616789323.3698223,64,1031,241,10,17,42
1616876399.268128,64,1027,239,10,17,45
1616962368.2034733,64,1013,233,10,17,45
1617049777.802539,62,1010,235,10,17,48
