timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1615924800,75,87,46,39,160,94,1016,11140
1616011200,75,87,46,39,162,94,1035,11134
1616097600,78,86,45,39,162,90,1017,11175
1616184000,81,85,44,39,156,87,1006,11216
1616270400,85,83,43,38,156,87,999,11214
1616356800,88,82,43,36,156,87,1011,11210
1616443200,92,80,43,34,158,84,1003,11207
1616529600,93,78,43,34,158,87,1028,11220
1616616000,89,79,43,34,158,85,1010,11227
1616702400,90,78,44,34,158,86,998,11237
1616788800,88,79,44,35,158,88,994,11237
1616875200,86,81,44,36,158,88,987,11213
1616961600,83,80,45,36,157,88,976,11183
1617048000,80,79,45,36,155,89,980,11175
1617134400,79,78,45,37,154,88,997,11207
1617220800,80,77,45,37,153,89,998,11210
1617307200,79,78,44,38,152,89,987,11205
1617393600,80,78,45,37,152,89,993,11228
1617480000,79,79,45,37,152,88,1031,11227
1617566400,76,78,44,38,153,88,1039,11197
1617652800,76,78,45,38,154,89,1068,11203
1617739200,74,76,46,38,155,90,1050,11200
1617825600,73,76,46,37,158,89,1041,11211
1617912000,73,76,47,36,157,85,1015,11244
1617998400,74,75,48,36,158,85,1011,11266
1618088400,75,75,47,36,157,85,1006,11288
1618171200,74,73,47,35,154,86,1017,11271
1618261200,74,70,48,35,150,85,1057,11306
1618347600,75,73,48,36,148,86,1037,11255
1618430400,74,70,47,36,147,85,992,11219
1618516800,74,70,47,36,147,85,992,11219
1618603200,73,69,48,37,141,85,967,11181
1618689600,74,69,48,37,140,85,998,11173
1618776000,73,70,47,37,139,85,1037,11187
1618862400,74,71,48,36,137,83,1068,11232
1618948800,74,71,49,37,136,84,1036,11287
1619035200,73,72,49,36,135,81,1040,11359
1619121600,75,72,50,34,136,78,1080,11364
1619208000,74,73,50,33,135,79,1082,11379
1619316000,74,74,49,34,137,81,1106,11340
1619380800,72,73,49,34,139,82,1124,11306
1619467200,72,71,48,34,138,81,1114,11319
1619553600,73,72,48,34,138,82,1109,11385
1619640000,72,71,46,34,137,81,1104,11388
1619726400,72,70,47,34,137,82,1099,11322
1619823600,73,71,49,34,136,79,1085,11285
1619899200,73,71,49,34,136,79,1085,11285
1619989200,71,71,47,36,145,84,1068,11328
1620072000,71,71,47,36,145,84,1068,11328
1620158400,63,66,46,37,155,85,1105,11285
1620244800,60,65,45,37,160,86,1107,11241
1620331200,59,68,45,37,164,88,1124,11265
1620417600,56,64,46,38,169,89,1160,11440
1620504000,56,64,46,38,169,89,1160,11440
1620590400,59,59,45,35,164,83,1170,11272
1620676800,59,58,44,35,165,80,1216,11247
1620763200,59,55,42,36,168,81,1157,11212
1620849600,59,52,40,36,167,81,1099,11199
1620936000,60,51,39,35,168,81,1063,11306
1621022400,62,49,40,34,167,81,1106,11357
1621108800,63,49,39,33,165,81,1096,11363
1621195200,62,50,39,33,164,80,1100,11362
1621281600,62,50,39,33,164,80,1100,11362
1621368000,63,49,40,32,161,78,1057,11279
1621454400,65,50,40,32,160,77,1036,11236
1631563200,91,84,45,39,153,90,1030,11297
1631995200,113,83,47,41,154,89,1024,11171
1632427200,118,88,46,40,173,89,1013,11106
1632513600,112,85,45,40,182,92,1022,11141
1633032000,81,68,47,44,182,101,997,11193
1633118400,76,64,47,44,185,102,997,11178
1633204800,73,60,49,44,182,100,995,11087
1633291200,69,57,51,44,176,101,968,11075
1633550400,68,58,52,42,167,93,946,11055
1633723200,64,59,50,39,167,91,953,11139
1633896000,66,61,48,39,166,91,935,11137
1633982400,67,61,43,39,166,92,943,11045
1634414400,60,63,44,36,174,85,925,11081
1634500800,61,65,46,35,177,84,946,11147
1635192000,62,62,42,36,187,84,941,11117
1635278400,68,63,43,36,197,86,945,11137
1635364800,69,67,43,36,196,85,977,11124
1635451200,69,71,44,37,193,85,1010,11110
1635537600,69,75,43,36,194,83,1004,11088
1635710400,68,76,41,36,190,85,1061,11091
1635969600,69,76,43,37,196,87,1090,11119
1636056000,70,77,43,36,194,87,1039,11144
1636491600,69,72,44,37,208,88,1044,11169
1636664400,71,71,44,38,219,92,1070,11183
1636923600,65,62,42,38,216,94,1069,11203
1637010000,68,62,42,38,213,93,1064,11219
1637096400,70,64,43,38,209,91,1060,11205
1637535600,73,74,48,38,205,87,1130,11184
1637614800,72,77,49,37,203,87,1111,11200
1637701200,72,79,48,38,203,88,1089,11222
1638478800,71,95,41,40,235,93,1128,11095
1638651600,71,88,44,39,237,94,1087,11128
1638738000,73,86,44,39,238,94,1119,11080
1638824400,72,81,46,39,239,93,1110,11076
1639256400,70,72,48,41,254,98,1091,10799
1639429200,69,75,51,41,254,99,1130,10925
1639515600,70,76,51,42,259,99,1131,10959
1639774800,69,77,50,42,261,94,1094,11049
1639861200,69,77,50,42,258,95,1119,11075
1640466000,72,71,54,42,274,100,1115,10951
1640552400,73,73,56,42,276,100,1116,10948
1641160800,68,72,54,42,278,98,1089,10970
1641330000,66,71,55,43,281,102,1099,11034
1641416400,69,73,54,43,276,103,1068,11101
1641762000,70,78,54,41,224,95,967,11011
1642194000,68,67,53,43,234,102,1128,11111
1642366800,71,65,54,43,243,100,1163,11213
1642712400,73,72,51,44,267,105,1233,11211
1642885200,75,76,51,44,270,106,1200,11230
1643058000,76,82,52,44,267,105,1099,11174
1643403600,74,86,51,45,277,106,1204,11234
1643490000,75,87,52,45,281,107,1203,11199
1644094800,72,71,56,45,292,105,1204,11115
1644544800,75,80,59,47,290,111,1200,11115
1644872400,72,74,59,48,278,112,1179,10981
1645045200,72,73,59,47,271,115,1176,11027
1645131600,72,73,60,48,268,115,1199,11042
1645394400,75,77,69,49,260,119,1107,11066
1645822800,72,78,87,49,271,117,1141,11062
1645927200,73,80,83,49,278,112,1126,11047
1646082000,80,79,76,49,274,113,1171,11040
1646427600,77,73,72,45,261,112,1082,11173
1646686800,81,74,71,49,265,119,1064,10986
1647460800,103,83,54,47,282,115,1077,11031
1647892800,97,83,55,47,267,108,1068,10959
1647979200,100,83,54,47,266,109,1095,10997
1648065600,103,83,54,46,268,107,1092,11019
1648152000,106,83,54,48,266,108,1070,11057
1648238400,106,83,54,48,266,108,1070,11057
1648324800,108,82,54,49,276,107,1062,11083
1648411200,103,81,54,50,275,104,1061,11085
1648497600,102,80,55,48,273,101,1061,11126
1648584000,99,81,57,49,271,104,1067,11156
1648670400,95,79,59,49,277,105,1093,11233
1648756800,95,78,61,47,277,106,1109,11207
1648843200,95,78,61,47,277,106,1109,11207
1648929600,89,72,61,41,278,106,1081,11107
1649016000,84,68,61,41,278,107,1073,11099
1649102400,82,65,62,43,282,107,1082,11061
1649188800,77,63,63,45,285,108,1086,11114
1649275200,74,62,64,47,283,109,1065,11159
1649361600,71,60,62,49,283,111,1058,11102
1649448000,69,61,62,49,285,112,1055,11102
1649620800,70,68,62,49,271,113,1068,11045
1649707200,70,70,66,48,270,114,1077,11029
1649793600,69,70,67,49,273,115,1082,11022
1649880000,71,70,66,49,277,115,1075,11023
1649966400,73,71,65,49,280,113,1063,11045
1650052800,73,71,65,49,280,113,1063,11045
1650139200,77,75,65,49,290,114,1053,10993
1650225600,78,78,65,49,289,113,1055,11000
1650312000,77,77,64,49,294,115,1060,10973
1650398400,77,77,64,49,294,115,1060,10973
1650571200,73,76,63,50,283,116,1055,11064
1650657600,75,77,65,51,276,117,1061,11045
1650744000,76,78,64,51,267,117,1060,11051
1650830400,79,80,64,49,271,116,1055,11023
1650916800,80,79,65,49,278,115,1051,11017
1651003200,79,79,67,50,287,115,1051,11038
1651089600,79,78,70,51,293,117,1050,11061
1651176000,82,77,71,52,293,118,1048,11079
1651327200,82,77,74,51,300,118,1046,11065
1651348800,82,77,74,51,300,118,1046,11065
1651435200,81,76,76,50,281,119,1053,11076
1651582800,80,77,77,51,284,119,1072,11082
1651608000,82,78,80,53,283,122,1080,11092
1651694400,82,78,80,53,283,122,1080,11092
1651780800,90,80,86,55,290,125,1079,11064
1651867200,93,79,88,56,296,126,1067,11041
1652040000,98,79,92,55,301,126,1062,11036
1652126400,101,79,92,55,300,126,1075,11005
1652212800,101,79,92,55,300,126,1075,11005
1652299200,95,77,84,53,300,124,1125,11019
1652385600,91,75,84,53,300,125,1138,11036
1652472000,88,75,86,51,302,122,1121,11029
1652558400,84,72,89,49,301,121,1111,10968
1652644800,80,72,92,51,299,123,1105,10970
1652731200,80,71,91,51,298,124,1103,10885
1652817600,79,71,92,50,302,125,1091,10924
1652904000,79,71,91,51,301,125,1088,10960
1652990400,80,72,91,51,304,126,1085,10925
1653076800,78,69,92,51,302,126,1100,10963
1653595200,74,69,92,53,319,130,1111,11009
1653681600,75,69,93,53,327,130,1116,10999
1653768000,76,68,95,54,329,130,1108,10976
1653940800,74,67,97,53,336,128,1097,10953
1654027200,75,66,96,52,347,124,1094,11000
1654113600,75,66,96,52,347,124,1094,11000
1654372800,75,69,97,51,343,122,1170,11067
1655150400,86,80,97,50,280,122,1117,11024
1655409600,98,78,96,51,267,122,1112,11036
1655496000,95,78,97,51,269,122,1122,11057
1655841600,78,76,107,50,263,121,1180,11057
1656014400,73,73,119,52,256,125,1205,11114
1656446400,69,72,121,51,249,122,1161,11162
1656532800,70,70,124,51,258,123,1132,11144
1656964800,69,61,136,51,244,123,1051,11077
1657051200,68,63,130,52,246,125,1096,11079
1657137600,69,66,130,52,249,125,1138,11065
1657224000,68,65,132,51,246,125,1113,11081
1657310400,68,64,125,52,243,126,1098,11101
1661544000,56,51,128,49,184,116,1062,11000
1661983200,51,51,132,47,173,113,1142,11085
1662062400,50,51,134,46,179,115,1151,11085
1662494400,52,57,111,40,186,104,1087,11097
1662926400,54,66,95,45,197,108,1118,11153
1663012800,57,65,100,46,202,110,1095,11152
1663099200,60,67,99,48,204,110,1087,11156
1663185600,62,68,95,49,206,113,1110,11161
1663272000,65,69,92,49,209,115,1132,11175
1663358400,65,69,92,49,209,115,1132,11175
1663444800,67,69,96,48,208,117,1148,11131
1663531200,66,69,101,48,204,117,1165,11127
1663617600,67,70,105,49,197,120,1162,11111
1663704000,70,71,111,50,192,121,1178,11173
1663790400,71,70,116,51,195,124,1179,11179
1663876800,71,68,122,52,199,125,1203,11215
1664308800,67,63,143,58,201,131,1238,11246
1664395200,67,63,143,58,201,131,1238,11246
1664481600,63,61,128,57,202,127,1171,11218
1664568000,64,63,122,58,207,129,1146,11282
1664654400,62,65,123,57,210,126,1125,11262
1664913600,62,62,133,53,212,129,1148,11191
1665000000,60,61,139,53,210,129,1171,11224
1665086400,60,60,145,54,207,131,1213,11248
1665518400,61,57,172,56,212,132,1214,11260
1665604800,60,57,164,55,217,129,1162,11265
1665691200,59,55,155,55,210,126,1167,11304
1665777600,58,54,150,56,207,123,1164,11284
