timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1615924800,74,85,45,39,163,95,1045,11170
1616011200,84,86,44,38,164,79,1008,11184
1616097600,92,84,44,39,155,84,1013,11245
1616184000,88,,42,28,156,90,1005,11216
1616270400,100,83,41,31,156,85,999,11234
1616356800,1000,82,43,30,161,83,1004,11207
1616443200,101,73,43,33,158,88,1031,11238
1616529600,85,77,43,33,159,86,1019,11259
1616616000,95,72,43,34,159,88,997,11236
1616702400,88,79,44,36,159,87,996,11243
1616788800,85,78,44,35,158,88,985,11234
1616875200,82,76,45,35,157,89,972,11196
1616961600,79,80,46,35,154,89,972,11188
1617048000,78,77,45,37,155,89,996,11231
1617134400,81,77,45,36,154,89,995,11203
1617220800,79,78,43,38,152,89,987,11203
1617307200,78,69,44,37,152,89,995,11278
1617393600,80,74,45,36,153,87,1031,11234
1617480000,76,76,45,37,154,88,1026,11198
1617566400,75,76,45,37,154,89,1053,11242
1617652800,75,76,46,37,156,91,1034,11210
1617739200,73,74,46,36,159,90,1047,11233
1617825600,73,76,47,35,157,85,1023,11245
1617912000,75,76,47,35,157,85,1013,11274
1617998400,75,77,48,35,157,86,1008,11272
1618088400,74,69,47,35,155,87,1002,11277
1618171200,75,73,47,35,153,86,1080,11301
1618261200,76,75,48,35,149,86,1019,11276
1618347600,75,70,47,37,148,86,989,11238
1618430400,74,70,47,36,145,85,982,11217
1618516800,76,69,48,36,145,85,978,11206
1618603200,75,67,48,36,140,85,995,11193
1618689600,74,70,47,36,141,85,1030,11166
1618776000,71,72,47,33,137,78,1064,11266
1618862400,72,72,49,36,136,85,1041,11303
1618948800,74,72,49,34,135,77,1034,11334
1619035200,77,74,49,31,137,77,1096,11390
1619121600,74,71,49,32,136,80,1073,11357
1619208000,75,72,49,34,135,82,1123,11358
1619316000,73,73,49,34,139,84,1121,11334
1619380800,74,71,47,34,138,82,1113,11318
1619467200,73,73,48,33,143,81,1112,11359
1619553600,70,70,45,33,139,82,1111,11393
1619640000,72,71,45,33,138,81,1102,11362
1619726400,72,66,52,34,138,77,1091,11312
1619823600,72,65,48,37,142,84,1076,11262
1619899200,74,70,46,36,145,84,1070,11263
1619989200,65,68,46,36,156,84,1117,11334
1620072000,65,62,46,39,160,85,1109,11306
1620158400,59,66,46,38,161,86,1103,11261
1620244800,60,73,44,37,162,87,1119,11285
1620331200,55,62,46,38,169,89,1196,11392
1620417600,55,51,49,37,166,89,1182,11424
1620504000,62,57,46,32,165,84,1151,11327
1620590400,57,58,45,34,164,75,1206,11267
1620676800,59,53,42,35,164,83,1107,11232
1620763200,61,52,41,35,169,81,1054,11209
1620849600,55,51,38,35,166,81,1023,11353
1620936000,74,41,43,34,171,81,1097,11330
1621022400,65,50,38,33,165,83,1084,11340
1621108800,60,50,38,31,164,80,1124,11523
1621195200,64,40,44,32,163,80,1095,11360
1621281600,64,40,44,32,163,80,1095,11360
1621368000,65,48,40,32,161,78,1030,11252
1621454400,73,46,42,34,163,81,1019,11249
1621540800,78,50,42,35,161,82,1010,11243
1621627200,77,48,41,35,161,81,1014,11239
1621713600,79,52,41,34,162,80,1005,11285
1621800000,78,53,40,36,169,84,998,11240
1621886400,80,52,40,34,164,82,1040,11214
1621972800,80,50,40,34,164,80,1038,11192
1622059200,79,49,40,35,163,82,1024,11181
1622145600,90,51,40,35,164,82,1019,11135
1622232000,256,42,40,35,164,81,1037,11146
1622318400,118,41,39,35,162,83,1142,11205
