timestamp,Copper_ore,Tin_ore,Iron_ore,Silver_ore,Gold_ore,Mithril_ore,Adamantite_ore,Runite_ore
1615924800,1945,544,145551,128775,283780,80482,76393,19780
1616011200,1904,8445,120211,152706,346875,140663,69903,7947
1616097600,1558,1406,173933,181726,469262,145430,71664,19820
1616184000,12,0,11546,27369,140557,12139,2145,1200
1616270400,1480,1861,149307,155867,159448,73255,86515,13175
1616356800,73,1007,91897,148164,363670,139243,83489,25601
1616443200,1163,846,148010,195188,221094,8519,62049,23542
1616529600,1710,2282,104724,184043,161922,18066,73535,491
1616616000,2161,503,100830,122583,218295,9980,43779,25209
1616702400,1618,1494,72808,40553,282263,47545,88722,14537
1616788800,1875,1899,76902,42131,242684,28566,32082,11706
1616875200,3224,899,206805,84133,287693,77626,59053,27210
1616961600,3207,1432,177765,147198,594818,58413,37083,15560
1617048000,2771,3529,65094,67932,307481,49823,39356,2585
1617134400,573,4707,92150,133493,422476,100595,69356,13263
1617220800,2910,4833,150371,91693,192504,102156,70213,12056
1617307200,842,619,92852,93273,358822,40818,63521,9099
1617393600,2060,1069,93326,48433,280459,48279,43140,17136
1617480000,634,1170,100579,46589,621397,67835,88430,10834
1617566400,353,659,72138,154131,592776,37420,91800,6697
1617652800,1294,1360,32303,164881,315521,73747,100394,11214
1617739200,711,695,105871,173218,488455,82652,98330,4043
1617825600,946,323,41998,150906,255034,126390,69011,17049
1617912000,1463,2379,170025,136961,136589,52785,50212,16475
1617998400,2072,769,81365,139412,375918,59847,59622,12581
1618088400,3488,224,33878,169494,402380,28801,64011,20276
1618171200,2773,1579,37845,86848,256659,56802,50163,13451
1618261200,2068,2430,41081,68315,294467,76552,77596,13839
1618347600,12662,13977,139510,37155,265664,26946,91615,25106
1618430400,930,518,95699,29716,248540,96868,104716,22173
1618516800,484,726,131372,40921,306767,37258,75284,33340
1618603200,2756,305,113586,150217,417964,78759,51675,16137
1618689600,1522,581,183658,162764,338265,51461,54272,14617
1618776000,2475,1741,154428,211578,553817,76242,33850,12543
1618862400,5359,2160,167010,50499,221514,58393,40125,6683
1618948800,1008,586,95917,116275,156426,201425,94739,14367
1619035200,980,3701,60889,135169,447993,75551,59454,19855
1619121600,872,429,138869,82117,421504,28186,109755,33557
1619208000,388,242,179885,69905,171688,33580,47630,18415
1619316000,2959,2089,194023,58496,184123,28255,20688,11700
1619380800,7646,9291,178058,107516,651585,53573,57687,3112
1619467200,3833,3095,240129,116976,168596,11954,60669,9997
1619553600,1180,1201,548397,126049,146528,39402,44463,10379
1619640000,1924,1089,232563,70668,372449,15830,41918,9015
1619726400,2413,2624,47416,167828,313661,97659,32467,10075
1619823600,432,2089,174723,4208,286859,39934,86731,10106
1619899200,1409,1001,130765,7141,353806,17345,93169,12117
1619989200,4021,965,243546,75841,168293,67277,50513,4865
1620072000,3368,1303,262119,45424,183532,91906,78570,11837
1620158400,195,340,73620,28316,440625,117878,62493,21258
1620244800,3468,3542,168312,30243,509569,66326,43921,6441
1620331200,4380,6848,69830,41841,651287,26178,40086,19501
1620417600,3366,6390,105949,108334,120095,52235,37253,11281
1620504000,1808,3310,249923,148743,760911,77455,91539,21890
1620590400,3274,1383,159779,103740,430466,145981,43420,22225
1620676800,652,3358,130615,98472,271869,170660,55640,14052
1620763200,2319,1226,102309,111910,314411,52806,50727,31358
1620849600,1217,85,180701,102191,428539,33404,17653,13638
1620936000,316,639,89180,54916,254525,45823,70477,23894
1621022400,1724,1611,171608,57081,440372,41753,72405,23258
1621108800,571,170,137103,122825,333415,50091,71904,5485
1621195200,1521,259,74595,63531,794109,49699,66578,9147
