timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1615924800,74,88,45,39,161,94,1023,11152
1616011200,82,86,44,38,162,73,1002,11164
1616097600,83,76,43,39,153,82,1005,11223
1616184000,,74,41,26,156,87,997,11220
1616270400,99,82,41,27,154,85,990,11223
1616356800,337,81,43,24,158,81,994,11196
1616443200,92,60,42,32,158,86,1019,11218
1616529600,81,71,43,32,158,85,1009,11246
1616616000,89,60,42,34,158,87,992,11232
1616702400,85,76,43,35,158,87,991,11237
1616788800,87,77,43,35,157,87,976,11222
1616875200,79,68,44,36,156,88,962,11186
1616961600,77,78,44,36,152,89,966,11183
1617048000,70,77,44,36,153,88,987,11219
1617134400,81,76,44,36,152,87,991,11192
1617220800,76,75,42,38,151,88,980,11199
1617307200,79,65,43,37,150,88,990,11243
1617393600,78,73,45,37,152,87,1020,11234
1617480000,75,71,44,38,152,87,1018,11167
1617566400,62,73,45,39,153,89,1043,11216
1617652800,76,75,46,38,154,90,1025,11203
1617739200,71,70,45,35,158,90,1036,11234
1617825600,73,75,47,34,155,84,1017,11231
1617912000,75,75,47,36,157,84,1004,11261
1617998400,74,77,47,35,156,86,1003,11269
1618088400,73,68,46,35,153,86,993,11257
1618171200,74,71,47,35,151,84,1065,11285
1618261200,72,71,48,36,148,85,1012,11252
1618347600,75,69,47,36,146,85,983,11227
1618430400,72,69,47,36,143,84,969,11207
1618516800,71,65,47,37,142,84,968,11199
1618603200,73,67,47,37,138,85,989,11187
1618689600,73,72,47,37,139,84,1015,11151
1618776000,77,70,46,29,136,77,1061,11254
1618862400,71,69,48,36,134,84,1035,11281
1618948800,73,72,48,33,134,75,1022,11318
1619035200,74,70,49,30,135,75,1074,11371
1619121600,71,72,49,31,134,79,1063,11311
1619208000,73,71,49,34,133,81,1101,11340
1619316000,70,73,48,34,136,82,1114,11319
1619380800,72,69,48,34,136,81,1103,11334
1619467200,70,70,48,34,140,82,1106,11344
1619553600,70,69,45,34,136,82,1106,11385
1619640000,70,69,45,34,137,81,1097,11325
1619726400,71,58,50,34,136,76,1077,11282
1619823600,70,57,47,35,139,82,1067,11234
1619899200,64,70,46,36,144,83,1060,11251
1619989200,63,68,46,36,153,84,1106,11339
1620072000,61,60,46,37,159,84,1097,11285
1620158400,54,65,45,38,160,85,1094,11245
1620244800,59,72,43,37,161,87,1113,11268
1620331200,54,49,46,37,164,89,1183,11381
1620417600,55,49,47,38,165,88,1168,11358
1620504000,60,49,44,30,165,84,1142,11295
1620590400,56,59,43,35,162,74,1195,11248
1620676800,59,52,41,35,163,81,1094,11197
1620763200,58,50,41,36,166,80,1049,11199
1620849600,59,49,37,35,165,81,1007,11336
1620936000,66,20,41,33,167,81,1088,11304
1621022400,59,49,38,32,164,81,1073,11326
1621108800,62,49,38,27,163,80,1105,11392
1621195200,63,39,41,33,162,79,1080,11352
1621281600,63,39,41,33,162,79,1080,11352
1621368000,63,47,40,33,160,78,1019,11225
1621454400,70,46,43,34,160,80,1003,11238
1621540800,74,49,41,34,160,81,997,11234
1621627200,76,49,41,34,160,80,1006,11229
1621713600,78,52,41,34,161,80,990,11256
1621800000,77,52,40,35,168,81,991,11225
1621886400,78,52,39,34,162,80,1021,11193
1621972800,78,49,39,34,163,80,1028,11187
1622059200,79,49,40,35,163,82,1009,11153
