timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1615924800,1673,1543,142254,240397,510851,167738,140204,38876
1616011200,940,1184,92457,151390,383996,151301,147488,44254
1616097600,1641,3407,128241,185725,287547,130871,123887,51569
1616184000,0,4,8943,2746,12197,14890,4809,2415
1616270400,1644,2562,115931,109318,353609,144140,124181,47446
1616356800,1010,2843,184338,136053,514935,208570,150939,25411
1616443200,9444,882,137446,132560,367669,254850,141540,49942
1616529600,2096,491,144118,151254,591932,174199,123870,46162
1616616000,7274,693,114844,126336,332501,200346,131761,41715
1616702400,505,2102,154872,241349,343498,239611,121710,48205
1616788800,1184,2446,208757,229533,302420,212790,124952,50813
1616875200,314,581,223244,169369,547750,217652,123858,33219
1616961600,314,2765,228217,206371,552706,267990,137171,49995
1617048000,826,492,168349,147801,372219,182634,113315,23867
1617134400,1348,1508,181020,155300,523545,163877,107446,27421
1617220800,225,4169,117732,190999,280940,138246,104790,38441
1617307200,1286,263,156173,176494,289968,181616,102939,33342
1617393600,427,1072,152405,181144,400929,180451,136927,44954
1617480000,685,557,157771,281436,592797,171847,113777,31687
1617566400,3195,2359,188704,379181,364325,268304,129041,46209
1617652800,549,634,239335,147259,547559,183067,98029,37385
1617739200,180,73,129448,199250,718562,168180,104861,38636
1617825600,2999,497,279914,108545,416710,132494,123930,29410
1617912000,2937,1675,241922,183630,273195,229267,123606,35645
1617998400,676,1772,234278,187034,456311,212529,145771,36014
1618088400,386,136,185907,69896,487258,245740,145908,50372
1618171200,2175,2856,267139,280401,766360,221510,151163,36937
1618261200,703,1397,222910,381212,420791,197311,126821,31416
1618347600,2614,793,78688,236458,376144,189440,87434,39528
1618430400,2699,1276,202482,274840,422476,150934,110003,31688
1618516800,229,400,181771,209949,250109,179990,126718,40155
1618603200,2860,1937,200684,214624,512780,159053,169655,32614
1618689600,1146,1971,116615,174539,305562,309395,184194,40549
1618776000,699,2182,192275,95437,858996,126662,130035,57628
1618862400,386,3917,181547,269807,388056,238463,130198,33379
1618948800,1089,1584,195282,154993,374950,74202,113709,35214
1619035200,788,510,160597,155571,710943,149820,167477,25901
1619121600,2463,1773,155619,91745,512539,219790,116073,23470
1619208000,944,1108,109134,214698,345420,223725,161493,24440
1619316000,437,2598,149262,114619,379769,155183,98620,22513
1619380800,674,376,116564,181532,978707,233983,124455,54497
1619467200,984,2062,261487,108333,651468,179333,110568,50480
1619553600,631,473,88008,99613,1612180,176566,89939,20313
1619640000,595,370,180903,179889,364939,178652,75676,21137
1619726400,1084,508,280506,75456,258524,91933,113909,28362
1619823600,1472,803,168658,217383,834123,141371,71834,32577
1619899200,251,1178,173090,211235,342345,236958,86306,44874
1619989200,714,1135,163057,206428,441474,164406,116453,28656
1620072000,1114,532,187354,205083,401606,161162,125204,25816
1620158400,195,416,100509,262278,547919,201090,120503,36162
1620244800,619,3713,113154,168310,425466,148371,135766,37991
1620331200,209,2343,176820,209289,1687384,190270,170160,44036
1620417600,1344,203,257298,79481,554839,134099,126530,30577
1620504000,1252,411,150985,64738,460444,218700,119040,36209
1620590400,198,1710,84147,104988,437661,76680,126383,41282
1620676800,13083,466,80897,193836,672934,175106,118458,29455
1620763200,287,893,145922,124991,681892,179686,71559,27462
1620849600,842,505,68654,86187,493511,159726,102937,35088
1620936000,1787,291,245568,100520,557129,122735,113414,48918
1621022400,1324,1445,75928,121453,501270,263974,122891,31170
1621108800,154,442,95711,62473,645197,225632,171960,37063
1621195200,1045,215,246661,193321,410234,159177,90543,21761
1621281600,1045,215,246661,193321,410234,159177,90543,21761
1621368000,1196,909,93706,129709,269827,144824,94619,39950
1621454400,14221,2383,152573,218536,324582,323034,88631,43038
1621540800,337,130,170496,178003,363556,112740,71131,25220
1621627200,1825,817,68208,230403,230398,116317,76752,25490
1621713600,1667,1614,176217,161358,494279,176318,85398,42004
1621800000,3710,4586,119133,232897,462621,218774,92996,26548
1621886400,1497,3848,171858,97240,604395,199749,197961,32459
1621972800,471,2102,140431,97513,452435,246246,131683,43025
1622059200,660,325,99495,214660,362724,246750,127889,26056
1622145600,1506,968,117855,223633,315966,223758,104635,22136
1622232000,986,262,205554,185424,416484,113910,92092,45138
1622318400,403,806,112732,168292,448853,164129,142780,41699
1622404800,168,262,100624,141972,721945,232390,156866,42159
1622491200,2232,1739,177247,152465,338393,175776,117369,30334
1622577600,643,4601,133646,93818,553187,146426,95854,29859
1622664000,737,684,187653,171586,248102,117923,82654,29435
1622750400,961,1412,232066,262268,238384,128645,86901,27913
1622836800,10962,10979,87656,119802,655921,139850,94774,23438
1622923200,6261,128,45419,207630,258715,123053,87147,25628
1623009600,1676,515,159579,135497,576611,211336,98706,30213
1623096000,6447,3872,90361,86956,263483,157659,134080,33386
1623182400,1658,1581,184109,90538,308958,227919,111224,39213
1623268800,137,565,164987,138137,281675,192153,91009,21337
1623355200,1562,1699,161548,106429,259363,160905,81211,34954
1623441600,6441,3917,112607,93585,566048,140601,80736,45439
1623528000,1763,600,85084,44956,284768,109419,61664,27034
1623614400,4217,529,80465,143729,649496,158734,121577,30100
1623700800,421,492,94185,145759,274330,204659,127864,23408
1623787200,1819,1745,120187,123916,648146,208496,129684,35037
1623873600,160,1218,107238,211814,318873,221480,96387,22946
1623960000,17462,4203,46573,143926,365244,148046,96838,14943
1624046400,3449,4230,60409,90279,404678,146044,89675,37117
1624132800,202,391,144435,216510,241473,161353,88904,27752
1624219200,132,301,155755,127704,405149,153636,89912,34077
1624305600,1183,374,111627,196152,476532,152102,134187,61918
1624392000,1398,2101,78357,157799,436891,129448,105463,30240
1624478400,2042,630,159256,210622,419649,181578,83818,56131
1624564800,1205,768,117632,134741,221122,151983,85868,23470
1624651200,703,2414,74927,114076,414698,134708,102696,33531
1624737600,1215,5428,158665,119465,307666,85295,96606,24405
1624824000,259,1369,137652,133954,242016,127078,75586,26635
1624910400,1087,1637,201240,117986,290064,180578,124871,18438
1624996800,314,820,126887,158002,362818,171394,106327,33118
1625083200,433,311,120734,81691,428091,195788,109145,57774
1625169600,234,111,162238,117886,403744,215823,94136,21436
1625256000,1681,1146,130822,194653,935199,194168,96446,31071
1625342400,2244,731,69855,98682,460018,148041,111760,23281
1625428800,4702,2710,51531,118409,468013,103632,77750,24604
1625515200,2000,2821,167382,127015,386408,195201,125324,21909
1625601600,3172,13906,235206,239209,515349,100851,93807,26408
1625688000,550,759,61342,126690,411266,142722,113373,48550
1625774400,1184,1968,99140,160011,400529,150291,88262,28540
1625860800,1157,5366,102346,93657,257949,174776,122866,26638
1626120000,1887,1090,181091,120304,510349,126281,78217,44967
1626206400,1083,2657,164211,107429,481157,120027,68973,30785
1626292800,771,5307,91768,85357,213231,148124,101250,29404
1626379200,1054,2466,133643,54044,167084,110277,91149,54206
1626465600,1604,719,148060,119143,596990,142171,104451,22902
1626724800,4007,818,88098,63626,358514,176077,118202,27755
1627243200,759,1680,42011,277715,273932,158647,96365,37171
1627416000,39,476,134882,157525,273408,131899,79879,31956
1627502400,178,1302,187916,96547,396784,133251,77038,15342
1627761600,611,2390,150695,187668,266900,146507,70321,19621
1627848000,5441,5857,184599,93158,463970,215193,134790,23261
1628366400,995,632,161336,100138,238169,114592,85576,33859
1628452800,244,186,62403,140689,317005,674940,123800,21920
1628539200,2796,1991,103624,110973,734694,181250,127852,26603
1629144000,106,8242,107617,181184,280822,143478,80436,31081
1629576000,5287,1807,86049,140621,274991,130603,83195,22132
1630458000,1081,183,123748,210115,303430,137586,106998,35101
1630699200,104,599,99665,109253,291654,149288,100005,25707
1630792800,629,489,109265,86633,227073,164842,98941,24138
