timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1666612800,55,63,115,56,227,129,1137,11210
1666699200,55,65,117,57,228,130,1139,11209
1666785600,55,65,117,57,228,130,1139,11209
1666872000,56,67,121,57,223,133,1142,11210
1666958400,57,66,128,57,222,136,1165,11234
1667044800,57,64,135,58,219,138,1197,11309
1667131200,57,64,135,58,219,138,1197,11309
1667217600,60,65,147,58,210,130,1180,11300
1667304000,62,64,141,58,210,133,1171,11278
1667390400,65,65,133,58,212,135,1201,11235
1667476800,66,66,127,58,214,134,1158,11179
1667563200,66,66,127,58,214,134,1158,11179
1667649600,63,67,132,59,220,135,1073,11152
1667736000,62,69,135,59,224,136,1069,11126
1667822400,62,69,135,59,224,136,1069,11126
1667908800,64,74,125,60,221,138,1133,11189
1667995200,64,74,125,60,221,138,1133,11189
1668081600,65,72,132,61,225,143,1150,11238
1668168000,65,72,132,61,225,143,1150,11238
1668254400,62,72,141,62,226,149,1153,11239
1668340800,64,72,143,61,228,151,1181,11199
1668427200,68,73,142,62,231,152,1209,11203
1668513600,69,73,146,63,235,155,1243,11186
1668600000,69,73,146,63,235,155,1243,11186
1668686400,68,70,156,64,232,143,1191,11170
1668772800,68,69,155,64,230,144,1187,11149
1668859200,68,69,155,64,230,144,1187,11149
1668945600,68,75,152,64,232,148,1170,11134
1669032000,68,76,147,65,229,152,1160,11141
1669204800,68,76,140,63,237,152,1138,11166
1669291200,66,75,135,63,237,153,1126,11146
1669377600,66,75,135,63,237,153,1126,11146
1669464000,64,79,130,64,242,151,1144,11202
1669550400,64,83,129,64,247,155,1171,11227
1669636800,65,88,128,63,253,154,1164,11226
1669723200,65,88,128,63,253,154,1164,11226
1669809600,65,92,127,64,260,152,1152,11284
1669896000,64,95,126,64,266,148,1158,11296
1669982400,65,93,124,64,270,151,1157,11293
1670068800,64,97,124,64,275,149,1160,11218
1670155200,65,95,126,63,275,148,1161,11136
1670241600,65,95,126,63,275,148,1161,11136
1670328000,65,101,139,64,279,145,1140,11123
1670414400,65,101,139,64,279,145,1140,11123
1670500800,65,111,136,63,287,148,1154,11150
1670587200,65,111,136,63,287,148,1154,11150
1670673600,65,107,140,63,288,148,1164,11138
1670760000,63,98,137,64,288,144,1144,11188
1670846400,60,93,134,62,283,144,1135,11202
1670932800,57,88,131,61,281,145,1140,11225
1671019200,57,88,131,61,281,145,1140,11225
1671105600,55,78,129,60,282,144,1148,11257
1671192000,55,78,129,60,282,144,1148,11257
1671278400,55,70,132,57,289,135,1150,11114
1671364800,55,70,132,57,289,135,1150,11114
1671451200,55,66,135,58,289,129,1148,11119
1671537600,57,62,137,58,296,135,1142,11144
1671624000,56,61,144,59,293,137,1136,11130
1671710400,52,64,148,60,291,141,1160,11187
1671796800,52,64,148,60,291,141,1160,11187
1671883200,52,64,162,59,288,140,1154,11185
1671969600,51,63,161,59,286,136,1147,11175
1672056000,51,63,161,59,286,136,1147,11175
1672142400,52,63,163,59,291,131,1124,11146
