timestamp,Copper_ore,Tin_ore,Iron_ore,Silver_ore,Gold_ore,Mithril_ore,Adamantite_ore,Runite_ore
1609616932.441998,60,63,47,39,125,92,902,11000
1609620587.3373394,57,61,47,39,126,92,919,11084
1609623029.1514647,57,61,47,39,126,92,919,11084
1609650402.3234339,57,61,47,39,126,92,919,11084
1609693396.0442672,55,57,46,39,126,92,905,11060
1609736498.0745933,55,57,46,39,126,92,905,11060
1609779648.436486,55,57,46,39,126,92,905,11060
1609822842.3315427,54,58,46,39,136,93,880,11188
1609866038.116555,54,58,46,39,136,93,880,11188
1609909268.6649358,54,58,46,39,136,93,880,11188
1609952428.3035426,54,58,46,39,136,93,880,11188
1609995623.034229,58,62,46,40,145,93,850,11142
1610038824.771287,58,62,46,40,145,93,850,11142
1610082022.7367601,58,62,46,40,145,93,850,11142
1610125223.6590748,58,62,46,40,143,92,844,11130
1610168422.8807156,58,62,46,40,143,92,844,11130
1610211629.7207396,60,63,47,40,141,89,857,11100
1610254826.7580538,60,63,47,40,141,89,857,11100
1610299784.2971528,60,67,47,40,138,91,880,11115
1610384695.0208344,60,67,47,40,138,91,880,11115
1610470921.2947845,60,74,47,40,140,89,932,11152
1610514094.052362,60,74,47,40,140,89,932,11152
1610557266.711795,60,74,47,40,140,89,932,11152
1610643621.9813573,62,82,47,40,142,84,927,11224
1610686881.325237,62,87,47,39,141,85,940,11207
1610730058.5067265,62,87,47,39,141,85,940,11207
1610816422.8200705,58,88,48,38,140,88,929,11175
1610902844.7745888,58,88,48,38,140,88,929,11175
1610989293.101873,58,79,50,39,137,91,891,11118
1611075716.7158265,57,75,51,40,136,91,889,11096
1611162052.008479,57,75,51,40,136,91,889,11096
1611248458.799323,59,72,51,40,134,93,870,11082
1611291666.3984296,59,72,51,40,134,93,870,11082
1611334857.8435292,59,72,51,40,134,93,870,11082
