timestamp,fire_rune,water_rune,air_rune,earth_rune,mind_rune,body_rune,death_rune,nature_rune,chaos_rune,law_rune,cosmic_rune,blood_rune,soul_rune
1615924800,3379986,2357451,1682484,1257267,261467,56972,1537235,909729,2117840,457789,403903,1945237,317927
1616011200,3653517,2873421,1828618,568730,678841,27762,1654251,608960,981530,321676,421408,1916828,333882
1616097600,4170588,679266,1157960,1122105,311634,73644,1468249,395367,567694,183779,402428,1585931,138458
1616184000,150132,69110,100664,32380,15627,2258,142956,68463,133879,30999,20927,137882,2185
1616270400,6078336,1903358,2303336,552345,214747,25711,1155628,1026403,1403567,410352,346459,1517123,130156
1616356800,4089480,1791357,3105395,2349985,654822,52509,1029585,781517,1999687,638961,222546,1833385,399172
1616443200,34448262,32305532,32069573,31318037,215482,32271,1979551,830738,973869,148024,308525,1952635,494473
1616529600,4345334,4945817,4943795,705584,259690,28479,1223967,333828,2167178,421853,352492,1773171,129173
1616616000,3171665,1708837,970459,786661,994031,26325,893239,554161,965867,145814,283378,1225334,115845
1616702400,4046740,1813186,1597923,1362387,297958,45966,808255,865234,1321488,104666,333503,1985191,175976
1616788800,6237303,1758615,1742345,509771,316784,37930,1093557,1024077,1193278,281335,373224,1578910,296852
1616875200,5141692,2845197,2273744,652521,405238,44989,733042,968554,1624330,246929,442727,2138178,161050
1616961600,6025707,2573891,2483918,1865993,490637,71269,908240,640257,1710699,180576,338730,1298976,405192
1617048000,3085404,1963674,2540796,1122032,711708,365288,1670404,523129,2539470,557123,237876,1319393,227149
1617134400,5736058,1852870,3470111,610476,353115,107960,655003,565881,1816252,58355,139331,1409441,328686
1617220800,3565550,1664651,1398746,1633004,228657,50541,723887,395882,477422,261274,214997,1092471,196358
1617307200,5735574,1995012,1620229,1699169,201948,35324,687655,474748,518301,185958,389848,909528,386069
1617393600,3684230,1500661,1750022,1329178,322882,279453,1407215,472572,1124930,203168,176685,1765715,121713
1617480000,1418085,1745756,1936526,1216539,294670,26048,1248265,600980,920128,486021,490700,1189364,296348
1617566400,1744597,1647230,1206236,1320183,333710,60939,875592,490091,824045,464085,159892,1516610,223163
1617652800,3499385,1894610,2041472,2199947,687270,126158,858711,957685,1284439,401669,296652,1077865,314820
1617739200,5091557,1319945,2013536,849853,623281,296664,848664,770819,1763632,293658,307303,1379233,379762
1617825600,2510947,1601326,3800219,489399,264693,85152,1129612,924379,1150180,378572,75504,1267201,235111
1617912000,1488551,1690719,1852303,642051,289347,66436,699362,526990,1599200,427948,317928,894996,275094
1617998400,23665994,17501838,15912807,16281488,12255033,1627489,537287,942499,916518,603089,386926,1162365,192313
1618088400,4150997,647081,1547403,802719,1010907,46660,1752276,984253,898181,247746,286258,1886957,162292
1618171200,6461537,2563978,2230815,672683,343801,141371,1161627,820539,1703824,297951,516741,2289914,215206
1618261200,3749975,2896730,2430351,2809015,1297229,170924,523415,686137,2146407,341432,174030,873871,237793
1618347600,1981020,2215064,2058296,1298886,427451,55841,540714,782116,985782,148667,243617,918726,197186
1618430400,4482243,2212493,1404052,1976991,348921,78486,1325052,770378,1552720,341972,305755,1287838,208027
1618516800,2969626,1534741,1306566,1113506,351258,64045,1248764,703715,1437375,185872,325153,893151,283427
1618603200,3113005,1596360,1807550,401536,347683,38739,1128118,662920,1538951,222598,360340,879187,138711
1618689600,3429856,1278796,1506160,1135556,319714,30524,553027,679825,692730,144910,478531,1072703,132653
1618776000,3167463,1697597,1939941,1601150,987640,27452,575363,611052,1679140,417755,214352,1288983,369954
1618862400,3522487,1545640,3178568,1661736,464154,109256,918831,839845,1064897,279647,326560,1858483,169956
1618948800,3142902,1387399,1573728,1117396,248487,174244,574139,945576,658791,317068,187652,1376056,125639
1619035200,3581183,537024,1689102,1491859,249578,98126,518568,366169,2378964,248095,462848,1651909,177598
1619121600,2996066,434144,1541849,1147146,362514,34613,509682,417991,864794,248432,321379,2263040,135158
1619208000,3109789,882904,1824888,1207053,226934,50043,962172,936550,459207,100714,409520,913261,295369
1619316000,3676539,783867,2311091,1173850,241552,47859,896415,654285,1667393,210041,250926,1623846,282030
1619380800,4547990,2245845,1771983,1145405,334292,140713,2071928,772557,2161938,108182,358913,2261139,369392
1619467200,2206641,1862368,1705271,789632,499593,19604,477942,310466,925401,328048,223913,1207915,163253
1619553600,4808213,2424103,689989,731729,240914,59039,1223889,471761,932666,357787,240625,1156325,227837
1619640000,3166392,1322100,1724186,2595744,7897681,974176,823081,552644,782717,235556,234383,1163598,306083
1619726400,3194224,1578547,1672989,1055377,316531,152125,204050,541328,540834,87962,262110,1670528,560260
1619823600,4073665,1333012,1276145,380639,265139,24912,1185620,368963,469796,229252,242181,1880898,158967
1619899200,1895985,1255982,1808776,1036080,315200,17218,805490,646103,734375,290520,215243,1405377,293957
1619989200,3610475,1538532,2036687,4073593,557789,59828,618996,555157,900985,336108,250076,1401309,634208
1620072000,7046378,1661181,1181030,1313714,263021,839536,1471473,514007,1125149,100698,479579,1807516,287697
1620158400,4867251,1861793,1240980,1243790,479376,228050,1116431,820757,1152737,262094,238680,491724,207212
1620244800,4277023,1702231,2653540,1242632,315435,42234,702480,669852,1281038,139059,155229,1507487,235028
1620331200,3682930,1590463,1801289,1027597,274666,14379,1023358,877528,1682720,339452,567075,1252286,245417
1620417600,3174892,1718029,1337352,829211,280086,78445,1445804,432808,1248712,235630,248623,2057564,293112
1620504000,3237785,2088338,1254668,3803889,419352,46461,820452,876461,476239,312231,241200,1036406,212786
1620590400,3672579,1723479,1640405,1275091,683640,59587,769891,570074,1639200,66697,193577,2633864,242977
1620676800,3867375,645510,1401495,766073,303316,119872,1207010,762320,676610,205857,284262,1651284,297999
1620763200,3869667,1397061,1765749,1115218,730940,43690,1185573,863780,1982086,518909,431688,1808569,204529
1620849600,5367757,1278609,1652945,1193952,390576,47303,1022314,422081,1170942,43621,492347,1391987,169909
1620936000,4099761,1446737,1526700,1031201,320490,284119,511205,556381,746743,146328,228785,1692552,233948
1621022400,3695316,1917873,1953651,3496198,232090,47015,997687,847623,569862,330634,271901,1329132,452631
1621108800,2601779,1380531,1531599,1405747,392865,439060,705909,980836,527220,181134,260051,969733,346287
1621195200,3331982,2327978,1925565,1616896,265549,39403,817517,441328,1202862,409420,268392,1908701,405815
1621281600,3331982,2327978,1925565,1616896,265549,39403,817517,441328,1202862,409420,268392,1908701,405815
1621368000,3314335,1629320,1623625,1179996,313973,29728,1114821,697187,803720,254367,341672,1750771,247446
1621454400,3178737,1477803,1590519,1936297,322540,31766,928736,744442,405904,297118,207656,1044973,275207
1621540800,2670340,832458,1847459,1040090,472732,48151,966776,466239,825099,214916,317746,742510,301602
1621627200,2739341,1125999,1248130,1149899,230390,14069,1505159,526086,488451,264684,183026,594835,222604
1621713600,3613099,2557030,1928673,1095588,346154,17648,804729,704217,612498,269467,307605,894796,161188
1621800000,4006572,1440266,1667356,1912081,420223,84143,2260707,298356,739189,367723,275130,1584871,171335
1621886400,2829565,1242902,2588466,1027315,861054,7939,784355,799804,2985182,129968,301468,1862998,81005
1621972800,3822479,1251056,2730287,1119725,386870,124996,1240143,655767,707453,309375,195741,1513747,265209
1622059200,2976946,1872640,1098185,989240,3868851,15850,463270,389942,894463,70968,99929,1714034,142300
1622145600,2604021,3118639,1108426,1136828,436880,39529,757037,742307,780856,355262,220151,882867,151898
1622232000,2395156,648908,848663,853488,518603,19514,1209211,419556,638187,211128,316564,1287703,99592
1622318400,3974749,968974,1832942,673139,1466979,38719,611426,441073,1216493,366709,297018,1805837,261251
1631563200,2423050,1113074,604115,786917,564369,41254,616377,236452,641749,322385,160501,1257919,216414
1631995200,2376959,951079,896798,2927714,382987,57621,713477,427186,1369719,204994,206552,1520388,65694
1632427200,1160818,419154,375482,554169,595209,14035,589209,367379,460334,159020,303933,1121157,75702
1632513600,1243960,1271934,17271068,515636,291017,68139,663342,362521,316751,232437,178384,1496217,106765
1633032000,3000562,821288,1090786,515734,234622,55026,717181,337143,321946,90035,292961,930365,201749
1633118400,1844507,661664,2254818,609010,345953,324600,1032626,566580,564186,276146,172513,1133018,215304
1633204800,3934880,573280,1013694,305062,373226,35363,1124702,375836,786110,323500,208533,1299971,787916
1633291200,1714077,840243,1710054,199299,663475,67270,1202708,347058,980627,297593,311641,1400968,286960
1633550400,1306071,737319,1042728,656605,79076,101379,844577,479637,802603,187436,245179,1450692,125318
