timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1615924800,4,4,4,4,3,5,204,193,43,144,158,391,142
1616011200,4,4,4,4,3,5,201,192,46,144,160,386,137
1616097600,4,4,4,4,3,6,201,186,47,143,154,388,141
1616184000,4,4,4,4,3,6,200,185,46,144,150,388,143
1616270400,4,4,4,4,3,5,199,186,46,136,146,388,142
1616356800,4,4,4,4,3,5,197,185,46,127,119,383,112
1616443200,4,4,4,4,3,5,195,187,47,131,136,377,131
1616529600,4,4,4,4,4,5,195,191,46,129,135,379,135
1616616000,4,4,4,4,3,6,195,190,47,132,135,378,137
1616702400,4,4,4,4,3,6,195,189,46,131,136,374,140
1616788800,4,4,4,4,3,5,194,187,46,132,138,371,141
1616875200,4,4,4,4,3,5,193,187,46,134,136,368,141
1616961600,4,4,4,4,3,5,193,186,43,135,136,367,140
1617048000,4,4,4,4,3,4,192,187,43,130,141,366,141
1617134400,4,4,4,4,3,5,192,183,44,130,140,367,133
1617220800,4,4,4,4,3,6,191,185,43,131,139,369,139
1617307200,4,4,4,4,3,6,191,185,45,133,138,373,140
1617393600,4,4,4,4,3,5,189,183,45,132,137,375,139
1617480000,4,4,4,4,3,5,190,182,45,122,139,379,140
1617566400,6,4,4,4,3,5,191,180,46,127,150,379,140
1617652800,5,4,4,4,3,6,192,182,45,124,139,381,140
1617739200,4,4,4,4,,6,192,181,44,125,141,381,140
1617825600,5,4,4,4,3,5,191,179,44,124,146,382,141
1617912000,5,4,4,4,3,5,190,180,41,122,138,381,141
1617998400,4,4,4,4,3,5,190,177,44,119,137,379,139
1618088400,4,4,4,4,2,5,188,177,45,113,148,377,139
1618171200,4,4,5,4,3,5,188,177,45,114,147,376,139
1618261200,5,4,4,4,3,6,186,178,43,111,150,376,140
1618347600,5,4,4,4,3,6,186,175,44,115,151,375,143
1618430400,5,4,4,4,4,6,186,174,43,115,147,376,143
1618516800,5,4,4,4,3,5,185,173,43,117,144,376,140
1618603200,4,4,4,4,3,5,186,173,43,116,144,373,142
1618689600,4,4,4,4,3,5,185,171,44,116,144,372,144
1618776000,4,4,4,4,2,6,185,171,44,115,139,371,145
1618862400,4,4,4,4,3,5,185,169,44,117,124,368,144
1618948800,4,5,4,4,3,5,183,166,43,116,119,366,144
1619035200,4,4,4,4,3,5,183,166,42,115,112,365,146
1619121600,5,4,4,4,3,5,183,167,42,114,106,362,145
1619208000,4,4,4,4,3,5,181,165,41,115,108,363,146
1619316000,4,4,4,4,3,6,181,167,39,117,100,362,144
1619380800,4,4,4,4,3,5,182,169,39,116,102,358,136
1619467200,4,4,4,4,3,6,181,173,39,117,111,359,143
1619553600,5,4,4,4,3,5,180,173,40,117,119,357,143
1619640000,4,4,4,4,3,5,177,175,40,116,127,356,142
1619726400,5,4,4,4,3,5,178,175,41,117,132,357,143
1619823600,4,4,4,4,3,5,178,173,43,118,127,356,145
1619899200,4,4,4,4,3,6,180,172,43,116,125,357,145
1619989200,6,4,4,4,3,6,182,169,43,111,130,361,146
1620072000,5,4,4,4,3,5,185,170,45,113,129,360,144
1620158400,4,5,4,4,3,5,188,166,45,115,127,361,138
1620244800,4,4,4,4,3,5,190,166,45,115,126,360,143
1620331200,4,4,5,5,3,6,191,166,44,116,119,355,143
1620417600,5,4,4,4,3,5,188,164,45,116,120,349,144
1620504000,5,4,4,4,3,5,187,162,44,116,118,348,143
1620590400,4,4,4,4,3,5,190,164,42,117,116,346,140
1620676800,4,4,4,4,3,5,192,164,42,112,112,343,143
1620763200,4,4,4,4,3,5,193,163,43,113,112,342,143
1620849600,5,4,4,4,3,6,193,164,42,118,110,337,144
1620936000,4,4,4,4,3,6,195,168,43,118,110,339,142
1621022400,4,5,5,4,3,6,196,170,45,119,111,337,142
1621108800,5,4,4,4,3,5,197,170,46,117,119,339,139
1621195200,4,4,4,4,3,5,200,170,45,111,115,336,128
1621368000,4,4,4,4,3,5,196,167,42,116,108,336,140
