timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1613077399.3087351,5,5,5,5,3,5,204,185,52,138,152,398,143
1613163687.653514,5,5,5,5,3,5,204,186,52,142,160,398,144
1613250059.2736406,5,4,4,4,2,5,205,186,52,144,160,397,143
1613336510.254737,5,5,5,4,2,5,206,186,52,144,167,395,142
1613422898.5919652,5,5,5,5,3,5,207,187,52,145,172,393,142
1613509281.9011648,5,4,5,4,3,5,210,189,52,145,173,394,141
1613595712.43876,5,5,5,5,3,5,213,191,52,145,170,394,141
1613768475.478923,4,4,4,4,3,6,210,192,53,146,161,394,143
1613854931.9237003,5,4,4,4,3,5,208,191,53,146,155,394,142
1614030131.0764017,5,5,5,4,3,5,205,190,53,138,154,394,139
1614632411.077518,5,5,5,5,3,6,198,194,52,151,156,394,142
1614718974.1753676,5,5,5,4,3,6,197,195,52,151,154,394,141
1614805323.0855973,5,4,4,4,3,6,196,196,53,152,152,395,141
1614891734.3102105,5,4,4,4,3,6,196,196,53,152,152,395,141
1615064533.350402,5,5,5,5,3,6,201,199,52,151,144,395,143
1615267536.3313046,5,5,5,5,3,5,199,198,50,145,149,392,143
1615323710.3388157,5,5,5,5,3,5,199,198,50,145,149,392,143
1615496498.8603497,4,5,5,5,3,6,197,195,49,141,155,389,143
1615925982.4506729,5,5,5,5,3,5,205,194,45,144,161,392,144
1616012130.590965,5,4,5,4,3,5,205,193,45,144,161,391,143
1616097847.1927125,5,4,4,4,3,5,203,191,46,144,159,390,143
1616185987.1064146,4,4,4,4,3,5,202,187,47,144,154,389,143
1616271710.1293793,5,5,5,4,3,5,201,188,47,144,153,390,143
1616359460.6570723,5,5,5,4,3,5,198,185,47,141,148,387,140
1616444687.8381083,5,5,5,5,3,5,197,186,47,134,140,384,134
1616531491.6290984,5,5,5,4,3,5,196,189,47,130,137,381,135
1616616353.748736,5,5,5,5,3,5,196,191,47,130,136,380,136
1616703752.3908956,5,5,5,5,3,5,196,190,47,132,136,378,138
1616789323.3698223,5,5,5,4,3,5,195,190,47,133,138,375,141
1616876399.268128,5,5,5,4,3,5,195,188,47,134,140,372,142
1616962368.2034733,5,5,5,5,3,6,194,187,47,136,138,370,142
1617049777.802539,5,5,5,5,3,5,193,187,46,136,140,369,141
