timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1615924800,2,1,1,7,22,2,1,2,2,5,20,69,91,68,6,9,12,9,47,2204,33547,117,17,13,15,61,37537,1298,37,415,173,58277,572,623,157,52203,3,2,3,4,9,7,88,26,1009,20734,59022,147068,1,1,3,23,1,4,1
1616011200,2,1,2,7,21,3,2,2,3,5,20,69,93,70,5,9,12,10,48,2153,33374,115,18,14,15,61,36793,1242,37,399,170,59927,552,609,155,52243,3,2,3,4,9,7,85,26,984,21184,58507,144695,1,1,3,23,2,4,1
1616097600,3,1,2,7,22,2,2,2,3,5,20,67,94,71,5,8,11,10,50,2171,33091,116,19,14,16,62,36446,1199,39,385,164,61225,538,630,158,52245,3,2,3,4,8,7,84,26,959,21268,57705,141210,1,1,3,22,2,4,1
1616184000,3,1,2,7,21,2,2,2,3,5,20,66,92,67,5,7,10,10,52,2190,32758,118,20,13,16,63,35927,1215,40,372,157,62229,521,650,162,52797,3,2,3,4,7,7,86,26,949,21121,57795,139051,1,1,3,21,2,4,2
1616270400,3,1,2,7,20,2,2,2,3,5,20,68,93,65,5,7,10,11,53,2197,32004,118,19,12,16,64,35287,1212,39,362,153,62378,501,649,164,52922,3,2,3,3,7,7,83,27,949,21238,57226,135537,1,1,3,20,2,4,2
1616356800,3,1,2,6,20,2,2,2,3,5,20,69,95,67,4,6,9,11,51,2129,30451,115,19,11,15,62,34654,1216,39,352,148,61479,485,637,159,51642,3,2,3,3,7,7,81,27,917,20528,56700,132726,1,1,3,20,2,4,2
1616443200,2,1,1,6,20,2,2,1,3,5,19,68,94,69,3,6,8,11,48,2027,28961,112,18,10,15,61,34647,1253,40,347,143,61082,481,660,158,50264,4,3,3,3,7,7,83,26,872,19957,56938,132712,1,1,3,20,2,4,2
1616529600,2,1,1,6,20,2,2,2,3,5,19,68,96,70,3,6,8,11,45,1940,28123,109,18,10,15,62,34596,1259,40,349,141,60352,473,678,159,50332,4,3,3,3,7,6,80,27,837,20434,57036,132116,1,1,3,20,2,4,2
1616616000,2,1,1,6,20,1,2,2,3,5,19,69,100,72,3,5,7,11,43,1869,27127,105,18,10,14,61,34872,1263,40,337,141,59848,458,681,158,50765,4,3,3,4,7,6,82,27,814,20521,56552,129881,1,1,3,20,1,4,2
1616702400,2,1,1,6,19,1,2,2,3,6,19,69,98,72,3,5,7,11,41,1895,27779,103,18,10,13,60,36577,1294,39,331,142,60138,469,689,156,51067,4,3,3,4,7,6,83,27,824,20546,56793,130750,1,1,3,20,1,4,1
