timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1615924800,22,2,3,7,20,9,,2,39,35,39,65,297,470,3,17,12,,39,1830,33979,96,57,80,17,59,37163,1246,37,402,171,60940,515,539,111,53242,4,2,1,4,10,8,75,19,944,21499,59201,147058,1,1,1,21,5,2,1
1616011200,22,7,4,7,59,3,6,99,6,22,29,60,219,306,4,14,,10,57,2302,34472,115,50,14,27,2005,37077,1158,79,374,143,60945,467,1198,153,52800,3,2,3,4,9,7,86,46,968,22039,58378,143460,1,1,7,16,2,7,1
1616097600,4,,2,10,22,4,6,2,38,4,42,65,285,1,2,4,6,89,50,2174,33074,112,19,18,21,62,36002,1201,63,355,151,62284,501,1147,500,53314,3,2,3,4,7,5,85,27,984,21525,58465,141202,1,1,4,17,3,4,1
1616184000,14,1,,2,20,0,1,2,,,,0,92,0,2,6,,,,2190,31987,,0,7,,,35494,1497,,321,0,62229,448,1100,,53223,4,0,2,1,6,5,72,,,21440,57475,137870,1,1,1,15,1,,1
1616270400,22,4,11,11,20,1,2,9,1,50,19,64,211,470,2,5,4,48,50,1941,30397,116,44,1,16,53,34788,1344,38,340,144,61952,433,624,129,52429,3,2,3,3,6,25,81,36,778,21062,55975,135064,1,1,13,16,2,7,1
1616356800,3,1,1,6,18,9,,,1,2,14,95,91,425,4,5,2,11,29,1901,28404,107,17,9,14,45,34231,1336,37,332,138,61361,488,1100,131,51288,4,3,3,3,8,6,85,21,843,19908,57084,133326,1,1,3,16,2,2,2
1616443200,2,1,1,4,85,1,,,1,4,24,50,147,63,2,6,7,41,42,1998,28648,102,16,12,26,58,34967,1413,55,426,137,60447,549,1250,281,51278,4,3,2,3,6,5,58,33,828,20528,57590,133064,1,1,7,13,3,1,2
1616529600,1,1,1,2,22,1,2,9,4,49,35,199,297,350,1,3,6,45,24,1933,26887,101,10,5,13,49,34952,1282,52,319,134,60359,422,975,207,51113,2,2,3,16,8,1,85,56,830,20434,56867,129903,1,1,1,16,1,7,1
1616616000,22,3,1,3,19,1,2,5,3,49,30,59,91,150,3,5,12,10,28,1891,28066,134,17,10,4,29,37398,1325,38,270,146,59643,595,596,137,51338,3,3,2,11,8,6,85,39,814,20519,57242,130981,1,1,7,20,1,10,1
1616702400,1,1,1,,8,,1,9,3,3,1,39,93,62,2,2,,,29,2027,29362,59,1,2,10,58,39634,1337,33,520,300,60348,619,1117,299,51356,1,1,2,2,1,1,52,69,1000,20546,56587,131294,1,1,8,17,10,9,1
1616788800,1,1,2,16,18,,1,2,3,,18,56,69,61,1,1,,60,34,1935,30370,93,12,11,10,715,43392,1695,38,640,500,61163,614,569,152,52970,3,3,2,3,5,5,149,24,1083,21300,59781,132392,1,1,2,15,1,3,1
1616875200,5,1,1,6,18,6,,1,3,2,19,11,90,20,1,2,,11,129,1930,29791,56,16,10,5,59,42802,1503,37,431,460,60877,460,799,137,51942,2,3,3,3,15,5,162,26,1053,20689,56689,133308,1,1,2,17,1,9,1
1616961600,21,1,26,,79,,,2,30,17,4,32,286,56,1,3,,8,39,1905,30196,88,13,11,24,70,42099,1623,36,453,407,60682,1122,1398,137,51291,4,3,3,3,6,6,190,21,1037,21080,56101,131441,1,1,2,14,4,2,1
1617048000,1,3,14,6,40,1,1,4,2,27,11,174,246,52,7,4,7,15,29,1863,29511,71,18,11,24,100,43366,1606,41,500,300,60056,593,892,250,52335,4,3,3,3,5,4,137,24,976,20737,55996,132219,1,1,9,11,15,2,1
1617134400,8,1,36,,37,1,6,2,26,,40,65,229,230,7,3,5,,37,1863,29375,67,26,,12,77,43439,1681,40,563,276,59196,800,721,250,50874,4,3,3,3,6,6,150,24,1181,21034,,131166,1,1,7,15,2,11,1
1617220800,2,1,1,2,38,1,5,,28,21,18,47,297,59,3,4,3,8,31,2023,30702,58,26,32,11,63,44317,1690,38,414,165,58987,959,662,247,51284,4,3,3,3,5,5,146,20,1173,20295,59245,129790,1,1,14,10,3,3,1
1617307200,4,1,1,2,22,2,2,1,2,5,21,54,111,35,2,4,2,11,31,1936,31265,69,14,80,13,65,44447,1726,60,694,415,59142,946,489,168,50513,4,2,2,3,5,1,180,19,1173,19913,58119,130458,1,1,5,15,1,2,1
