timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1615924800,1227,481,732,556,5722,1028,684,510,696,619,1020,405,445,79,488,327,537,320,718,755,1168,484,3405,381,391,263,3618,1346,996,360,199,3909,652,789,1319,2105,12157,0,733,1592,5065,3071,378,4793,914,1295,1112,1066,600,0,0,6210,2699,0,0
1616011200,572,76,169,177,3038,161,357,503,746,259,430,213,224,66,135,400,1082,109,518,1139,1242,675,107,104,834,439,3420,1117,592,228,105,3145,86,451,610,1889,7138,84,728,195,347,1950,2074,1258,992,1217,1067,739,0,700,4670,1739,1219,2349,0
1616097600,857,425,586,284,1123,675,609,837,293,533,562,100,480,0,410,92,205,543,465,1543,878,552,331,227,315,434,3320,3425,1548,547,113,3062,341,666,368,1863,7684,0,4299,3029,1449,1644,3227,1160,2003,863,1228,777,0,600,1492,1705,1355,1050,0
1616184000,412,0,230,0,140,0,0,0,34,62,200,0,3,0,4,2,21,7,55,47,94,13,0,0,60,3,548,356,13,3,0,157,5,188,11,171,0,0,0,0,0,0,307,37,52,73,55,42,600,0,528,348,0,766,0
1616270400,1793,755,1020,511,2605,1078,791,587,453,767,524,124,591,190,511,288,261,346,481,374,862,305,1019,0,396,169,2707,2367,793,242,195,2921,120,676,218,1841,10673,0,7094,3601,18330,3048,1025,672,353,1082,798,1268,0,0,4423,2852,34,2148,686
1616356800,604,0,0,280,2006,366,161,314,1400,333,176,159,881,60,356,320,11,373,206,973,982,234,141,61,57,815,7518,2948,1502,987,161,2514,490,1308,425,3455,15510,989,809,365,1602,1796,4526,928,1187,946,1148,1799,0,600,3736,3188,480,2066,0
1616443200,3393,0,0,77,4044,9475,7185,3310,10,428,239,449,622,35,398,228,267,193,124,998,1346,464,1052,145,40,497,3675,3438,880,678,500,3198,790,802,621,1306,9862,5199,88,9479,10116,559,3573,530,644,1448,1404,860,604,0,5229,1359,9343,2,600
1616529600,999,0,0,1412,3825,0,2997,2259,646,723,288,756,216,156,358,118,13,128,216,1088,697,224,1694,1262,60,171,3490,2864,1934,403,193,2422,259,686,559,1415,5810,321,28931,15184,26313,100,3614,1006,1457,960,875,714,0,600,8350,2943,0,5568,707
1616616000,223,151,0,0,1207,0,391,770,0,185,489,219,302,135,347,242,135,230,427,1735,988,869,427,414,69,112,3040,1456,648,129,127,2191,679,204,295,1235,2319,2331,114,7904,3917,3680,2738,1102,1245,836,1539,1309,0,6,1446,4542,0,1456,115
1616702400,0,0,0,356,240,1055,0,708,219,168,0,374,59,40,378,65,239,259,263,1009,1189,225,0,0,64,291,3228,1326,568,915,340,2259,280,337,817,2048,0,0,0,0,0,0,515,499,1139,543,807,811,0,0,2325,1064,3490,923,29
