timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1666612800,1,2,1,1,17,2,2,2,2,6,8,58,87,57,6,6,6,6,48,1910,35053,70,4,6,16,32,30940,1221,55,227,228,42412,508,491,334,22813,1,1,1,2,1,3,38,63,257,14067,42321,77823,1,1,3,15,1,3,1
1666699200,1,2,1,1,17,1,2,3,2,6,9,59,90,59,6,6,6,6,49,1894,36099,72,3,6,16,33,31010,1231,53,232,238,43286,530,493,335,23147,1,1,2,3,1,3,39,63,254,14061,42299,78569,1,1,3,16,2,3,1
1666785600,1,2,1,1,17,1,2,3,2,6,9,59,90,59,6,6,6,6,49,1894,36099,72,3,6,16,33,31010,1231,53,232,238,43286,530,493,335,23147,1,1,2,3,1,3,39,63,254,14061,42299,78569,1,1,3,16,2,3,1
1666872000,1,2,1,1,15,2,3,3,2,5,8,60,92,60,6,6,4,6,47,1815,36813,73,2,6,16,32,31855,1354,50,245,236,46450,571,500,330,23413,2,2,2,3,1,3,40,64,256,14157,42106,79182,1,1,3,16,2,3,1
1666958400,1,2,1,1,15,1,3,3,2,5,8,61,90,61,6,7,3,6,48,1791,37039,74,2,6,16,31,31985,1388,50,249,242,47110,598,495,325,23304,1,3,2,2,2,3,41,63,265,14100,42325,79311,1,1,3,16,2,3,1
1667044800,1,2,1,1,16,1,3,3,2,5,8,63,90,59,6,7,2,6,48,1752,36909,73,2,6,16,31,31490,1404,49,257,252,47415,628,480,321,22602,1,3,2,2,2,3,42,64,262,13477,42197,78402,1,1,3,16,2,3,1
1667131200,1,2,1,1,16,1,3,3,2,5,8,63,90,59,6,7,2,6,48,1752,36909,73,2,6,16,31,31490,1404,49,257,252,47415,628,480,321,22602,1,3,2,2,2,3,42,64,262,13477,42197,78402,1,1,3,16,2,3,1
1667217600,1,2,1,1,15,1,3,2,2,6,8,62,88,59,6,8,2,6,47,1706,35362,75,3,6,18,31,30326,1367,47,241,264,44992,690,459,312,21391,1,3,2,2,2,3,46,64,250,12795,42040,75611,1,1,3,16,2,3,1
1667304000,1,2,1,1,15,1,3,2,2,7,8,62,88,58,6,8,2,7,48,1778,36141,75,4,6,18,31,29760,1354,48,236,268,44972,724,466,313,21747,1,3,2,2,2,2,44,65,253,13117,42466,76499,1,1,3,16,1,3,1
1667390400,1,2,1,1,15,1,3,2,2,7,9,64,89,58,6,9,2,7,48,1828,35999,74,4,6,17,30,29802,1358,47,229,270,44842,737,463,306,21775,1,2,2,2,2,2,45,63,253,13274,42469,77141,1,1,3,16,1,3,1
