timestamp,runecrafting,magic,fletching,woodcutting,firemaking,construction,farming,herblore,thieving,mining,smithing
1622404800,82917765,171573580,89916118,120764794,86937269,90575667,142662010,90355397,85980778,86193741,93109872
1622491200,85026823,160687967,103212648,127464369,87644821,87634334,150689807,82925591,89854982,83112580,82316584
1622577600,93084211,167875359,73317104,137149557,101522243,70971118,150959986,74436641,95282478,89197794,83000183
1622664000,86780753,167087545,84641783,142243432,87490895,84147073,147959433,94042226,88909960,83895142,92853469
1622750400,77232226,148601644,81422864,123444961,73712201,57234596,129753914,75031934,80602757,74315140,81443429
1622836800,82329738,157321375,94951669,126748619,73740943,56646725,140943880,66329832,83246103,81532737,72337324
1622923200,75765146,162834079,86987942,120073135,76234891,56225279,132364092,69693524,76589963,77387201,77288179
1623009600,71444430,168946328,73719743,120518627,93842147,59405320,134519577,82322363,82096350,76970906,75803427
1623096000,79882668,172860832,76735597,142734062,79930196,78012537,141089287,76714152,72032154,84934079,82509149
1623182400,80788248,161239295,77122599,134484501,75511387,75192586,140298058,67433666,74269721,81877659,69458582
1623268800,53980017,108044748,47330429,87661005,43674561,27921100,109960278,47415013,57771700,52172875,50990804
1623355200,77232351,136590575,91915490,123070130,72260712,53749290,126864933,64555151,81629372,77298663,63691485
1623441600,86079086,156912825,90317368,126469842,91329462,49759903,139573701,74142876,84012620,87607263,61074012
1623528000,80407111,152515780,77022790,117570587,81852932,68115400,135885371,68374693,93887740,82905437,73675142
1623614400,69663610,162815774,100903782,109861427,76281346,53326124,130727502,67236654,90274673,74709427,84694027
1623700800,77887742,158015026,73503021,128968495,78370994,63782596,138269403,75562528,97362186,82529103,83019324
1623787200,77697060,154456573,82942916,137370419,69483970,45493265,135179473,62769098,89975639,81702521,70310843
1623873600,73875092,125595030,65367117,115170059,65378934,47777574,118908114,51606150,76419160,68798964,66978756
1623960000,79602035,154211088,74215244,132228802,77001110,57156276,127963305,73582411,92810594,80368374,65058307
1624046400,87025562,162408282,63569720,145635100,82287153,56797268,135610680,71939315,93144611,88216209,76268941
1624132800,75893561,161326561,68438829,108340528,85915010,68920330,130029557,58803028,105295068,79099939,73374847
1624219200,67490583,154837981,73706222,105699482,76399154,67991201,132378124,66106353,95699001,76069150,70289574
1624305600,77168802,152619059,63382369,130767742,92871527,75542076,132550262,82753218,99045022,84046176,84270112
1624392000,79067704,136903042,64146882,126017725,91810187,72475888,133329065,69218868,114234560,82360940,73816303
1624478400,86737427,133596181,70756333,133220753,92605746,66737898,134453445,81371512,126296308,82848031,74190838
1624564800,81522305,140389451,65227572,121133538,85418331,75392642,127564662,71165482,97692845,72852612,78913429
1624651200,84967851,148866129,74923953,122219978,73964995,71060159,132221535,67461474,115233482,77298790,73776012
1624737600,75217511,152039660,65947343,106699642,74218668,72971631,127588917,55597883,101926388,81444500,82747526
1624824000,70028306,144721031,60056695,109783070,95176503,63529970,119965303,64971420,89177265,72409266,86375326
1624910400,80388707,155377026,55363508,119546373,76489944,70500480,121297350,69588682,94218972,76273607,95271593
1624996800,79860563,144846562,56719471,133634146,75362078,57750674,131181508,52891739,106492508,79732224,88438893
1625083200,80644837,129453053,61625179,121464831,69765211,64080154,124953034,61730072,96894828,77803137,74471451
1625169600,67527828,142847000,84431005,117194829,70037424,59327652,116031732,62614403,95939547,83036234,75034069
1625256000,72173997,144005365,79536243,105688727,75969755,63461910,119937462,64822958,104887583,80325125,69910735
1625342400,70372913,156926110,90752959,91562538,72985457,74367914,112058796,69977438,122545543,74626864,75930566
1625428800,71418197,163021908,83881760,98373990,82536950,54142290,116874529,71919284,115416072,71285040,82734288
1625515200,70495290,138188466,79857873,112918245,88711595,76741011,114883111,61864081,101532329,74104112,81712031
1625601600,66036314,128817555,63910816,107942928,69345247,39127549,101014478,47227825,97903374,67887953,55969475
1625688000,59714961,124754000,71950864,96950633,80626610,38816082,106307990,64502466,90528243,64532947,60709565
1625774400,76997547,142596608,68475944,116234632,68991996,39515788,120895988,57272445,108957820,77740403,88457085
1625860800,72529486,135756977,70660388,114255893,67262557,47366929,121803336,69049333,96274850,79039937,72357258
1626120000,74690096,145438959,65011053,117990682,80192605,70731098,120171688,62854142,106455540,75199042,62412489
1626206400,80337658,143441431,73922641,127210788,101598320,56507828,122192405,70964842,102024531,80864750,59619219
1626292800,83478420,143343924,57898217,126820454,91764449,65671467,120896146,72604374,95088193,80557190,69746559
1626379200,78103499,144998086,60794343,121966320,81972734,45691958,128962917,59256240,95112175,78077104,71081110
1626465600,77450479,145971301,60123092,116056264,83627300,47904876,123440271,55462499,95804299,84131021,71819292
1626724800,79406518,143855083,62177851,118396645,93272231,62850358,123505418,67881955,93909086,74427702,66312340
1627243200,58393918,160014072,59134463,99102847,107152359,58721357,116162248,78783818,72871222,69839578,78356609
1627416000,75957721,163166185,81318202,117994811,109597094,52211707,123002430,72843390,90827611,82290742,59316131
1627502400,66831495,143809422,53908693,105363891,101311965,44136994,112744593,61448152,70301859,76396058,56076168
1627761600,77236712,153352005,74382826,104494372,104802023,57223789,117052279,67714532,89845019,78291021,81492474
1627848000,67068401,147036844,60797412,98896204,93268935,56339069,115632817,70735076,77749013,71549122,84735486
1628366400,74869119,156899356,73253531,98319812,85654609,60756834,118063317,81194393,76089638,77862027,71949805
1628452800,82190909,175026384,70411790,110674603,99795640,65425946,121842034,85658068,97355599,79959108,92068840
1628539200,78989368,162815501,54087118,109877947,96352979,66754422,120313282,83094735,96422443,78725623,85085720
1629144000,82461657,149590335,76616371,97974354,78112102,56001392,117835081,49525491,88003229,75340132,69396160
1629576000,72255257,155940676,60842209,107338465,81494385,51729355,117386994,64192422,79081777,67605761,72967714
1630458000,83906292,146151817,65108172,111525143,78244815,45030803,111009601,56640448,87697726,82583010,67431254
1630699200,85884594,136618323,62978922,114524254,94801159,77021321,113373404,59982190,93600304,83494385,72330219
1630792800,86169246,161197414,66922187,117110557,100593768,85057205,115322718,63067558,96967101,88353707,86072822
