timestamp,runecrafting,magic,fletching,woodcutting,firemaking,construction,farming,herblore,thieving,mining,smithing
1666663200,85282393,205451414,92768099,138258734,75298264,63783051,141767970,78795413,102010451,92151515,58125235
1666699200,86171745,199800520,103128682,138089900,82579582,59902090,139626873,67355860,110891183,95542823,72236021
1666785600,80203704,199002232,80769819,133333057,73917130,67326388,137205842,63921858,104089075,88686893,70714696
1666872000,79146490,186273776,88484089,129388191,70880144,55083558,136371445,62341126,100542176,89210874,69827625
1666958400,78859682,192188657,69707057,129316623,75238824,53681187,139637930,70588559,100696372,100440170,77573435
1667044800,79849237,198568312,82424932,129890938,85311159,52241393,136794889,71528931,113739812,98025162,80162717
1667131200,72966923,213733584,86303529,110016854,91878910,74186790,136274815,87851591,114483921,95583607,74969183
1667217600,85006869,226625059,98252544,130696696,102557450,54943273,147826743,88957415,121761109,99774440,88464361
1667304000,79955718,203025794,76412937,127597078,85876264,57808884,133089578,74051340,124836550,94773945,66166372
1667390400,74802982,204990981,76316595,126002318,82742405,52224702,138536878,76227473,120620347,96092051,74918711
1667476800,72823341,181157128,75597249,122412238,84175258,70579001,135841020,70122594,94144291,97116366,72604590
1667563200,70927879,190590632,70829280,117902248,100899380,67373313,131996603,68260319,94100946,98295049,75602432
1667649600,77440770,202299985,86131917,118619525,88156927,50959851,134331429,84512485,88874756,98597021,74692153
1667736000,35071537,102231395,29583329,53033335,34070600,29657185,75144600,36773712,46248708,42273034,37550216
1667822400,14648228,34506441,18806936,23318268,27879345,12851913,22619423,23308478,16362274,14931838,19522319
1667908800,41564911,109483612,42409777,69305281,44386707,31442645,76394468,54703692,52294151,54998118,44187345
1667995200,30807993,101416990,40128557,61986686,31396394,16977216,70282730,38314843,46086754,47596793,48641500
1668081600,35225515,94093157,37958617,68869241,55020921,34031129,67718998,27080036,44134945,50903639,39923947
1668168000,26177507,95092296,33009767,66017171,47229517,29758769,65975226,30267848,44995965,43861176,41071341
1668254400,28657494,91459070,32161636,54480967,60628743,34026491,58731540,34668585,49650397,39420957,35168149
1668340800,27301923,87246049,37440767,50818637,51664082,38294789,51217749,24925317,37035270,33588717,35411319
1668427200,26870904,61621800,23242209,36699709,40155086,34532926,41491041,24536628,26610877,25111753,27377800
1668513600,18705457,50340108,15111394,27958253,33249662,21283821,37166254,15952481,23494576,20178170,17077841
1668600000,13277749,40584650,15280630,23473280,17953604,11289815,31717165,12756954,19330764,19240243,16058297
1668686400,10233450,34025983,10625372,19715830,10767598,7332233,25338902,12124409,16827323,14694281,8022031
1668772800,12509841,34796195,11332555,17462507,15603798,13830768,23777551,13717334,17294833,15618123,16148238
1668859200,13946663,35216600,12868530,18683369,15605940,6354040,25809530,17657443,27970132,18948376,14844658
1668945600,18100837,46807634,19956145,21753297,29373270,10609590,28348375,19093222,15855500,18820967,15162492
